KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 3
WORD_ORDER: [hailed, shier, tales, coy, bale, mans, find, sires, dipped, falls, sicker, sue, dubbed, tin, core]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 20.0, 0.0, 33.333336, 40.74074, 0.0, 0.0, 0.0, 25.0, 0.0, 36.363636, 0.0, 25.0, 22.222223, 37.5]
ERROR_RATE_MWD: [53.333336]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [13.333334]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [53.333336]
TOTAL_ERROR_RATE: [0.0, 25.0, 0.0, 50.0, 68.75, 0.0, 0.0, 0.0, 33.333336, 0.0, 57.14286, 0.0, 33.333336, 28.57143, 60.000004]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 25.0, 0.0, 50.0, 68.75, 0.0, 0.0, 0.0, 33.333336, 0.0, 57.14286, 0.0, 33.333336, 28.57143, 60.000004]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 20.0, 0.0, 33.333336, 40.74074, 0.0, 0.0, 0.0, 25.0, 0.0, 36.363636, 0.0, 25.0, 22.222223, 37.5]
FRECHET_DISTANCE_TOUCH_ONLY: [293.78293, 343.03967, 197.70224, 338.7365, 464.64023, 199.02173, 295.06, 240.75153, 522.4833, 237.0394, 473.2316, 165.02579, 483.76193, 365.7237, 393.00345]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [293.78293, 642.6817, 197.70224, 338.7365, 464.64023, 199.02173, 295.06, 240.75153, 522.4833, 237.0394, 473.2316, 165.02579, 483.76193, 365.7237, 354.43408]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [293.78293, 326.33374, 197.70224, 266.50104, 408.62308, 199.02173, 295.06, 240.75153, 298.6368, 237.0394, 318.38657, 165.02579, 397.39224, 370.32977, 241.61154]
KEYBOARD_TYPE: leapAirPinch
PRACTICE_WORDS_PER_INPUT: 6
WORD_ORDER: [shift, mane, jailed, sure, games, rim, cores, rocket, fit, finned, fins, gale, tipped, gamma, soy]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 1, 3, 1, 5, 1, 2, 1, 1, 9]
DISTANCE_TRAVELED_TOUCH_ONLY: [1319.5382, 1852.3909, 2131.2217, 1090.9198, 1788.1522, 909.02747, 1251.123, 2551.3552, 924.5614, 2832.0005, 1360.1459, 2228.746, 1513.4374, 1794.7274, 4206.7515]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [1319.5382, 1852.3909, 2131.2217, 1090.9198, 1788.1522, 909.02747, 1251.123, 2103.7134, 924.5614, 2355.544, 1360.1459, 1776.1265, 1513.4374, 1794.7274, 4206.7515]
TIME_DURATION_TOUCH_ONLY: [2.024002, 1.8442175, 3.288125, 1.2643714, 2.0827084, 0.95481604, 1.8208336, 3.1685627, 1.1230806, 2.500665, 2.128575, 2.3568966, 1.9824246, 2.2361617, 6.84863]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.024002, 1.8442175, 3.288125, 1.2643714, 2.0827084, 0.95481604, 1.8208336, 2.9436567, 1.1230806, 2.255088, 2.128575, 2.1177986, 1.9824246, 2.2361617, 6.84863]
AVERAGE_PIXEL_VELOCITY: [654.4686, 1014.6479, 645.1707, 860.853, 864.5686, 939.8032, 688.86694, 809.30414, 827.13226, 1147.3555, 637.54816, 940.99615, 762.8299, 803.16754, 616.9683]
