PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 1336488787779
TIME_WORD_START: 1336490070891; WORD_VALUE: got
TIME_SPECIAL: 1339348560289; POINT_POSITION: (418.059, 241.138, 0); TOOL_DIRECTION: (-0.188314, -0.275087, -0.942796)
TIME_SPECIAL: 1339365313270; POINT_POSITION: (417.98, 241.12, 0); TOOL_DIRECTION: (-0.186944, -0.276751, -0.942582)
TIME_SPECIAL: 1339381980633; POINT_POSITION: (417.934, 241.086, 0); TOOL_DIRECTION: (-0.184955, -0.281708, -0.941505)
TIME_SPECIAL: 1339398656245; POINT_POSITION: (418.043, 240.937, 0); TOOL_DIRECTION: (-0.180098, -0.291623, -0.939426)
TIME_SPECIAL: 1339415301991; POINT_POSITION: (418.22, 240.822, 0); TOOL_DIRECTION: (-0.178157, -0.291992, -0.939681)
TIME_SPECIAL: 1339431951435; POINT_POSITION: (419.186, 240.525, 0); TOOL_DIRECTION: (-0.171317, -0.294188, -0.940268)
TIME_SPECIAL: 1339448604292; POINT_POSITION: (422.86, 239.889, 0); TOOL_DIRECTION: (-0.161878, -0.299427, -0.940287)
TIME_SPECIAL: 1339465325131; POINT_POSITION: (432.262, 238.464, 0); TOOL_DIRECTION: (-0.151232, -0.304071, -0.940569)
TIME_SPECIAL: 1339481978557; POINT_POSITION: (445.398, 236.396, 0); TOOL_DIRECTION: (-0.144126, -0.304108, -0.941672)
TIME_SPECIAL: 1339498688586; POINT_POSITION: (456.804, 233.852, 0); TOOL_DIRECTION: (-0.139581, -0.311117, -0.940065)
TIME_SPECIAL: 1339515338883; POINT_POSITION: (461.202, 232.35, 0); TOOL_DIRECTION: (-0.136957, -0.320105, -0.93743)
TIME_SPECIAL: 1339532065126; POINT_POSITION: (467.158, 229.358, 0); TOOL_DIRECTION: (-0.133352, -0.333537, -0.933258)
TIME_SPECIAL: 1339548706890; POINT_POSITION: (469.72, 227.462, 0); TOOL_DIRECTION: (-0.133706, -0.338202, -0.931527)
TIME_SPECIAL: 1339565373116; POINT_POSITION: (470.929, 226.094, 0); TOOL_DIRECTION: (-0.133343, -0.34119, -0.930489)
TIME_SPECIAL: 1339582058968; POINT_POSITION: (471.124, 223.823, 0); TOOL_DIRECTION: (-0.133554, -0.348966, -0.92757)
