PRACTICE_WORD_COUNT: 2
TIME_SPECIAL: 1455400087550; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1455683589457; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1455883698512; KEY_PRESSED: VK_G; KEY_EXPECTED: VK_G
TIME_SPECIAL: 1455983745359; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1456250496562; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1456500637289; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1456750735349; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1456917485784; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A
TIME_SPECIAL: 1457150947201; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1457534402943; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1457834536943; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_SPECIAL: 1458101305496; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1458418084673; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1458684936283; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1458934999074; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1459201863768; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1459418586711; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 1459601971229; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1459835422691; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1460102207457; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1460335674563; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1460502378065; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_PRESSED: 1460535702552; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1460535733272; WORD_VALUE: gapes
TIME_WORD_START: 1460535769964; WORD_VALUE: calls
TIME_SPECIAL: 1461252716336; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1461536179274; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1461752981861; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C
TIME_SPECIAL: 1461953040854; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1462186438841; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1462436608581; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1462586770441; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A
TIME_PRESSED: 1462803454416; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_L
TIME_SPECIAL: 1463020170533; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1463270296753; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1463570463464; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_BACK_SPACE
TIME_PRESSED: 1464454202651; KEY_PRESSED: VK_BACK_SPACE; KEY_EXPECTED: VK_BACK_SPACE
TIME_PRESSED: 1464687586701; KEY_PRESSED: VK_BACK_SPACE; KEY_EXPECTED: VK_BACK_SPACE
TIME_PRESSED: 1465071127775; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L
TIME_PRESSED: 1465254521111; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L
TIME_SPECIAL: 1465454582664; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1465688023886; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1465954831123; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1466204938570; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1466505024500; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1466788535509; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1467255434450; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1467472160237; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_PRESSED: 1467505463960; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1467505493258; WORD_VALUE: calls
TIME_WORD_START: 1467505527675; WORD_VALUE: docker
TIME_SPECIAL: 1468189185968; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1468422606141; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_SPECIAL: 1468539289632; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1468922802262; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1469189622299; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1469456368382; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1469739834449; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1470056593716; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1470273406258; DIRECTION_PRESSED: UP
TIME_PRESSED: 1470523521954; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O
TIME_SPECIAL: 1470806975790; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1471057040003; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1471624004280; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1471907503058; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1472224288208; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1472457716915; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1472691142208; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C
TIME_SPECIAL: 1472941268428; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1473191391235; DIRECTION_PRESSED: UP
TIME_PRESSED: 1473458131913; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_K
TIME_SPECIAL: 1473591534536; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1473741641216; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_BACK_SPACE
TIME_SPECIAL: 1474191790590; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1474842116146; KEY_PRESSED: VK_BACK_SPACE; KEY_EXPECTED: VK_BACK_SPACE
TIME_PRESSED: 1475008815950; KEY_PRESSED: VK_BACK_SPACE; KEY_EXPECTED: VK_BACK_SPACE
TIME_SPECIAL: 1475108913144; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1475375704452; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1475709144735; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1475942601885; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1476192705066; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1476542867610; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1476742980646; KEY_PRESSED: VK_K; KEY_EXPECTED: VK_K
TIME_SPECIAL: 1476893008251; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1477026354271; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1477309812943; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1477559983821; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1477810103783; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1478076870061; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1478260323130; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 1478377015439; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1478527107612; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_PRESSED: 1478560419299; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1478560451725; WORD_VALUE: docker
TIME_WORD_START: 1478560488987; WORD_VALUE: fie
TIME_SPECIAL: 1479294066313; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1479510870322; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F
TIME_SPECIAL: 1479660935189; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1479844319707; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1480111139175; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1480361225574; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1480577983219; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1480828138453; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 1480944863188; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1481194880468; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1481445042812; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1481678581881; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1481911899940; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1482112025492; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_PRESSED: 1482145309304; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 1482145338033; WORD_VALUE: fie
TIME_EXPERIMENT_END: 1482162566882
