PRACTICE_WORD_COUNT: 1
TIME_EXPERIMENT_START: 1598580476020461
TIME_WORD_START: 1598580476496900; WORD_VALUE: limped
TIME_SPECIAL: 1598582222639023; POINT_POSITION: (560.522, 280.255, 0); TOOL_DIRECTION: (-0.0305242, 0.215951, -0.975927)
TIME_SPECIAL: 1598582239331176; POINT_POSITION: (557.183, 283.4, 0); TOOL_DIRECTION: (-0.0322815, 0.218594, -0.975282)
TIME_SPECIAL: 1598582255956485; POINT_POSITION: (554.723, 287.475, 0); TOOL_DIRECTION: (-0.0331391, 0.224684, -0.973868)
TIME_SPECIAL: 1598582272578949; POINT_POSITION: (553.465, 290.379, 0); TOOL_DIRECTION: (-0.0321243, 0.229418, -0.972798)
TIME_SPECIAL: 1598582289329981; POINT_POSITION: (551.921, 291.786, 0); TOOL_DIRECTION: (-0.0333108, 0.231291, -0.972314)
TIME_SPECIAL: 1598582305937086; POINT_POSITION: (551.761, 292.904, 0); TOOL_DIRECTION: (-0.033149, 0.23263, -0.972)
TIME_SPECIAL: 1598582322688118; POINT_POSITION: (551.87, 294.033, 0); TOOL_DIRECTION: (-0.0325365, 0.234533, -0.971563)
TIME_SPECIAL: 1598582339360928; POINT_POSITION: (550.948, 293.739, 0); TOOL_DIRECTION: (-0.0340809, 0.233959, -0.971649)
TIME_SPECIAL: 1598582355985384; POINT_POSITION: (550.076, 289.04, 0); TOOL_DIRECTION: (-0.0354962, 0.229724, -0.972608)
TIME_SPECIAL: 1598582372679812; POINT_POSITION: (549.51, 283.903, 0); TOOL_DIRECTION: (-0.0371443, 0.225134, -0.973619)
TIME_SPECIAL: 1598582389313085; POINT_POSITION: (549.444, 279.388, 0); TOOL_DIRECTION: (-0.038522, 0.222077, -0.974268)
TIME_SPECIAL: 1598582406043637; POINT_POSITION: (549.666, 277.114, 0); TOOL_DIRECTION: (-0.0385586, 0.22074, -0.97457)
TIME_SPECIAL: 1598582422730386; POINT_POSITION: (550.345, 272.387, 0); TOOL_DIRECTION: (-0.0384517, 0.217125, -0.975386)
TIME_SPECIAL: 1598582439363659; POINT_POSITION: (551.688, 267.569, 0); TOOL_DIRECTION: (-0.0374454, 0.212618, -0.976418)
TIME_SPECIAL: 1598582456122086; POINT_POSITION: (552.96, 260.968, 0); TOOL_DIRECTION: (-0.0370171, 0.20376, -0.978321)
TIME_SPECIAL: 1598582472749102; POINT_POSITION: (555.723, 254.997, 0); TOOL_DIRECTION: (-0.0333654, 0.199153, -0.9794)
TIME_SPECIAL: 1598582489407975; POINT_POSITION: (559.419, 246.665, 0); TOOL_DIRECTION: (-0.0282046, 0.19128, -0.98113)
