PRACTICE_WORD_COUNT: 1
TIME_SPECIAL: 1599235246606615; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599235480048434; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599235746826488; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599235980281961; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599236147015187; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599236397129248; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599236547151832; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599236813942970; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599236997411584; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599237314165688; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599237347554260; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599237731040565; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599237947795068; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599238131214757; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599238398001629; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599238648093219; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1599238848184866; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599239115045692; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599239315128806; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599240032033493; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599240232157566; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599240415582092; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599240615672316; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599240849050705; KEY_PRESSED: VK_K; KEY_EXPECTED: VK_K; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599241099203735; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599241349382648; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599241599463430; KEY_PRESSED: VK_U; KEY_EXPECTED: VK_U; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599241732840794; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599242083059985; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599242266427337; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599242483172169; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599242666577636; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599243016704099; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599243266847742; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1599243416924370; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_PRESSED: 1599243867121260; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_WORD_END: 1599243867158238; WORD_VALUE: crackups
TIME_WORD_START: 1599243867194077; WORD_VALUE: uncloak
TIME_SPECIAL: 1599244383998300; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599244884310616; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599244917520274; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599244950961184; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599244984295996; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599245017607484; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599245251064095; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599245551189761; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599245801302684; KEY_PRESSED: VK_U; KEY_EXPECTED: VK_U; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599245951376184; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599246184853558; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 1599246434968188; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 1599246618315629; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599246801747834; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599247085153757; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599247735546400; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599247985594186; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599248219055916; DIRECTION_PRESSED: DOWN
TIME_PRESSED: 1599248435867307; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599248986020848; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599249502972980; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599249536281624; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599249569640614; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599249819746141; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599250203260607; DIRECTION_PRESSED: UP
TIME_SPECIAL: 1599250436769554; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 1599250670211089; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599250953599661; DIRECTION_PRESSED: UP
TIME_PRESSED: 1599251070305353; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1599251270387329; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599251503833130; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599251703921080; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 1599252004099083; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 1599252370867068; DIRECTION_PRESSED: DOWN
