PRACTICE_WORD_COUNT: 2
TIME_EXPERIMENT_START: 1598834239085987
TIME_WORD_START: 1598834239656292; WORD_VALUE: channelled
TIME_SPECIAL: 1598837319482749; POINT_POSITION: (306.877, 132.802, 0)
TIME_SPECIAL: 1598837336122849; POINT_POSITION: (308.019, 133.883, 0)
TIME_SPECIAL: 1598837352862218; POINT_POSITION: (308.739, 134.423, 0)
TIME_SPECIAL: 1598837369572291; POINT_POSITION: (310.198, 135.548, 0)
TIME_SPECIAL: 1598837386184800; POINT_POSITION: (312.299, 137.114, 0)
TIME_SPECIAL: 1598837402891175; POINT_POSITION: (314.169, 139.126, 0)
TIME_SPECIAL: 1598837419577070; POINT_POSITION: (316.022, 142.613, 0)
TIME_SPECIAL: 1598837436215747; POINT_POSITION: (318.39, 146.27, 0)
TIME_SPECIAL: 1598837452918140; POINT_POSITION: (320.695, 148.869, 0)
TIME_SPECIAL: 1598837469548000; POINT_POSITION: (322.078, 151.088, 0)
TIME_SPECIAL: 1598837486253237; POINT_POSITION: (323.729, 153.353, 0)
TIME_SPECIAL: 1598837502914954; POINT_POSITION: (324.711, 155.213, 0)
TIME_SPECIAL: 1598837519584351; POINT_POSITION: (325.388, 156.555, 0)
TIME_SPECIAL: 1598837536196576; POINT_POSITION: (325.873, 157.462, 0)
TIME_SPECIAL: 1598837552920302; POINT_POSITION: (326.071, 158.116, 0)
TIME_SPECIAL: 1598837569561824; POINT_POSITION: (326.071, 158.334, 0)
TIME_SPECIAL: 1598837586312571; POINT_POSITION: (325.835, 158.442, 0)
TIME_SPECIAL: 1598837602909720; POINT_POSITION: (325.315, 158.525, 0)
TIME_SPECIAL: 1598837619618371; POINT_POSITION: (324.175, 158.355, 0)
TIME_SPECIAL: 1598837636327874; POINT_POSITION: (321.447, 158.311, 0)
TIME_SPECIAL: 1598837653022302; POINT_POSITION: (318.92, 158.122, 0)
TIME_SPECIAL: 1598837669689993; POINT_POSITION: (316.349, 157.709, 0)
TIME_SPECIAL: 1598837686352848; POINT_POSITION: (314.334, 156.975, 0)
TIME_SPECIAL: 1598837702946868; POINT_POSITION: (312.858, 156.032, 0)
TIME_SPECIAL: 1598837719697047; POINT_POSITION: (311.494, 154.902, 0)
TIME_SPECIAL: 1598837736336862; POINT_POSITION: (309.546, 153.837, 0)
TIME_SPECIAL: 1598837752999433; POINT_POSITION: (307.608, 153.628, 0)
TIME_SPECIAL: 1598837769713203; POINT_POSITION: (305.866, 153.604, 0)
TIME_SPECIAL: 1598837786310637; POINT_POSITION: (305.189, 153.63, 0)
TIME_SPECIAL: 1598837803094664; POINT_POSITION: (304.341, 153.725, 0)
TIME_SPECIAL: 1598837819676453; POINT_POSITION: (304.144, 153.249, 0)
TIME_SPECIAL: 1598837836395059; POINT_POSITION: (304.228, 154.186, 0)
TIME_SPECIAL: 1598837853096314; POINT_POSITION: (304.751, 154.587, 0)
TIME_SPECIAL: 1598837869748360; POINT_POSITION: (305.981, 154.907, 0)
TIME_SPECIAL: 1598837886432548; POINT_POSITION: (306.66, 157.928, 0)
TIME_SPECIAL: 1598837903045626; POINT_POSITION: (307.175, 160.003, 0)
TIME_SPECIAL: 1598837919781867; POINT_POSITION: (307.778, 161.687, 0)
TIME_SPECIAL: 1598837936422251; POINT_POSITION: (308.271, 163.021, 0)
TIME_SPECIAL: 1598837953067187; POINT_POSITION: (308.915, 163.892, 0)
TIME_SPECIAL: 1598837969738860; POINT_POSITION: (309.952, 165.14, 0)
TIME_SPECIAL: 1598837986404559; POINT_POSITION: (312.803, 165.672, 0)
TIME_SPECIAL: 1598838003122596; POINT_POSITION: (313.738, 165.934, 0)
TIME_SPECIAL: 1598838019819015; POINT_POSITION: (315.798, 166.586, 0)
TIME_SPECIAL: 1598838036465373; POINT_POSITION: (318.224, 167.72, 0)
TIME_SPECIAL: 1598838053214983; POINT_POSITION: (320.944, 168.556, 0)
TIME_SPECIAL: 1598838069798194; POINT_POSITION: (322.793, 168.897, 0)
TIME_SPECIAL: 1598838086513387; POINT_POSITION: (329.885, 171.408, 0)
TIME_SPECIAL: 1598838103193024; POINT_POSITION: (336.04, 175.49, 0)
TIME_SPECIAL: 1598838119877781; POINT_POSITION: (344.926, 178.847, 0)
TIME_SPECIAL: 1598838136534094; POINT_POSITION: (353.105, 179.968, 0)
TIME_SPECIAL: 1598838153177891; POINT_POSITION: (359.545, 181.988, 0)
TIME_SPECIAL: 1598838169947981; POINT_POSITION: (366.167, 183.996, 0)
TIME_SPECIAL: 1598838186508437; POINT_POSITION: (373.57, 186.47, 0)
TIME_PRESSED: 1598838186535175; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598838203236714; POINT_POSITION: (382.653, 187.419, 0)
TIME_SPECIAL: 1598838219911516; POINT_POSITION: (386.495, 188.418, 0)
TIME_SPECIAL: 1598838236513785; POINT_POSITION: (391.461, 189.975, 0)
TIME_SPECIAL: 1598838253297243; POINT_POSITION: (395.944, 191.285, 0)
TIME_SPECIAL: 1598838269898374; POINT_POSITION: (400.355, 192.821, 0)
TIME_SPECIAL: 1598838286623807; POINT_POSITION: (404.013, 193.747, 0)
TIME_SPECIAL: 1598838303272440; POINT_POSITION: (407.015, 194.481, 0)
TIME_SPECIAL: 1598838319975401; POINT_POSITION: (410.107, 195.238, 0)
TIME_SPECIAL: 1598838336643092; POINT_POSITION: (413.509, 194.872, 0)
TIME_SPECIAL: 1598838353294854; POINT_POSITION: (416.762, 193.807, 0)
TIME_SPECIAL: 1598838369973353; POINT_POSITION: (419.925, 192.156, 0)
TIME_SPECIAL: 1598838386639622; POINT_POSITION: (421.712, 191.038, 0)
TIME_SPECIAL: 1598838403319828; POINT_POSITION: (423.032, 189.909, 0)
TIME_SPECIAL: 1598838419927217; POINT_POSITION: (423.166, 189.476, 0)
TIME_SPECIAL: 1598838436619654; POINT_POSITION: (423.094, 189.486, 0)
TIME_SPECIAL: 1598838453275113; POINT_POSITION: (422.16, 188.212, 0)
TIME_SPECIAL: 1598838470023017; POINT_POSITION: (420.429, 188.914, 0)
TIME_SPECIAL: 1598838486686441; POINT_POSITION: (419.802, 189.38, 0)
TIME_SPECIAL: 1598838503348158; POINT_POSITION: (415.585, 189.327, 0)
TIME_SPECIAL: 1598838520016702; POINT_POSITION: (410.049, 189.478, 0)
TIME_SPECIAL: 1598838536704304; POINT_POSITION: (403.294, 189.782, 0)
TIME_SPECIAL: 1598838553367443; POINT_POSITION: (395.565, 189.894, 0)
TIME_SPECIAL: 1598838570077800; POINT_POSITION: (386.921, 189.574, 0)
TIME_SPECIAL: 1598838586744637; POINT_POSITION: (374.343, 189.724, 0)
TIME_SPECIAL: 1598838603378195; POINT_POSITION: (362.334, 190.232, 0)
TIME_SPECIAL: 1598838620038775; POINT_POSITION: (349.592, 192.527, 0)
TIME_SPECIAL: 1598838636781558; POINT_POSITION: (333.474, 193.78, 0)
TIME_SPECIAL: 1598838653377854; POINT_POSITION: (327.983, 191.608, 0)
TIME_SPECIAL: 1598838670091908; POINT_POSITION: (316.146, 188.541, 0)
TIME_SPECIAL: 1598838686762159; POINT_POSITION: (300.852, 189.065, 0)
TIME_SPECIAL: 1598838703473369; POINT_POSITION: (288.473, 186.567, 0)
TIME_SPECIAL: 1598838720064545; POINT_POSITION: (276.53, 184.166, 0)
TIME_SPECIAL: 1598838736792253; POINT_POSITION: (262.032, 184.969, 0)
TIME_SPECIAL: 1598838753477863; POINT_POSITION: (247.72, 183.783, 0)
TIME_SPECIAL: 1598838770126496; POINT_POSITION: (233.147, 181.547, 0)
TIME_SPECIAL: 1598838786826613; POINT_POSITION: (218.46, 180.678, 0)
TIME_SPECIAL: 1598838803484064; POINT_POSITION: (207.946, 179.131, 0)
TIME_SPECIAL: 1598838820117337; POINT_POSITION: (196.887, 177.668, 0)
TIME_SPECIAL: 1598838836837934; POINT_POSITION: (186.077, 177.256, 0)
TIME_SPECIAL: 1598838853470070; POINT_POSITION: (175.043, 177.621, 0)
TIME_SPECIAL: 1598838870180426; POINT_POSITION: (170.592, 175.279, 0)
TIME_SPECIAL: 1598838886884526; POINT_POSITION: (162.604, 172.438, 0)
TIME_SPECIAL: 1598838903529177; POINT_POSITION: (153.94, 171.395, 0)
TIME_SPECIAL: 1598838920218200; POINT_POSITION: (143.454, 172.738, 0)
TIME_PRESSED: 1598838920245222; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598838936883046; POINT_POSITION: (134.265, 173.398, 0)
TIME_SPECIAL: 1598838953519164; POINT_POSITION: (125.566, 174.948, 0)
TIME_SPECIAL: 1598838970269627; POINT_POSITION: (114.967, 176.983, 0)
TIME_SPECIAL: 1598838986922527; POINT_POSITION: (107.463, 177.556, 0)
TIME_SPECIAL: 1598839003521667; POINT_POSITION: (97.5999, 180.191, 0)
TIME_SPECIAL: 1598839020213251; POINT_POSITION: (90.9435, 181.566, 0)
TIME_SPECIAL: 1598839036922470; POINT_POSITION: (83.14, 183.999, 0)
TIME_SPECIAL: 1598839053605236; POINT_POSITION: (76.5175, 185.392, 0)
TIME_SPECIAL: 1598839070256429; POINT_POSITION: (71.8434, 187.013, 0)
