PRACTICE_WORD_COUNT: 16
TIME_EXPERIMENT_START: 154488067746712
TIME_WORD_START: 154488068448715; WORD_VALUE: shirr
TIME_SPECIAL: 154489833751273; POINT_POSITION: (-304.757, 211.127, 0); TOOL_DIRECTION: (-0.121127, -0.220395, -0.967861)
TIME_SPECIAL: 154489850481873; POINT_POSITION: (-306.817, 215.301, 0); TOOL_DIRECTION: (-0.122141, -0.206879, -0.970712)
TIME_SPECIAL: 154489867102962; POINT_POSITION: (-306.607, 220.754, 0); TOOL_DIRECTION: (-0.121727, -0.189444, -0.974317)
TIME_SPECIAL: 154489883823322; POINT_POSITION: (-310.326, 225.895, 0); TOOL_DIRECTION: (-0.123821, -0.172898, -0.977126)
TIME_SPECIAL: 154489900488500; POINT_POSITION: (-312.962, 229.416, 0); TOOL_DIRECTION: (-0.124832, -0.162093, -0.978848)
TIME_SPECIAL: 154489917163918; POINT_POSITION: (-315.112, 230.869, 0); TOOL_DIRECTION: (-0.125766, -0.157806, -0.979429)
TIME_SPECIAL: 154489933825968; POINT_POSITION: (-319.932, 233.607, 0); TOOL_DIRECTION: (-0.127915, -0.150901, -0.980238)
TIME_SPECIAL: 154489950540639; POINT_POSITION: (-321.278, 235.163, 0); TOOL_DIRECTION: (-0.128243, -0.148252, -0.980599)
TIME_SPECIAL: 154489967140964; POINT_POSITION: (-316.202, 236.913, 0); TOOL_DIRECTION: (-0.125081, -0.144962, -0.981499)
TIME_SPECIAL: 154489983908257; POINT_POSITION: (-307.582, 238.283, 0); TOOL_DIRECTION: (-0.120873, -0.143973, -0.982172)
TIME_SPECIAL: 154490000541293; POINT_POSITION: (-296.166, 239.779, 0); TOOL_DIRECTION: (-0.11564, -0.141751, -0.983125)
TIME_SPECIAL: 154490017212729; POINT_POSITION: (-285.022, 240.783, 0); TOOL_DIRECTION: (-0.111269, -0.140378, -0.983826)
TIME_SPECIAL: 154490033906920; POINT_POSITION: (-272.527, 241.465, 0); TOOL_DIRECTION: (-0.106212, -0.141493, -0.984225)
TIME_SPECIAL: 154490050612773; POINT_POSITION: (-255.608, 243.78, 0); TOOL_DIRECTION: (-0.0984277, -0.138574, -0.985449)
TIME_SPECIAL: 154490067269134; POINT_POSITION: (-239.55, 245.807, 0); TOOL_DIRECTION: (-0.0938584, -0.134593, -0.986446)
TIME_SPECIAL: 154490083872019; POINT_POSITION: (-239.55, 245.807, 0); TOOL_DIRECTION: (-0.0938584, -0.134593, -0.986446)
TIME_SPECIAL: 154490100569623; POINT_POSITION: (-211.48, 243.498, 0); TOOL_DIRECTION: (-0.0896133, -0.138909, -0.986242)
TIME_SPECIAL: 154490117287708; POINT_POSITION: (-202.613, 241.802, 0); TOOL_DIRECTION: (-0.0894047, -0.142225, -0.985788)
TIME_SPECIAL: 154490133970237; POINT_POSITION: (-185.946, 237.573, 0); TOOL_DIRECTION: (-0.0903049, -0.147606, -0.984915)
TIME_SPECIAL: 154490150620624; POINT_POSITION: (-174.723, 233.494, 0); TOOL_DIRECTION: (-0.0910788, -0.154702, -0.983754)
TIME_SPECIAL: 154490167231758; POINT_POSITION: (-172.25, 231.502, 0); TOOL_DIRECTION: (-0.0941551, -0.157954, -0.982947)
TIME_SPECIAL: 154490183969753; POINT_POSITION: (-170.653, 230.107, 0); TOOL_DIRECTION: (-0.0967831, -0.160061, -0.982351)
TIME_SPECIAL: 154490200649153; POINT_POSITION: (-169.596, 228.884, 0); TOOL_DIRECTION: (-0.0991683, -0.162936, -0.98164)
TIME_SPECIAL: 154490217334811; POINT_POSITION: (-166.953, 228.585, 0); TOOL_DIRECTION: (-0.100468, -0.164652, -0.981222)
TIME_SPECIAL: 154490233978372; POINT_POSITION: (-168.699, 231.782, 0); TOOL_DIRECTION: (-0.104319, -0.153558, -0.982618)
TIME_SPECIAL: 154490250670287; POINT_POSITION: (-171.054, 236.36, 0); TOOL_DIRECTION: (-0.107562, -0.141033, -0.984144)
