PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 1940206592023
TIME_WORD_START: 1940208058030; WORD_VALUE: pens
TIME_SPECIAL: 1941516189645; POINT_POSITION: (758.747, 231.358, 21.2243); TOOL_DIRECTION: (0.0246233, 0.107333, -0.993918)
TIME_SPECIAL: 1941532862982; POINT_POSITION: (758.988, 233.41, 18.5916); TOOL_DIRECTION: (0.0249131, 0.109672, -0.993656)
TIME_SPECIAL: 1941549560212; POINT_POSITION: (760.833, 235.663, 14.3942); TOOL_DIRECTION: (0.0293744, 0.111216, -0.993362)
TIME_SPECIAL: 1941566194296; POINT_POSITION: (758.851, 239.153, 8.90803); TOOL_DIRECTION: (0.0299816, 0.113576, -0.993077)
TIME_SPECIAL: 1941582852557; POINT_POSITION: (752.122, 243.122, 3.69703); TOOL_DIRECTION: (0.0283338, 0.11508, -0.992952)
TIME_SPECIAL: 1941599563725; POINT_POSITION: (742.609, 248.943, 1.15462); TOOL_DIRECTION: (0.0255622, 0.121619, -0.992248)
TIME_SPECIAL: 1941616250999; POINT_POSITION: (732.048, 253.909, 0.099018); TOOL_DIRECTION: (0.0239037, 0.129438, -0.991299)
TIME_SPECIAL: 1941632852941; POINT_POSITION: (720.12, 257.954, 0.297731); TOOL_DIRECTION: (0.0229222, 0.135976, -0.990447)
TIME_SPECIAL: 1941649575202; POINT_POSITION: (711.82, 259.524, 0.0410656); TOOL_DIRECTION: (0.0195393, 0.138377, -0.990187)
TIME_SPECIAL: 1941666194495; POINT_POSITION: (692.377, 260.513, 0); TOOL_DIRECTION: (0.011764, 0.137706, -0.990403)
TIME_SPECIAL: 1941682910782; POINT_POSITION: (667.433, 262.247, 0); TOOL_DIRECTION: (-0.00111221, 0.139913, -0.990163)
TIME_SPECIAL: 1941699595781; POINT_POSITION: (637.368, 262.604, 0); TOOL_DIRECTION: (-0.0188644, 0.139579, -0.990031)
TIME_SPECIAL: 1941716277367; POINT_POSITION: (601.782, 260.314, 0); TOOL_DIRECTION: (-0.0409558, 0.135379, -0.989947)
TIME_SPECIAL: 1941732954970; POINT_POSITION: (565.26, 256.169, 0); TOOL_DIRECTION: (-0.0612023, 0.130988, -0.989493)
TIME_SPECIAL: 1941749602138; POINT_POSITION: (547.65, 255.167, 0); TOOL_DIRECTION: (-0.0693893, 0.130092, -0.989071)
TIME_SPECIAL: 1941766319563; POINT_POSITION: (514.695, 253.151, 1.56943); TOOL_DIRECTION: (-0.0804323, 0.129114, -0.988362)
TIME_SPECIAL: 1941782972989; POINT_POSITION: (485.076, 253.583, 1.61422); TOOL_DIRECTION: (-0.0848684, 0.132284, -0.987572)
TIME_SPECIAL: 1941799641775; POINT_POSITION: (456.678, 253.713, 3.50742); TOOL_DIRECTION: (-0.0863409, 0.134542, -0.987139)
TIME_SPECIAL: 1941816337298; POINT_POSITION: (427.345, 251.927, 4.42678); TOOL_DIRECTION: (-0.0895174, 0.132969, -0.987069)
TIME_SPECIAL: 1941832954031; POINT_POSITION: (397.659, 250.645, 6.48617); TOOL_DIRECTION: (-0.0957927, 0.133921, -0.986351)
TIME_SPECIAL: 1941849760771; POINT_POSITION: (368.585, 249.46, 4.99007); TOOL_DIRECTION: (-0.105312, 0.13365, -0.985417)
TIME_SPECIAL: 1941866368402; POINT_POSITION: (355.766, 249.167, 4.48705); TOOL_DIRECTION: (-0.10851, 0.13353, -0.985086)
TIME_SPECIAL: 1941883005330; POINT_POSITION: (332.739, 249.837, 5.20262); TOOL_DIRECTION: (-0.114281, 0.137586, -0.983875)
TIME_SPECIAL: 1941899690614; POINT_POSITION: (314.449, 250.253, 3.98944); TOOL_DIRECTION: (-0.116524, 0.138667, -0.98346)
TIME_PRESSED: 1941899742382; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 1941916378457; POINT_POSITION: (299.767, 250.759, 2.95837); TOOL_DIRECTION: (-0.11752, 0.136361, -0.983664)
TIME_SPECIAL: 1941932992061; POINT_POSITION: (289.16, 251.938, 0); TOOL_DIRECTION: (-0.11798, 0.134482, -0.983868)
TIME_SPECIAL: 1941949667673; POINT_POSITION: (279.636, 253.324, 0.431042); TOOL_DIRECTION: (-0.119941, 0.13531, -0.983517)
TIME_SPECIAL: 1941966385667; POINT_POSITION: (275.763, 253.477, 1.31753); TOOL_DIRECTION: (-0.121133, 0.134662, -0.98346)
TIME_SPECIAL: 1941983078346; POINT_POSITION: (269.782, 253.412, 1.80115); TOOL_DIRECTION: (-0.123741, 0.133313, -0.983319)
TIME_SPECIAL: 1941999725514; POINT_POSITION: (265.984, 253.286, 1.69696); TOOL_DIRECTION: (-0.126168, 0.131776, -0.983218)
TIME_SPECIAL: 1942016404256; POINT_POSITION: (264.615, 252.948, 1.15609); TOOL_DIRECTION: (-0.126716, 0.129623, -0.983433)
TIME_SPECIAL: 1942033075032; POINT_POSITION: (263.995, 252.816, 1.2231); TOOL_DIRECTION: (-0.128503, 0.128508, -0.983348)
TIME_SPECIAL: 1942049784209; POINT_POSITION: (263.731, 252.619, 1.1495); TOOL_DIRECTION: (-0.133243, 0.128255, -0.98275)
TIME_SPECIAL: 1942066464656; POINT_POSITION: (263.588, 252.268, 1.29362); TOOL_DIRECTION: (-0.139709, 0.127591, -0.981938)
TIME_SPECIAL: 1942083092198; POINT_POSITION: (264.322, 252.032, 1.1893); TOOL_DIRECTION: (-0.14344, 0.127804, -0.981372)
TIME_SPECIAL: 1942099729411; POINT_POSITION: (266.892, 250.82, 1.35512); TOOL_DIRECTION: (-0.148866, 0.128085, -0.980527)
TIME_SPECIAL: 1942116480400; POINT_POSITION: (275.249, 245.838, 2.20373); TOOL_DIRECTION: (-0.151713, 0.123489, -0.98068)
TIME_SPECIAL: 1942133128422; POINT_POSITION: (288.412, 240.168, 2.14112); TOOL_DIRECTION: (-0.14955, 0.118507, -0.981627)
TIME_SPECIAL: 1942149816550; POINT_POSITION: (306.932, 234.176, 1.6065); TOOL_DIRECTION: (-0.142392, 0.114866, -0.983123)
TIME_SPECIAL: 1942166460589; POINT_POSITION: (328.435, 226.27, 0.792211); TOOL_DIRECTION: (-0.133727, 0.109592, -0.98494)
TIME_SPECIAL: 1942183214707; POINT_POSITION: (340.303, 221.941, 0.614223); TOOL_DIRECTION: (-0.128464, 0.107211, -0.985902)
