PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 2879421758508
TIME_WORD_START: 2879422397646; WORD_VALUE: hipped
TIME_SPECIAL: 2881351259630; POINT_POSITION: (622.71, 196.482, 0); TOOL_DIRECTION: (0.00527672, -0.156935, -0.987595)
TIME_SPECIAL: 2881367962833; POINT_POSITION: (626.319, 198.019, 0); TOOL_DIRECTION: (0.00631807, -0.147256, -0.989078)
TIME_SPECIAL: 2881384596917; POINT_POSITION: (627.791, 198.501, 0); TOOL_DIRECTION: (0.00700677, -0.144569, -0.98947)
TIME_SPECIAL: 2881401238681; POINT_POSITION: (629.472, 199.045, 0); TOOL_DIRECTION: (0.00741883, -0.143427, -0.989633)
TIME_SPECIAL: 2881417973173; POINT_POSITION: (630.072, 199.47, 0); TOOL_DIRECTION: (0.00662396, -0.140364, -0.990078)
TIME_SPECIAL: 2881434622901; POINT_POSITION: (630.174, 199.6, 0); TOOL_DIRECTION: (0.00640246, -0.139061, -0.990263)
TIME_SPECIAL: 2881451254141; POINT_POSITION: (630.138, 199.964, 0); TOOL_DIRECTION: (0.00627894, -0.137659, -0.99046)
TIME_SPECIAL: 2881467976970; POINT_POSITION: (629.818, 200.666, 0); TOOL_DIRECTION: (0.00529542, -0.130934, -0.991377)
TIME_SPECIAL: 2881484640636; POINT_POSITION: (629.675, 200.966, 0); TOOL_DIRECTION: (0.00505276, -0.129561, -0.991559)
TIME_SPECIAL: 2881501313404; POINT_POSITION: (629.618, 202.183, 0); TOOL_DIRECTION: (0.0034829, -0.122804, -0.992425)
TIME_SPECIAL: 2881518023718; POINT_POSITION: (629.143, 203.284, 0); TOOL_DIRECTION: (0.00139197, -0.122665, -0.992447)
TIME_SPECIAL: 2881534695348; POINT_POSITION: (628.305, 204.351, 0); TOOL_DIRECTION: (7.20707e-005, -0.120372, -0.992729)
TIME_SPECIAL: 2881551331423; POINT_POSITION: (628.86, 205.411, 0); TOOL_DIRECTION: (0.000910647, -0.112039, -0.993703)
TIME_SPECIAL: 2881568053684; POINT_POSITION: (626.104, 206.656, 0); TOOL_DIRECTION: (-0.00140732, -0.128397, -0.991722)
TIME_SPECIAL: 2881584697154; POINT_POSITION: (626.73, 206.647, 0); TOOL_DIRECTION: (-0.000424893, -0.115665, -0.993288)
TIME_SPECIAL: 2881601433921; POINT_POSITION: (626.323, 209.881, 0); TOOL_DIRECTION: (-0.000917049, -0.060985, -0.998138)
TIME_SPECIAL: 2881618083934; POINT_POSITION: (623.785, 210.854, 0); TOOL_DIRECTION: (-0.00837097, -0.0501391, -0.998707)
TIME_SPECIAL: 2881634743902; POINT_POSITION: (624.002, 208.58, 0); TOOL_DIRECTION: (-0.0071806, -0.095941, -0.995361)
TIME_SPECIAL: 2881651448527; POINT_POSITION: (627.003, 206.721, 0); TOOL_DIRECTION: (-0.00304899, -0.111867, -0.993719)
TIME_SPECIAL: 2881668113046; POINT_POSITION: (630.256, 207.915, 0); TOOL_DIRECTION: (0.00154928, -0.115781, -0.993274)
TIME_SPECIAL: 2881684739451; POINT_POSITION: (633.307, 208.333, 0); TOOL_DIRECTION: (0.00141166, -0.106273, -0.994336)
TIME_SPECIAL: 2881701467115; POINT_POSITION: (636.807, 208.458, 0); TOOL_DIRECTION: (0.00255309, -0.108176, -0.994129)
TIME_SPECIAL: 2881718079866; POINT_POSITION: (638.248, 207.378, 0); TOOL_DIRECTION: (0.00489265, -0.107984, -0.994141)
TIME_SPECIAL: 2881734759745; POINT_POSITION: (644.233, 207.548, 0); TOOL_DIRECTION: (0.00863727, -0.107858, -0.994129)
TIME_SPECIAL: 2881751415731; POINT_POSITION: (653.158, 212.604, 0); TOOL_DIRECTION: (0.0103257, -0.0676663, -0.997655)
TIME_SPECIAL: 2881768076268; POINT_POSITION: (662.206, 210.509, 0); TOOL_DIRECTION: (0.0131273, -0.0835963, -0.996413)
