PRACTICE_WORD_COUNT: 17
TIME_EXPERIMENT_START: 148730418101155
TIME_WORD_START: 148730418659515; WORD_VALUE: yippee
TIME_SPECIAL: 148732580190200; POINT_POSITION: (457.278, 223.634, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732596818401; POINT_POSITION: (457.311, 223.646, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732613526245; POINT_POSITION: (457.366, 223.666, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732630199103; POINT_POSITION: (457.45, 223.701, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732646871108; POINT_POSITION: (457.567, 223.75, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732663501869; POINT_POSITION: (457.716, 223.818, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732680223935; POINT_POSITION: (457.903, 223.914, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732696920686; POINT_POSITION: (458.143, 224.054, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732713560549; POINT_POSITION: (458.469, 224.273, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732730249905; POINT_POSITION: (458.997, 224.689, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732746917927; POINT_POSITION: (459.725, 225.309, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732763616669; POINT_POSITION: (460.819, 226.358, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732780261937; POINT_POSITION: (462.415, 227.967, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732796939346; POINT_POSITION: (463.427, 228.96, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732813631546; POINT_POSITION: (465.724, 231.17, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732830241542; POINT_POSITION: (468.12, 233.461, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732846979822; POINT_POSITION: (470.532, 235.707, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732863658084; POINT_POSITION: (472.866, 237.829, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732880326960; POINT_POSITION: (475.041, 239.776, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732896992707; POINT_POSITION: (477.041, 241.545, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732913648214; POINT_POSITION: (478.85, 243.131, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732930353498; POINT_POSITION: (480.483, 244.553, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732947000757; POINT_POSITION: (481.235, 245.205, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732963712014; POINT_POSITION: (483.181, 246.885, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732980382597; POINT_POSITION: (484.352, 247.893, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148732997037251; POINT_POSITION: (485.405, 248.796, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733013717504; POINT_POSITION: (485.889, 249.21, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733030414255; POINT_POSITION: (486.785, 249.974, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733047043309; POINT_POSITION: (487.597, 250.665, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733063747456; POINT_POSITION: (488.329, 251.285, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733080404101; POINT_POSITION: (488.995, 251.848, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733097074968; POINT_POSITION: (489.587, 252.35, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733113729337; POINT_POSITION: (490.08, 252.778, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733130497767; POINT_POSITION: (490.499, 253.167, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733147112030; POINT_POSITION: (490.845, 253.538, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733163783182; POINT_POSITION: (491.146, 253.904, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733180434707; POINT_POSITION: (491.422, 254.261, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733197157058; POINT_POSITION: (491.821, 254.855, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733213816262; POINT_POSITION: (492.973, 256.171, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_PRESSED: 148733213863480; KEY_PRESSED: VK_Y; KEY_EXPECTED: VK_Y
TIME_SPECIAL: 148733230513014; POINT_POSITION: (493.604, 256.807, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733247151739; POINT_POSITION: (494.572, 257.763, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733263818339; POINT_POSITION: (495.148, 258.326, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733280515374; POINT_POSITION: (495.425, 258.575, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733297191930; POINT_POSITION: (495.549, 258.676, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733313797944; POINT_POSITION: (495.611, 258.727, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733330545042; POINT_POSITION: (495.662, 258.77, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733347204247; POINT_POSITION: (495.723, 258.833, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733363885353; POINT_POSITION: (495.766, 258.943, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733380547403; POINT_POSITION: (495.766, 259.1, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733397199496; POINT_POSITION: (495.636, 259.256, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733413925545; POINT_POSITION: (495.388, 259.375, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733430636234; POINT_POSITION: (495.069, 259.455, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733447242248; POINT_POSITION: (494.891, 259.481, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
TIME_SPECIAL: 148733463973132; POINT_POSITION: (494.531, 259.515, 0); TOOL_DIRECTION: (0.17485, -0.309302, -0.934751)
