PRACTICE_WORD_COUNT: 3
TIME_EXPERIMENT_START: 37783038453503
TIME_WORD_START: 37783039811955; WORD_VALUE: ginned
TIME_SPECIAL: 37791091061993; POINT_POSITION: (607, 261, 0)
TIME_SPECIAL: 37791122529879; POINT_POSITION: (624, 263, 0)
TIME_SPECIAL: 37791153614367; POINT_POSITION: (634, 264, 0)
TIME_SPECIAL: 37791184780632; POINT_POSITION: (634, 263, 0)
TIME_SPECIAL: 37791216284277; POINT_POSITION: (637, 263, 0)
TIME_SPECIAL: 37791248375601; POINT_POSITION: (631, 249, 0)
TIME_SPECIAL: 37791279032323; POINT_POSITION: (622, 235, 0)
TIME_SPECIAL: 37791310624368; POINT_POSITION: (619, 229, 0)
TIME_SPECIAL: 37791341038072; POINT_POSITION: (612, 215, 0)
TIME_SPECIAL: 37791373017820; POINT_POSITION: (598, 172, 0)
TIME_PRESSED: 37791373134031; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N
TIME_SPECIAL: 37791403571242; POINT_POSITION: (595, 150, 0)
TIME_SPECIAL: 37791434740819; POINT_POSITION: (595, 136, 0)
TIME_SPECIAL: 37791466155070; POINT_POSITION: (595, 136, 0)
TIME_PRESSED: 37791466219632; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 37791466270619; WORD_VALUE: tin
TIME_WORD_START: 37791466357695; WORD_VALUE: ripped
TIME_SPECIAL: 37791497289551; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791528626989; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791559862121; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791591100895; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791622372778; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791653643006; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791684962896; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791716094729; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791747373896; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791778629886; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791809848464; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791841097502; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791872375013; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791903822041; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791935065119; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791965997638; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37791997396658; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792028604641; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792059800042; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792091063979; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792122542461; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792153517689; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792184771362; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792216032319; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792247338304; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792278528739; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792309775790; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792341509209; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792372265920; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792403520255; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792434793131; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792466040513; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792497294186; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792528582624; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792559781667; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792591010177; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792622272128; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792653558578; POINT_POSITION: (0, 0, 0)
TIME_SPECIAL: 37792684808609; POINT_POSITION: (329, 235, 0)
TIME_PRESSED: 37792684894692; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_SPECIAL: 37792716057978; POINT_POSITION: (378, 229, 0)
TIME_SPECIAL: 37792747619563; POINT_POSITION: (417, 227, 0)
TIME_SPECIAL: 37792778607372; POINT_POSITION: (417, 232, 0)
TIME_SPECIAL: 37792809813369; POINT_POSITION: (538, 238, 0)
TIME_SPECIAL: 37792841030622; POINT_POSITION: (538, 242, 0)
TIME_PRESSED: 37792841130279; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 37792872416399; POINT_POSITION: (575, 243, 0)
TIME_SPECIAL: 37792903920705; POINT_POSITION: (624, 246, 0)
TIME_SPECIAL: 37792935338267; POINT_POSITION: (651, 249, 0)
TIME_SPECIAL: 37792966071801; POINT_POSITION: (679, 252, 0)
TIME_SPECIAL: 37792998372373; POINT_POSITION: (679, 255, 0)
TIME_PRESSED: 37792998524342; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_SPECIAL: 37793028950627; POINT_POSITION: (731, 260, 0)
TIME_PRESSED: 37793029056575; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_SPECIAL: 37793059844408; POINT_POSITION: (731, 261, 0)
TIME_SPECIAL: 37793091055040; POINT_POSITION: (762, 262, 0)
TIME_SPECIAL: 37793122307720; POINT_POSITION: (773, 262, 0)
TIME_SPECIAL: 37793153790174; POINT_POSITION: (773, 262, 0)
TIME_SPECIAL: 37793184798511; POINT_POSITION: (779, 259, 0)
TIME_SPECIAL: 37793216055164; POINT_POSITION: (777, 256, 0)
TIME_SPECIAL: 37793247259836; POINT_POSITION: (777, 249, 0)
