PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 116648510996247
TIME_WORD_START: 116648511669521; WORD_VALUE: sue
TIME_SPECIAL: 116653441190742; POINT_POSITION: (362.971, 269.221, 342.728)
TIME_SPECIAL: 116653457863885; POINT_POSITION: (360.701, 268.73, 343.071)
TIME_SPECIAL: 116653474533330; POINT_POSITION: (358.323, 268.194, 343.401)
TIME_SPECIAL: 116653491227521; POINT_POSITION: (355.918, 267.64, 343.711)
TIME_SPECIAL: 116653507867952; POINT_POSITION: (353.549, 267.081, 343.979)
TIME_SPECIAL: 116653524564988; POINT_POSITION: (351.236, 266.509, 344.221)
TIME_SPECIAL: 116653541257757; POINT_POSITION: (348.963, 265.921, 344.446)
TIME_SPECIAL: 116653557888518; POINT_POSITION: (346.654, 265.297, 344.665)
TIME_SPECIAL: 116653574586975; POINT_POSITION: (345.457, 264.965, 344.781)
TIME_SPECIAL: 116653591247602; POINT_POSITION: (345.457, 264.965, 344.781)
TIME_SPECIAL: 116653607928709; POINT_POSITION: (339.708, 263.326, 345.33)
TIME_SPECIAL: 116653624598154; POINT_POSITION: (336.151, 262.311, 345.655)
TIME_SPECIAL: 116653641302585; POINT_POSITION: (331.241, 260.93, 346.064)
TIME_SPECIAL: 116653657912012; POINT_POSITION: (324.626, 259.118, 346.559)
TIME_SPECIAL: 116653674651146; POINT_POSITION: (316.3, 256.901, 347.11)
TIME_SPECIAL: 116653691325995; POINT_POSITION: (306.913, 254.465, 347.709)
TIME_SPECIAL: 116653707979511; POINT_POSITION: (297.377, 252.042, 348.286)
TIME_SPECIAL: 116653724639000; POINT_POSITION: (288.475, 249.809, 348.807)
TIME_SPECIAL: 116653741319822; POINT_POSITION: (280.797, 247.875, 349.256)
TIME_SPECIAL: 116653758024253; POINT_POSITION: (274.564, 246.297, 349.631)
TIME_SPECIAL: 116653774653876; POINT_POSITION: (269.575, 244.897, 349.978)
TIME_SPECIAL: 116653791363427; POINT_POSITION: (266.122, 243.845, 350.3)
