PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116897889399525
TIME_WORD_START: 116897889906401; WORD_VALUE: balls
TIME_SPECIAL: 116899652019794; POINT_POSITION: (532.336, 126.302, 217.279); TOOL_DIRECTION: (-0.0896633, 0.0125716, -0.995893)
TIME_SPECIAL: 116899668723657; POINT_POSITION: (534.592, 127.626, 217.279); TOOL_DIRECTION: (-0.0897782, 0.015931, -0.995834)
TIME_SPECIAL: 116899685394239; POINT_POSITION: (537.404, 128.655, 217.279); TOOL_DIRECTION: (-0.0868435, 0.0142016, -0.996121)
TIME_SPECIAL: 116899702050031; POINT_POSITION: (540.079, 129.269, 217.279); TOOL_DIRECTION: (-0.0851916, 0.0116854, -0.996296)
TIME_SPECIAL: 116899718730853; POINT_POSITION: (541.714, 130.01, 217.279); TOOL_DIRECTION: (-0.0854388, 0.0126166, -0.996264)
TIME_SPECIAL: 116899735419071; POINT_POSITION: (542.615, 130.764, 217.279); TOOL_DIRECTION: (-0.0858584, 0.013254, -0.996219)
TIME_SPECIAL: 116899752117529; POINT_POSITION: (543.63, 131.392, 217.279); TOOL_DIRECTION: (-0.0844228, 0.0127447, -0.996349)
TIME_SPECIAL: 116899768761374; POINT_POSITION: (544.463, 131.751, 217.279); TOOL_DIRECTION: (-0.084055, 0.0113325, -0.996397)
TIME_SPECIAL: 116899785408347; POINT_POSITION: (544.963, 132.309, 217.279); TOOL_DIRECTION: (-0.084668, 0.0139351, -0.996312)
TIME_SPECIAL: 116899802100832; POINT_POSITION: (545.305, 132.707, 217.279); TOOL_DIRECTION: (-0.0848222, 0.0136567, -0.996302)
TIME_SPECIAL: 116899818779663; POINT_POSITION: (545.403, 133.023, 217.279); TOOL_DIRECTION: (-0.0855943, 0.0139276, -0.996233)
TIME_SPECIAL: 116899835456503; POINT_POSITION: (545.282, 133.274, 217.279); TOOL_DIRECTION: (-0.0865983, 0.0135631, -0.996151)
