KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [mans, dipped, shier, core, find, sue, tales, falls, tin, dubbed, bale, hailed, sicker, coy, sires]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [31.287333, 31.424566, 18.631756, 39.155235, 15.160088, 36.229393, 21.77423, 61.302364, 30.97162, 18.454182, 19.842329, 23.53378, 18.996809, 18.814678, 32.15654]
TIME_DURATION_TOUCH_ONLY: [4.0519, 5.6033597, 3.4176521, 4.7171946, 1.667641, 4.685633, 3.0515954, 5.5169353, 3.7688482, 3.203006, 3.4996676, 2.933975, 2.5162373, 2.051528, 3.1340687]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [4.0519, 5.4190655, 2.1679122, 4.567527, 1.667641, 4.685633, 3.0515954, 3.565263, 3.7688482, 3.203006, 3.4996676, 2.933975, 2.5162373, 1.8852091, 3.1340687]
AVERAGE_PIXEL_VELOCITY: [7.7251444, 6.6051164, 8.906494, 9.494374, 9.090948, 7.7332444, 7.1351204, 13.551029, 8.219517, 5.7623343, 5.660613, 8.024232, 7.542744, 11.949177, 10.253799]
REACTION_TIME_FIRST_PRESSED: [1.1767569, 2.2174597, 1.9174002, 1.5671545, 1.3504281, 1.9340624, 1.4004905, 1.5505391, 2.434265, 1.6506047, 1.4004475, 2.417536, 0.90027344, 1.0002512, 1.8173217]
REACTION_TIME_FIRST_TOUCH: [1.1767569, 2.2174597, 1.9174002, 1.5671545, 1.3504281, 1.9340624, 1.4004905, 1.5505391, 2.434265, 1.6506047, 1.4004475, 2.417536, 0.90027344, 1.0002512, 1.8173217]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 1.5506165, 1.633976, 1.4671618, 0.0, 0.0, 0.0, 1.7257372, 0.0, 0.0, 0.0, 0.0, 0.0, 1.383885, 0.0]
TEXT_ENTRY_RATE_WPM: [11.846294, 8.566289, 7.022365, 12.719424, 14.391586, 12.8050995, 11.797108, 10.875603, 9.55199, 14.985923, 17.144485, 16.360058, 14.307077, 11.698598, 11.486667]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [11.846294, 8.857615, 11.0705595, 13.136212, 14.391586, 12.8050995, 11.797108, 16.829054, 9.55199, 14.985923, 17.144485, 16.360058, 14.307077, 12.730684, 11.486667]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [14.807868, 10.707862, 10.533547, 15.26331, 21.58738, 15.366119, 15.729477, 13.050723, 12.735987, 18.732405, 20.573383, 20.450073, 19.076101, 17.547897, 15.315554]
