PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221780778890400
TIME_WORD_START: 221780785372747; WORD_VALUE: the
TIME_SPECIAL: 221782942875941; POINT_POSITION: (450.264, 214.075, 0); TOOL_DIRECTION: (-0.0301674, 0.152257, -0.98788)
TIME_SPECIAL: 221782962562422; POINT_POSITION: (444.425, 214.213, 0); TOOL_DIRECTION: (-0.0334815, 0.155588, -0.987255)
TIME_SPECIAL: 221782982326287; POINT_POSITION: (434.812, 218.324, 0); TOOL_DIRECTION: (-0.0369879, 0.160543, -0.986336)
TIME_SPECIAL: 221783003808378; POINT_POSITION: (421.474, 221.177, 0); TOOL_DIRECTION: (-0.0381239, 0.16094, -0.986228)
TIME_SPECIAL: 221783022885519; POINT_POSITION: (416.056, 220.99, 0); TOOL_DIRECTION: (-0.0411111, 0.162747, -0.985811)
TIME_SPECIAL: 221783042730007; POINT_POSITION: (408.785, 221.327, 0); TOOL_DIRECTION: (-0.0434618, 0.16557, -0.98524)
TIME_SPECIAL: 221783061264252; POINT_POSITION: (403.468, 220.86, 0); TOOL_DIRECTION: (-0.0418124, 0.163896, -0.985591)
TIME_SPECIAL: 221783080657002; POINT_POSITION: (394.018, 222.515, 0); TOOL_DIRECTION: (-0.0429929, 0.169209, -0.984642)
TIME_SPECIAL: 221783100121462; POINT_POSITION: (384.284, 223.306, 0); TOOL_DIRECTION: (-0.0421146, 0.167134, -0.985034)
TIME_SPECIAL: 221783120047791; POINT_POSITION: (373.791, 225.639, 0); TOOL_DIRECTION: (-0.0443848, 0.169418, -0.984544)
TIME_SPECIAL: 221783139465255; POINT_POSITION: (365.428, 227.073, 0); TOOL_DIRECTION: (-0.0465484, 0.171426, -0.984097)
TIME_SPECIAL: 221783159619275; POINT_POSITION: (357.53, 228.466, 0); TOOL_DIRECTION: (-0.0468661, 0.171763, -0.984023)
TIME_SPECIAL: 221783178576898; POINT_POSITION: (350.285, 229.844, 1.80128); TOOL_DIRECTION: (-0.0493238, 0.175828, -0.983185)
TIME_SPECIAL: 221783197044293; POINT_POSITION: (343.766, 230.719, 1.7749); TOOL_DIRECTION: (-0.0493182, 0.175574, -0.98323)
TIME_SPECIAL: 221783217626553; POINT_POSITION: (335.885, 231.998, 4.63805); TOOL_DIRECTION: (-0.0494555, 0.17683, -0.982998)
TIME_SPECIAL: 221783236781887; POINT_POSITION: (328.379, 232.986, 6.58405); TOOL_DIRECTION: (-0.0508737, 0.17987, -0.982374)
TIME_SPECIAL: 221783258179708; POINT_POSITION: (320.855, 234.67, 7.95548); TOOL_DIRECTION: (-0.0509281, 0.183372, -0.981723)
TIME_PRESSED: 221783258304088; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 221783292947369; POINT_POSITION: (306.651, 236.736, 10.6781); TOOL_DIRECTION: (-0.0528691, 0.185201, -0.981277)
TIME_SPECIAL: 221783314332225; POINT_POSITION: (300.864, 236.889, 10.8984); TOOL_DIRECTION: (-0.0533373, 0.18274, -0.981713)
TIME_SPECIAL: 221783334818871; POINT_POSITION: (294.712, 238.174, 11.2647); TOOL_DIRECTION: (-0.0532699, 0.18388, -0.981504)
TIME_SPECIAL: 221783355018268; POINT_POSITION: (290.04, 238.74, 13.1198); TOOL_DIRECTION: (-0.0551845, 0.186247, -0.980952)
TIME_SPECIAL: 221783375143118; POINT_POSITION: (286.147, 239.054, 14.3964); TOOL_DIRECTION: (-0.0550156, 0.185275, -0.981145)
TIME_SPECIAL: 221783395152501; POINT_POSITION: (282.581, 239.855, 15.0587); TOOL_DIRECTION: (-0.0545791, 0.18614, -0.981006)
TIME_SPECIAL: 221783415618484; POINT_POSITION: (277.683, 239.932, 18.9054); TOOL_DIRECTION: (-0.0553028, 0.185235, -0.981137)
TIME_SPECIAL: 221783436090950; POINT_POSITION: (274.731, 240.384, 18.4891); TOOL_DIRECTION: (-0.0533893, 0.184357, -0.981408)
TIME_SPECIAL: 221783456095066; POINT_POSITION: (272.152, 241.374, 17.0913); TOOL_DIRECTION: (-0.0516499, 0.184806, -0.981417)
TIME_SPECIAL: 221783474839987; POINT_POSITION: (268.401, 241.615, 18.3723); TOOL_DIRECTION: (-0.0510171, 0.183495, -0.981696)
TIME_SPECIAL: 221783495460331; POINT_POSITION: (265.634, 242.056, 17.5892); TOOL_DIRECTION: (-0.0506356, 0.184559, -0.981516)
