PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222589801252875
TIME_WORD_START: 222589813891020; WORD_VALUE: the
TIME_SPECIAL: 222593180319433; POINT_POSITION: (396.898, 218.709, 217.279); TOOL_DIRECTION: (0.0658714, -0.245506, -0.967155)
TIME_SPECIAL: 222593209677576; POINT_POSITION: (405.993, 214.38, 217.279); TOOL_DIRECTION: (0.0757422, -0.252441, -0.964643)
TIME_SPECIAL: 222593242155347; POINT_POSITION: (411.786, 210.56, 217.279); TOOL_DIRECTION: (0.0738917, -0.252528, -0.964764)
TIME_SPECIAL: 222593273556644; POINT_POSITION: (420.669, 203.125, 217.279); TOOL_DIRECTION: (0.0848001, -0.279145, -0.956497)
TIME_SPECIAL: 222593306486560; POINT_POSITION: (426.766, 201.635, 217.279); TOOL_DIRECTION: (0.0796533, -0.27429, -0.958343)
TIME_SPECIAL: 222593336673632; POINT_POSITION: (440.764, 193.93, 217.279); TOOL_DIRECTION: (0.104323, -0.28971, -0.951412)
TIME_SPECIAL: 222593364169315; POINT_POSITION: (446.519, 189.781, 217.279); TOOL_DIRECTION: (0.101738, -0.292564, -0.950818)
TIME_SPECIAL: 222593395987103; POINT_POSITION: (457.951, 180.57, 217.279); TOOL_DIRECTION: (0.107553, -0.301067, -0.947519)
TIME_SPECIAL: 222593427268071; POINT_POSITION: (462.307, 174.641, 217.279); TOOL_DIRECTION: (0.0965202, -0.308207, -0.94641)
TIME_SPECIAL: 222593457891892; POINT_POSITION: (467.728, 166.936, 217.279); TOOL_DIRECTION: (0.096291, -0.326901, -0.94014)
TIME_SPECIAL: 222593491210343; POINT_POSITION: (471.795, 163.389, 217.279); TOOL_DIRECTION: (0.0984795, -0.327112, -0.93984)
TIME_SPECIAL: 222593521232115; POINT_POSITION: (474.339, 158.178, 217.279); TOOL_DIRECTION: (0.0961263, -0.329618, -0.939208)
TIME_SPECIAL: 222593550024673; POINT_POSITION: (476.643, 155.053, 217.279); TOOL_DIRECTION: (0.100476, -0.337225, -0.936047)
TIME_SPECIAL: 222593582007761; POINT_POSITION: (478.369, 154.193, 217.279); TOOL_DIRECTION: (0.10175, -0.335933, -0.936374)
TIME_SPECIAL: 222593612854007; POINT_POSITION: (476.752, 153.85, 217.279); TOOL_DIRECTION: (0.0980595, -0.334885, -0.937143)
TIME_SPECIAL: 222593637839806; POINT_POSITION: (476.752, 153.85, 217.279); TOOL_DIRECTION: (0.0980595, -0.334885, -0.937143)
TIME_SPECIAL: 222593669983332; POINT_POSITION: (475.618, 153.948, 217.279); TOOL_DIRECTION: (0.0952325, -0.331813, -0.938526)
TIME_SPECIAL: 222593707092335; POINT_POSITION: (474.909, 154, 217.279); TOOL_DIRECTION: (0.0931173, -0.328572, -0.939877)
TIME_SPECIAL: 222593739081094; POINT_POSITION: (479.24, 155.187, 217.279); TOOL_DIRECTION: (0.101326, -0.316187, -0.94327)
TIME_SPECIAL: 222593768689617; POINT_POSITION: (479.818, 152.716, 217.279); TOOL_DIRECTION: (0.104104, -0.314341, -0.943585)
TIME_SPECIAL: 222593798848330; POINT_POSITION: (480.879, 146.397, 215.671); TOOL_DIRECTION: (0.108115, -0.330202, -0.937698)
TIME_SPECIAL: 222593833114419; POINT_POSITION: (481.591, 144.62, 203.853); TOOL_DIRECTION: (0.108768, -0.332309, -0.936878)
TIME_SPECIAL: 222593861715747; POINT_POSITION: (485.163, 144.499, 185.8); TOOL_DIRECTION: (0.112514, -0.321448, -0.940219)
TIME_SPECIAL: 222593896573755; POINT_POSITION: (490.18, 136.323, 160.166); TOOL_DIRECTION: (0.117013, -0.330391, -0.936563)
TIME_SPECIAL: 222593927859180; POINT_POSITION: (496.832, 126.981, 140.597); TOOL_DIRECTION: (0.122128, -0.336848, -0.933605)
TIME_SPECIAL: 222593958898276; POINT_POSITION: (500.859, 120.214, 138.85); TOOL_DIRECTION: (0.122918, -0.356768, -0.926071)
TIME_SPECIAL: 222593990228267; POINT_POSITION: (506.177, 117.163, 135.665); TOOL_DIRECTION: (0.12767, -0.355141, -0.926054)
TIME_SPECIAL: 222594019626114; POINT_POSITION: (507.873, 110.28, 136.53); TOOL_DIRECTION: (0.125648, -0.376877, -0.917702)
TIME_SPECIAL: 222594048115622; POINT_POSITION: (509.14, 108.331, 133.079); TOOL_DIRECTION: (0.124868, -0.379727, -0.916633)
TIME_SPECIAL: 222594081069846; POINT_POSITION: (510.16, 106.527, 127.598); TOOL_DIRECTION: (0.125414, -0.382753, -0.915299)
TIME_SPECIAL: 222594112488159; POINT_POSITION: (509.826, 105.99, 112.314); TOOL_DIRECTION: (0.122566, -0.376084, -0.918443)
TIME_SPECIAL: 222594141784314; POINT_POSITION: (512.763, 109.193, 96.6344); TOOL_DIRECTION: (0.125284, -0.358607, -0.925043)
TIME_SPECIAL: 222594174230484; POINT_POSITION: (514.048, 112.828, 77.8306); TOOL_DIRECTION: (0.12574, -0.337013, -0.933066)
TIME_SPECIAL: 222594206244768; POINT_POSITION: (514.925, 113.968, 54.2224); TOOL_DIRECTION: (0.126578, -0.320645, -0.938704)
TIME_SPECIAL: 222594239110265; POINT_POSITION: (513.084, 113.597, 37.7636); TOOL_DIRECTION: (0.123691, -0.315795, -0.940731)
TIME_SPECIAL: 222594275273656; POINT_POSITION: (510.519, 114.401, 15.9589); TOOL_DIRECTION: (0.119685, -0.307722, -0.943919)
TIME_SPECIAL: 222594305501648; POINT_POSITION: (508.853, 114.321, 0.606054); TOOL_DIRECTION: (0.117508, -0.304979, -0.945082)
TIME_SPECIAL: 222594335140962; POINT_POSITION: (510.844, 120.807, 0); TOOL_DIRECTION: (0.124289, -0.238723, -0.963101)
TIME_PRESSED: 222594335415246; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 222594396548231; POINT_POSITION: (504.472, 104.352, 0); TOOL_DIRECTION: (0.118206, -0.30939, -0.94356)
TIME_SPECIAL: 222594429249644; POINT_POSITION: (507.652, 103.484, 0); TOOL_DIRECTION: (0.122435, -0.316641, -0.94061)
TIME_SPECIAL: 222594460858376; POINT_POSITION: (509.326, 101.961, 0); TOOL_DIRECTION: (0.124372, -0.321737, -0.938625)
TIME_SPECIAL: 222594492641726; POINT_POSITION: (512.595, 102.064, 0); TOOL_DIRECTION: (0.126623, -0.316864, -0.939981)
TIME_SPECIAL: 222594538423298; POINT_POSITION: (515.945, 101.268, 0); TOOL_DIRECTION: (0.128887, -0.314372, -0.94051)
TIME_SPECIAL: 222594571420063; POINT_POSITION: (515.551, 103.028, 0); TOOL_DIRECTION: (0.125495, -0.303837, -0.944423)
TIME_SPECIAL: 222594600479207; POINT_POSITION: (511.89, 103.14, 0); TOOL_DIRECTION: (0.119692, -0.30282, -0.945502)
TIME_SPECIAL: 222594632463105; POINT_POSITION: (501.95, 106.342, 0); TOOL_DIRECTION: (0.112203, -0.297481, -0.948112)
TIME_SPECIAL: 222594664451459; POINT_POSITION: (488.775, 112.372, 0); TOOL_DIRECTION: (0.106883, -0.288756, -0.951418)
TIME_SPECIAL: 222594693869563; POINT_POSITION: (473.379, 120.993, 0); TOOL_DIRECTION: (0.0976947, -0.272327, -0.957232)
TIME_SPECIAL: 222594729375401; POINT_POSITION: (455.517, 132.957, 0); TOOL_DIRECTION: (0.0887338, -0.253344, -0.963298)
