PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222941053257743
TIME_WORD_START: 222941074517409; WORD_VALUE: the
TIME_SPECIAL: 222944581040675; POINT_POSITION: (374.557, 225.099, 0); TOOL_DIRECTION: (-0.0397171, -0.194252, -0.980147)
TIME_SPECIAL: 222944616268583; POINT_POSITION: (361.532, 228.056, 0); TOOL_DIRECTION: (-0.0439636, -0.189457, -0.980904)
TIME_SPECIAL: 222944653999486; POINT_POSITION: (349, 229.588, 0); TOOL_DIRECTION: (-0.0471643, -0.193514, -0.979963)
TIME_SPECIAL: 222944684894349; POINT_POSITION: (335.299, 231.806, 0); TOOL_DIRECTION: (-0.0516067, -0.195193, -0.979406)
TIME_SPECIAL: 222944718258582; POINT_POSITION: (326.163, 233.83, 0); TOOL_DIRECTION: (-0.0563632, -0.189407, -0.98028)
TIME_PRESSED: 222944719266182; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 222944804375745; POINT_POSITION: (302.396, 238.313, 0); TOOL_DIRECTION: (-0.067786, -0.182723, -0.980825)
TIME_SPECIAL: 222944854222965; POINT_POSITION: (289.614, 240.662, 0); TOOL_DIRECTION: (-0.0709851, -0.184523, -0.980261)
TIME_SPECIAL: 222944903718922; POINT_POSITION: (275.86, 243.34, 0); TOOL_DIRECTION: (-0.080172, -0.16903, -0.982345)
TIME_SPECIAL: 222944936212899; POINT_POSITION: (270.77, 244.482, 0); TOOL_DIRECTION: (-0.0741497, -0.181671, -0.98056)
TIME_SPECIAL: 222944973058962; POINT_POSITION: (266.719, 244.957, 0); TOOL_DIRECTION: (-0.073792, -0.184638, -0.980032)
TIME_SPECIAL: 222945006898837; POINT_POSITION: (264.074, 245.186, 0); TOOL_DIRECTION: (-0.0754291, -0.183307, -0.980158)
TIME_SPECIAL: 222945036548685; POINT_POSITION: (262.478, 245.563, 0); TOOL_DIRECTION: (-0.077038, -0.179926, -0.980659)
TIME_SPECIAL: 222945081855831; POINT_POSITION: (261.528, 245.366, 0); TOOL_DIRECTION: (-0.0751408, -0.186361, -0.979604)
TIME_SPECIAL: 222945120887660; POINT_POSITION: (260.526, 245.105, 434.558); TOOL_DIRECTION: (-0.0728104, -0.188484, -0.979374)
