PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221966136902702
TIME_WORD_START: 221966143975752; WORD_VALUE: the
TIME_SPECIAL: 221969498175219; POINT_POSITION: (330.815, 272.111, 409.071); TOOL_DIRECTION: (0.0840599, -0.338464, -0.937217)
TIME_SPECIAL: 221969547941004; POINT_POSITION: (370.5, 255.418, 431.703); TOOL_DIRECTION: (0.0994793, -0.342055, -0.934399)
TIME_SPECIAL: 221969596167636; POINT_POSITION: (399.848, 246.004, 433.8); TOOL_DIRECTION: (0.117744, -0.347277, -0.930341)
TIME_SPECIAL: 221969630164708; POINT_POSITION: (416.831, 240.281, 434.558); TOOL_DIRECTION: (0.127967, -0.357782, -0.924995)
TIME_SPECIAL: 221969664665377; POINT_POSITION: (434.44, 234.498, 429.386); TOOL_DIRECTION: (0.133383, -0.352763, -0.926157)
TIME_SPECIAL: 221969695589411; POINT_POSITION: (446.089, 228.457, 421.009); TOOL_DIRECTION: (0.138257, -0.358575, -0.923206)
TIME_SPECIAL: 221969729627807; POINT_POSITION: (461.658, 221.463, 413.304); TOOL_DIRECTION: (0.144703, -0.368456, -0.918314)
TIME_SPECIAL: 221969761538374; POINT_POSITION: (474.139, 215.839, 412.835); TOOL_DIRECTION: (0.149384, -0.367579, -0.917916)
TIME_SPECIAL: 221969797833437; POINT_POSITION: (482.994, 212.576, 414.226); TOOL_DIRECTION: (0.154415, -0.372537, -0.91508)
TIME_SPECIAL: 221969827983641; POINT_POSITION: (490.276, 211.017, 415.906); TOOL_DIRECTION: (0.157229, -0.369292, -0.915916)
TIME_SPECIAL: 221969857992449; POINT_POSITION: (497.24, 208.128, 417.108); TOOL_DIRECTION: (0.159831, -0.371646, -0.914512)
TIME_SPECIAL: 221969891855012; POINT_POSITION: (503.979, 203.199, 419.251); TOOL_DIRECTION: (0.162919, -0.382848, -0.909332)
TIME_SPECIAL: 221969926490190; POINT_POSITION: (504.395, 199.85, 421.505); TOOL_DIRECTION: (0.159721, -0.376266, -0.912641)
TIME_SPECIAL: 221969961498913; POINT_POSITION: (502.694, 194.611, 424.679); TOOL_DIRECTION: (0.159053, -0.391854, -0.906175)
TIME_SPECIAL: 221969984577687; POINT_POSITION: (502.102, 192.632, 425.461); TOOL_DIRECTION: (0.159225, -0.393813, -0.905295)
TIME_SPECIAL: 221970018646064; POINT_POSITION: (497.872, 183.287, 427.682); TOOL_DIRECTION: (0.160946, -0.39784, -0.903228)
TIME_SPECIAL: 221970056298369; POINT_POSITION: (495.72, 177.673, 427.223); TOOL_DIRECTION: (0.163695, -0.395061, -0.903953)
TIME_SPECIAL: 221970091882805; POINT_POSITION: (491.636, 168.731, 424.64); TOOL_DIRECTION: (0.162405, -0.406726, -0.898998)
TIME_SPECIAL: 221970146046457; POINT_POSITION: (486.442, 158.183, 421.36); TOOL_DIRECTION: (0.156877, -0.436842, -0.885753)
TIME_SPECIAL: 221970184502573; POINT_POSITION: (484.625, 152.041, 419.322); TOOL_DIRECTION: (0.157288, -0.450867, -0.878624)
TIME_SPECIAL: 221970224646934; POINT_POSITION: (482.624, 138.574, 412.807); TOOL_DIRECTION: (0.159667, -0.478263, -0.863581)
TIME_SPECIAL: 221970258669125; POINT_POSITION: (483, 132.772, 407.492); TOOL_DIRECTION: (0.161978, -0.479911, -0.862234)
TIME_SPECIAL: 221970289891347; POINT_POSITION: (482.228, 124.099, 400.808); TOOL_DIRECTION: (0.161404, -0.489252, -0.857077)
TIME_SPECIAL: 221970323989300; POINT_POSITION: (481.612, 118.699, 395.842); TOOL_DIRECTION: (0.160719, -0.493285, -0.854891)
TIME_SPECIAL: 221970357330440; POINT_POSITION: (484.943, 113.502, 389.935); TOOL_DIRECTION: (0.166596, -0.500003, -0.849849)
TIME_SPECIAL: 221970392076627; POINT_POSITION: (486.848, 111.163, 381.901); TOOL_DIRECTION: (0.16826, -0.497413, -0.85104)
TIME_SPECIAL: 221970435590999; POINT_POSITION: (491.933, 110.292, 370.523); TOOL_DIRECTION: (0.173645, -0.485044, -0.857077)
TIME_SPECIAL: 221970465794277; POINT_POSITION: (495.749, 108.302, 362.058); TOOL_DIRECTION: (0.177519, -0.480648, -0.858758)
TIME_SPECIAL: 221970504704563; POINT_POSITION: (502.681, 110.75, 348.953); TOOL_DIRECTION: (0.184985, -0.457618, -0.869693)
TIME_SPECIAL: 221970552317398; POINT_POSITION: (505.351, 111.765, 332.19); TOOL_DIRECTION: (0.185491, -0.437313, -0.879972)
TIME_SPECIAL: 221970593943381; POINT_POSITION: (507.431, 109.822, 321.322); TOOL_DIRECTION: (0.186642, -0.435423, -0.880665)
TIME_SPECIAL: 221970645510853; POINT_POSITION: (511.98, 111.405, 304.936); TOOL_DIRECTION: (0.18949, -0.419926, -0.887556)
TIME_SPECIAL: 221970678129210; POINT_POSITION: (517.187, 111.064, 291.582); TOOL_DIRECTION: (0.196455, -0.406538, -0.892262)
TIME_SPECIAL: 221970710460724; POINT_POSITION: (519.432, 110.667, 276.039); TOOL_DIRECTION: (0.194239, -0.402309, -0.894661)
TIME_SPECIAL: 221970740664002; POINT_POSITION: (519.728, 108.025, 260.311); TOOL_DIRECTION: (0.191351, -0.401478, -0.895656)
TIME_SPECIAL: 221970773084243; POINT_POSITION: (521.804, 106.854, 247.78); TOOL_DIRECTION: (0.192489, -0.398003, -0.896962)
TIME_SPECIAL: 221970807242158; POINT_POSITION: (521.942, 105.708, 234.132); TOOL_DIRECTION: (0.190278, -0.393911, -0.899238)
TIME_SPECIAL: 221970841889085; POINT_POSITION: (522.761, 101.901, 216.005); TOOL_DIRECTION: (0.189484, -0.395632, -0.898649)
TIME_SPECIAL: 221970873785471; POINT_POSITION: (523.704, 99.8169, 201.429); TOOL_DIRECTION: (0.189565, -0.393704, -0.899479)
TIME_SPECIAL: 221970909811112; POINT_POSITION: (523.501, 98.4709, 181.766); TOOL_DIRECTION: (0.186969, -0.386944, -0.902949)
TIME_SPECIAL: 221970939270946; POINT_POSITION: (522.905, 94.6236, 164.839); TOOL_DIRECTION: (0.184846, -0.393857, -0.900394)
TIME_SPECIAL: 221970968778183; POINT_POSITION: (523.323, 94.451, 151.253); TOOL_DIRECTION: (0.183786, -0.388427, -0.902966)
TIME_SPECIAL: 221971006061399; POINT_POSITION: (522.501, 93.5585, 138.691); TOOL_DIRECTION: (0.181036, -0.38565, -0.90471)
TIME_SPECIAL: 221971036814461; POINT_POSITION: (521.128, 92.5509, 123.649); TOOL_DIRECTION: (0.177663, -0.382541, -0.906696)
TIME_SPECIAL: 221971069688466; POINT_POSITION: (520.335, 91.8877, 113.837); TOOL_DIRECTION: (0.176265, -0.380425, -0.907859)
TIME_SPECIAL: 221971103770213; POINT_POSITION: (518.818, 90.9153, 101.715); TOOL_DIRECTION: (0.174513, -0.37858, -0.908968)
TIME_SPECIAL: 221971135639050; POINT_POSITION: (515.697, 90.7526, 92.263); TOOL_DIRECTION: (0.170946, -0.375428, -0.910951)
TIME_SPECIAL: 221971165719568; POINT_POSITION: (512.5, 91.5454, 82.9852); TOOL_DIRECTION: (0.167313, -0.368196, -0.91457)
TIME_SPECIAL: 221971197879705; POINT_POSITION: (511.411, 91.255, 80.2391); TOOL_DIRECTION: (0.166396, -0.368352, -0.914675)
TIME_SPECIAL: 221971231771033; POINT_POSITION: (509.241, 91.6016, 72.7017); TOOL_DIRECTION: (0.164273, -0.365056, -0.916378)
