TIME_EXPERIMENT_START: 312860313893451
TIME_WORD_START: 312860319066769 WORD_VALUE: the
TIME_SPECIAL: 312866795689401 POINT_POSITION: (553, 127, 0)
TIME_SPECIAL: 312866823259226 POINT_POSITION: (553, 127, 0)
TIME_SPECIAL: 312866850104244 POINT_POSITION: (553, 127, 0)
TIME_SPECIAL: 312866874862351 POINT_POSITION: (553, 127, 0)
TIME_SPECIAL: 312866911757031 POINT_POSITION: (553, 127, 0)
TIME_SPECIAL: 312866937956650 POINT_POSITION: (553, 127, 0)
TIME_SPECIAL: 312866965168326 POINT_POSITION: (553, 127, 0)
TIME_SPECIAL: 312867566983707 POINT_POSITION: (658, 50, 0)
TIME_PRESSED: 312867567284731 KEY_PRESSED: VK_ENTER KEY_EXPECTED: VK_ENTER KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_WORD_END: 312867567638424 WORD_VALUE: brown
TIME_WORD_START: 312867567947551 WORD_VALUE: fox
TIME_SPECIAL: 312867612273026 POINT_POSITION: (658, 50, 0)
TIME_SPECIAL: 312867649671304 POINT_POSITION: (658, 50, 0)
TIME_SPECIAL: 312869098218894 POINT_POSITION: (302, 184, 0)
TIME_PRESSED: 312869098641867 KEY_PRESSED: VK_F KEY_EXPECTED: VK_F KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312869142342606 POINT_POSITION: (302, 184, 0)
TIME_SPECIAL: 312869175762749 POINT_POSITION: (263, 184, 0)
TIME_SPECIAL: 312869201773164 POINT_POSITION: (263, 184, 0)
TIME_SPECIAL: 312869223998700 POINT_POSITION: (233, 184, 0)
TIME_SPECIAL: 312869250805229 POINT_POSITION: (209, 184, 0)
TIME_SPECIAL: 312869275494461 POINT_POSITION: (209, 184, 0)
TIME_SPECIAL: 312869297407223 POINT_POSITION: (200, 184, 0)
TIME_SPECIAL: 312869322717140 POINT_POSITION: (185, 185, 0)
TIME_SPECIAL: 312869348434634 POINT_POSITION: (179, 185, 0)
TIME_SPECIAL: 312869373987234 POINT_POSITION: (175, 186, 0)
TIME_SPECIAL: 312869399495673 POINT_POSITION: (156, 188, 0)
TIME_SPECIAL: 312869422595920 POINT_POSITION: (148, 188, 0)
TIME_SPECIAL: 312869450464743 POINT_POSITION: (148, 190, 0)
TIME_SPECIAL: 312869474988676 POINT_POSITION: (144, 190, 0)
TIME_SPECIAL: 312869505265285 POINT_POSITION: (134, 193, 0)
TIME_SPECIAL: 312869530678515 POINT_POSITION: (123, 194, 0)
TIME_SPECIAL: 312869557833875 POINT_POSITION: (112, 194, 0)
TIME_SPECIAL: 312869582677063 POINT_POSITION: (112, 194, 0)
TIME_SPECIAL: 312869606154501 POINT_POSITION: (100, 194, 0)
TIME_SPECIAL: 312869630215756 POINT_POSITION: (92, 194, 0)
TIME_SPECIAL: 312869656878863 POINT_POSITION: (91, 194, 0)
TIME_SPECIAL: 312869684088108 POINT_POSITION: (83, 196, 0)
TIME_SPECIAL: 312869710932720 POINT_POSITION: (83, 196, 0)
TIME_SPECIAL: 312869732595507 POINT_POSITION: (81, 196, 0)
TIME_SPECIAL: 312869756667296 POINT_POSITION: (81, 196, 0)
TIME_SPECIAL: 312869781885244 POINT_POSITION: (81, 196, 0)
TIME_SPECIAL: 312869801753231 POINT_POSITION: (81, 196, 0)
TIME_SPECIAL: 312869829323056 POINT_POSITION: (81, 196, 0)
TIME_SPECIAL: 312869855469601 POINT_POSITION: (85, 192, 0)
TIME_SPECIAL: 312869881146581 POINT_POSITION: (104, 185, 0)
TIME_SPECIAL: 312869902154245 POINT_POSITION: (110, 176, 0)
TIME_PRESSED: 312869903335653 KEY_PRESSED: VK_A KEY_EXPECTED: VK_O KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312869938548570 POINT_POSITION: (154, 157, 0)
TIME_SPECIAL: 312869968077684 POINT_POSITION: (175, 145, 0)
TIME_SPECIAL: 312869991626023 POINT_POSITION: (175, 145, 0)
TIME_SPECIAL: 312870023505393 POINT_POSITION: (196, 133, 0)
TIME_SPECIAL: 312870045647063 POINT_POSITION: (212, 125, 0)
TIME_SPECIAL: 312870072275733 POINT_POSITION: (214, 125, 0)
TIME_SPECIAL: 312870097113249 POINT_POSITION: (217, 121, 0)
TIME_SPECIAL: 312870124271445 POINT_POSITION: (220, 120, 0)
TIME_SPECIAL: 312870146010804 POINT_POSITION: (220, 120, 0)
TIME_SPECIAL: 312870170751490 POINT_POSITION: (220, 119, 0)
TIME_SPECIAL: 312870192468971 POINT_POSITION: (220, 119, 0)
TIME_SPECIAL: 312870219924140 POINT_POSITION: (220, 118, 0)
TIME_SPECIAL: 312870243536087 POINT_POSITION: (222, 118, 0)
TIME_SPECIAL: 312870265193607 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870290903404 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870318677017 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870343143419 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870364767312 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870390865239 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870415919913 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870443858422 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870469908542 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870490640707 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870516124026 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870543108009 POINT_POSITION: (223, 117, 0)
TIME_SPECIAL: 312870568521239 POINT_POSITION: (223, 117, 0)
TIME_PRESSED: 312870568823073 KEY_PRESSED: VK_X KEY_EXPECTED: VK_BACK_SPACE KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
