PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222505066783970
TIME_WORD_START: 222505080639985; WORD_VALUE: the
TIME_SPECIAL: 222513727403957; POINT_POSITION: (294.523, 188.489, 0)
TIME_SPECIAL: 222513766941005; POINT_POSITION: (339.012, 168.598, 0)
TIME_SPECIAL: 222513798115824; POINT_POSITION: (367.285, 156.634, 0)
TIME_SPECIAL: 222513835125161; POINT_POSITION: (399.049, 144.528, 0)
TIME_SPECIAL: 222513871171465; POINT_POSITION: (434.639, 133.422, 0)
TIME_SPECIAL: 222513902094689; POINT_POSITION: (452.751, 129.075, 0)
TIME_SPECIAL: 222513934621483; POINT_POSITION: (471.279, 123.226, 0)
TIME_SPECIAL: 222513968469866; POINT_POSITION: (491.67, 116.658, 0)
TIME_SPECIAL: 222514000667276; POINT_POSITION: (504.911, 112.197, 0)
TIME_SPECIAL: 222514037572896; POINT_POSITION: (520.578, 107.271, 0)
TIME_PRESSED: 222514037856093; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N
TIME_SPECIAL: 222514134245750; POINT_POSITION: (546.022, 100.273, 0)
TIME_SPECIAL: 222514167635507; POINT_POSITION: (548.288, 99.8594, 0)
TIME_SPECIAL: 222514212321968; POINT_POSITION: (553.248, 99.036, 0)
TIME_SPECIAL: 222514250591716; POINT_POSITION: (560.563, 98.1153, 0)
TIME_SPECIAL: 222514291806476; POINT_POSITION: (565.214, 97.8847, 0)
TIME_SPECIAL: 222514327659929; POINT_POSITION: (568.376, 97.9212, 0)
TIME_SPECIAL: 222514365492524; POINT_POSITION: (572.056, 98.1169, 0)
TIME_SPECIAL: 222514402270928; POINT_POSITION: (573.855, 98.2521, 0)
TIME_SPECIAL: 222514432182500; POINT_POSITION: (574.883, 98.3353, 0)
TIME_SPECIAL: 222514467877947; POINT_POSITION: (576.128, 98.4391, 0)
TIME_SPECIAL: 222514495351347; POINT_POSITION: (576.352, 98.4582, 0)
TIME_SPECIAL: 222514528243178; POINT_POSITION: (577.492, 98.5576, 0)
TIME_SPECIAL: 222514564203185; POINT_POSITION: (577.979, 98.6026, 0)
TIME_SPECIAL: 222514596631124; POINT_POSITION: (578.079, 98.6172, 0)
TIME_SPECIAL: 222514634757045; POINT_POSITION: (578.111, 98.6311, 0)
TIME_SPECIAL: 222514669690006; POINT_POSITION: (578.118, 98.6377, 0)
TIME_SPECIAL: 222514701912940; POINT_POSITION: (578.115, 98.649, 0)
TIME_SPECIAL: 222514737082911; POINT_POSITION: (578.109, 98.6588, 0)
TIME_SPECIAL: 222514772086772; POINT_POSITION: (578.004, 98.6676, 0)
TIME_SPECIAL: 222514806532746; POINT_POSITION: (577.404, 98.4723, 0)
TIME_SPECIAL: 222514845067460; POINT_POSITION: (574.588, 96.7298, 0)
TIME_SPECIAL: 222514878174830; POINT_POSITION: (572, 93.3707, 434.558)
TIME_PRESSED: 222514878873708; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 222514879293035; WORD_VALUE: brown
TIME_WORD_START: 222514881694744; WORD_VALUE: fox
TIME_SPECIAL: 222515045741462; POINT_POSITION: (575.496, 81.6192, 434.558)
TIME_SPECIAL: 222515123757313; POINT_POSITION: (575.243, 79.2763, 434.558)
TIME_SPECIAL: 222515185743942; POINT_POSITION: (574.19, 77.233, 434.558)
TIME_SPECIAL: 222515277372316; POINT_POSITION: (569.731, 74.5544, 434.558)
TIME_SPECIAL: 222515323140923; POINT_POSITION: (568.309, 74.5883, 434.558)
TIME_SPECIAL: 222515416684425; POINT_POSITION: (558.856, 76.3022, 434.558)
