PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 181479450601278
TIME_WORD_START: 181479469178873; WORD_VALUE: the
TIME_SPECIAL: 181484712094276; POINT_POSITION: (475.723, 117.77, 326.674); TOOL_DIRECTION: (-0.119989, 0.152591, -0.980978)
TIME_SPECIAL: 181484737247401; POINT_POSITION: (481.676, 116.807, 325.257); TOOL_DIRECTION: (-0.115085, 0.153076, -0.98149)
TIME_SPECIAL: 181484762107605; POINT_POSITION: (481.676, 116.807, 325.257); TOOL_DIRECTION: (-0.115085, 0.153076, -0.98149)
TIME_SPECIAL: 181484788129770; POINT_POSITION: (494.051, 115.219, 324.468); TOOL_DIRECTION: (-0.11112, 0.16084, -0.980705)
TIME_SPECIAL: 181484812784970; POINT_POSITION: (499.955, 114.606, 323.202); TOOL_DIRECTION: (-0.10771, 0.165744, -0.980269)
TIME_SPECIAL: 181484836477136; POINT_POSITION: (499.955, 114.606, 323.202); TOOL_DIRECTION: (-0.10771, 0.165744, -0.980269)
TIME_SPECIAL: 181484873143314; POINT_POSITION: (498.946, 113.769, 321.875); TOOL_DIRECTION: (-0.112501, 0.167815, -0.979378)
TIME_SPECIAL: 181484909040118; POINT_POSITION: (502.465, 113.254, 318.304); TOOL_DIRECTION: (-0.103761, 0.166958, -0.980489)
TIME_SPECIAL: 181484943704061; POINT_POSITION: (500.221, 112.014, 311.171); TOOL_DIRECTION: (-0.100466, 0.159014, -0.982151)
TIME_SPECIAL: 181484976593462; POINT_POSITION: (499.339, 114.899, 304.775); TOOL_DIRECTION: (-0.0969751, 0.163139, -0.981826)
TIME_SPECIAL: 181485010967320; POINT_POSITION: (498.732, 120.559, 298.712); TOOL_DIRECTION: (-0.0937305, 0.191636, -0.97698)
TIME_SPECIAL: 181485039913023; POINT_POSITION: (498.065, 120.131, 292.498); TOOL_DIRECTION: (-0.0910751, 0.191914, -0.977177)
TIME_SPECIAL: 181485069833509; POINT_POSITION: (498.097, 120.658, 286.974); TOOL_DIRECTION: (-0.0881029, 0.193979, -0.977041)
TIME_SPECIAL: 181485098023613; POINT_POSITION: (496.208, 119.971, 283.262); TOOL_DIRECTION: (-0.0891112, 0.190806, -0.977575)
TIME_SPECIAL: 181485132072949; POINT_POSITION: (497.377, 117.285, 276.29); TOOL_DIRECTION: (-0.0837555, 0.179361, -0.980211)
TIME_SPECIAL: 181485162853156; POINT_POSITION: (498.055, 113.472, 269.92); TOOL_DIRECTION: (-0.0800301, 0.161075, -0.983692)
TIME_SPECIAL: 181485198109423; POINT_POSITION: (498.816, 109.631, 261.791); TOOL_DIRECTION: (-0.0757376, 0.14604, -0.986375)
TIME_SPECIAL: 181485227107795; POINT_POSITION: (500.192, 109.566, 256.448); TOOL_DIRECTION: (-0.0723983, 0.145863, -0.986652)
TIME_SPECIAL: 181485260049460; POINT_POSITION: (502.513, 109.128, 248.271); TOOL_DIRECTION: (-0.0676465, 0.142901, -0.987422)
TIME_SPECIAL: 181485293490670; POINT_POSITION: (502.578, 108.317, 240.855); TOOL_DIRECTION: (-0.0675819, 0.140691, -0.987744)
TIME_SPECIAL: 181485325498067; POINT_POSITION: (502.762, 108.14, 236.124); TOOL_DIRECTION: (-0.0631216, 0.140649, -0.988045)
TIME_SPECIAL: 181485360346756; POINT_POSITION: (504.745, 107.152, 225.565); TOOL_DIRECTION: (-0.0594175, 0.137375, -0.988735)
TIME_SPECIAL: 181485391811661; POINT_POSITION: (507.133, 106.73, 215.43); TOOL_DIRECTION: (-0.0552782, 0.141313, -0.98842)
TIME_SPECIAL: 181485426833754; POINT_POSITION: (509.262, 105.031, 202.723); TOOL_DIRECTION: (-0.0532904, 0.129944, -0.990088)
TIME_SPECIAL: 181485462044240; POINT_POSITION: (511.057, 103.696, 193.31); TOOL_DIRECTION: (-0.0499518, 0.129922, -0.990265)
TIME_SPECIAL: 181485492412008; POINT_POSITION: (512.172, 103.62, 188.104); TOOL_DIRECTION: (-0.049445, 0.131658, -0.990061)
TIME_SPECIAL: 181485529764504; POINT_POSITION: (513.295, 104.074, 181.769); TOOL_DIRECTION: (-0.0479263, 0.137412, -0.989354)
TIME_SPECIAL: 181485560472190; POINT_POSITION: (513.706, 104.641, 177.52); TOOL_DIRECTION: (-0.0484102, 0.140128, -0.988949)
TIME_SPECIAL: 181485593230728; POINT_POSITION: (514.229, 106.211, 171.761); TOOL_DIRECTION: (-0.0480607, 0.154384, -0.986841)
TIME_SPECIAL: 181485625729162; POINT_POSITION: (514.496, 106.827, 166.631); TOOL_DIRECTION: (-0.046813, 0.152154, -0.987248)
TIME_SPECIAL: 181485663268431; POINT_POSITION: (514.889, 106.902, 159.751); TOOL_DIRECTION: (-0.0428057, 0.143628, -0.988706)
TIME_SPECIAL: 181485695831283; POINT_POSITION: (515.474, 106.803, 154.197); TOOL_DIRECTION: (-0.0391323, 0.143371, -0.988895)
TIME_SPECIAL: 181485726912515; POINT_POSITION: (516.435, 106.841, 147.83); TOOL_DIRECTION: (-0.0353371, 0.143509, -0.989018)
TIME_SPECIAL: 181485758895197; POINT_POSITION: (517.476, 107.014, 138.109); TOOL_DIRECTION: (-0.033288, 0.144195, -0.988989)
TIME_SPECIAL: 181485794306230; POINT_POSITION: (518.58, 107.232, 128.432); TOOL_DIRECTION: (-0.0282102, 0.143572, -0.989238)
TIME_SPECIAL: 181485826414103; POINT_POSITION: (519.214, 107.881, 121.635); TOOL_DIRECTION: (-0.0263158, 0.154688, -0.987613)
TIME_SPECIAL: 181485860450474; POINT_POSITION: (520.133, 108.198, 110.615); TOOL_DIRECTION: (-0.0261297, 0.158595, -0.986998)
TIME_SPECIAL: 181485891876080; POINT_POSITION: (521.257, 107.967, 100.315); TOOL_DIRECTION: (-0.0194911, 0.149638, -0.988549)
TIME_SPECIAL: 181485923989625; POINT_POSITION: (524.443, 105.52, 81.734); TOOL_DIRECTION: (0.000350023, 0.104192, -0.994557)
TIME_SPECIAL: 181485948300045; POINT_POSITION: (524.826, 105.47, 77.1681); TOOL_DIRECTION: (-0.00371017, 0.113581, -0.993522)
TIME_SPECIAL: 181485988674935; POINT_POSITION: (527.349, 107.013, 54.0859); TOOL_DIRECTION: (-0.00282273, 0.123391, -0.992354)
TIME_SPECIAL: 181486018802046; POINT_POSITION: (527.53, 106.231, 27.1274); TOOL_DIRECTION: (-0.00484472, 0.115804, -0.99326)
TIME_PRESSED: 181486019361958; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 181486153803395; POINT_POSITION: (531.656, 109.178, 0); TOOL_DIRECTION: (0.0017473, 0.141793, -0.989895)
