TIME_EXPERIMENT_START: 14895102190570
TIME_WORD_START: 14895105553667; WORD_VALUE: the
TIME_SPECIAL: 14897097821907; POINT_POSITION: (444.565, 168.017, 0); TOOL_DIRECTION: (-0.0700255, -0.020622, -0.997332)
TIME_SPECIAL: 14897112527808; POINT_POSITION: (444.601, 167.841, 0); TOOL_DIRECTION: (-0.067331, -0.0207748, -0.997514)
TIME_SPECIAL: 14897126464340; POINT_POSITION: (444.332, 167.601, 0); TOOL_DIRECTION: (-0.0644345, -0.0223493, -0.997672)
TIME_SPECIAL: 14897140774010; POINT_POSITION: (443.753, 167.566, 0); TOOL_DIRECTION: (-0.0628863, -0.0235367, -0.997743)
TIME_SPECIAL: 14897154736067; POINT_POSITION: (440.027, 168.124, 0); TOOL_DIRECTION: (-0.0641939, -0.0249985, -0.997624)
TIME_SPECIAL: 14897168779962; POINT_POSITION: (434.474, 170.249, 0); TOOL_DIRECTION: (-0.0670889, -0.0241374, -0.997455)
TIME_SPECIAL: 14897182485158; POINT_POSITION: (431.024, 171.907, 0); TOOL_DIRECTION: (-0.0694501, -0.0224432, -0.997333)
TIME_SPECIAL: 14897197972985; POINT_POSITION: (423.071, 175.817, 0); TOOL_DIRECTION: (-0.0744792, -0.0183798, -0.997053)
TIME_SPECIAL: 14897213423134; POINT_POSITION: (414.616, 180.473, 0); TOOL_DIRECTION: (-0.0790577, -0.0121465, -0.996796)
TIME_SPECIAL: 14897227291198; POINT_POSITION: (410.248, 182.561, 0); TOOL_DIRECTION: (-0.0809823, -0.00982697, -0.996667)
TIME_SPECIAL: 14897241943619; POINT_POSITION: (402.031, 185.756, 0); TOOL_DIRECTION: (-0.0830039, -0.00808968, -0.996516)
TIME_SPECIAL: 14897258494948; POINT_POSITION: (391.304, 190.919, 0); TOOL_DIRECTION: (-0.0869984, -0.00247032, -0.996205)
TIME_SPECIAL: 14897271673457; POINT_POSITION: (386.172, 193.009, 0); TOOL_DIRECTION: (-0.0878596, -0.000781333, -0.996133)
TIME_SPECIAL: 14897285109637; POINT_POSITION: (374.758, 197.595, 0); TOOL_DIRECTION: (-0.0924223, 0.00241134, -0.995717)
TIME_SPECIAL: 14897299894135; POINT_POSITION: (363.68, 201.97, 0); TOOL_DIRECTION: (-0.0961244, 0.00603039, -0.995351)
TIME_SPECIAL: 14897313328290; POINT_POSITION: (357.555, 204.191, 0); TOOL_DIRECTION: (-0.0979914, 0.00765014, -0.995158)
TIME_SPECIAL: 14897327651330; POINT_POSITION: (347.128, 208.521, 0); TOOL_DIRECTION: (-0.101969, 0.0116187, -0.99472)
TIME_SPECIAL: 14897343426809; POINT_POSITION: (335.374, 213.416, 0); TOOL_DIRECTION: (-0.105443, 0.0156643, -0.994302)
TIME_SPECIAL: 14897357613315; POINT_POSITION: (329.442, 215.324, 0); TOOL_DIRECTION: (-0.106164, 0.0158664, -0.994222)
TIME_SPECIAL: 14897371055167; POINT_POSITION: (317.025, 219.903, 0); TOOL_DIRECTION: (-0.109233, 0.0184116, -0.993846)
TIME_SPECIAL: 14897384598306; POINT_POSITION: (310.373, 222.259, 0); TOOL_DIRECTION: (-0.111596, 0.0204777, -0.993543)
TIME_SPECIAL: 14897398250022; POINT_POSITION: (298.173, 225.765, 0); TOOL_DIRECTION: (-0.117473, 0.0222182, -0.992828)
TIME_SPECIAL: 14897412148067; POINT_POSITION: (291.693, 227.37, 0); TOOL_DIRECTION: (-0.119768, 0.0224087, -0.992549)
TIME_SPECIAL: 14897427991610; POINT_POSITION: (279.252, 233.696, 0); TOOL_DIRECTION: (-0.122707, 0.0318569, -0.991931)
TIME_SPECIAL: 14897441612536; POINT_POSITION: (271.49, 236.754, 0); TOOL_DIRECTION: (-0.123737, 0.0354722, -0.991681)
TIME_SPECIAL: 14897453809787; POINT_POSITION: (266.381, 238.34, 0); TOOL_DIRECTION: (-0.124138, 0.0359001, -0.991615)
TIME_SPECIAL: 14897467677850; POINT_POSITION: (256.778, 241.777, 0); TOOL_DIRECTION: (-0.124491, 0.0373237, -0.991519)
TIME_PRESSED: 14897467854088; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 14897489459177; POINT_POSITION: (250.594, 242.737, 0); TOOL_DIRECTION: (-0.12508, 0.0353264, -0.991518)
