KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [dubbed, bale, find, mans, sires, hailed, core, sue, coy, sicker, falls, shier, tin, dipped, tales]
DISTANCE_TRAVELED_TOUCH_ONLY: [62.899193, 20.156136, 17.177612, 29.528149, 16.929893, 54.624878, 10.437793, 14.33761, 25.910358, 27.613094, 32.511295, 12.315835, 20.059135, 10.656189, 32.65676]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [58.907513, 20.156136, 17.177612, 29.528149, 16.929893, 36.475143, 10.437793, 14.33761, 25.910358, 27.613094, 32.511295, 12.315835, 20.059135, 10.656189, 32.65676]
TIME_DURATION_TOUCH_ONLY: [7.728114, 1.9911417, 2.2196329, 1.7676561, 2.2380478, 6.062955, 1.7655208, 2.3682346, 2.872417, 3.5592558, 4.2687798, 1.9250023, 2.6403325, 1.9492264, 3.4688745]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [7.4020166, 1.9911417, 2.2196329, 1.7676561, 2.2380478, 3.796165, 1.7655208, 2.3682346, 2.872417, 3.5592558, 4.2687798, 1.9250023, 2.6403325, 1.9492264, 3.4688745]
AVERAGE_PIXEL_VELOCITY: [8.112812, 10.160271, 7.747389, 9.320154, 7.578111, 9.00187, 5.905844, 6.055786, 9.035245, 7.7752604, 7.6155605, 6.4224796, 7.615269, 5.4625463, 7.361829]
REACTION_TIME_FIRST_PRESSED: [1.2621055, 1.3838356, 1.1669525, 5.45225, 1.7672544, 1.7673122, 2.0173728, 1.5005882, 1.9174119, 2.150793, 1.3504981, 1.4337952, 1.5338733, 1.7172384, 5.785708]
REACTION_TIME_FIRST_TOUCH: [1.2621055, 1.3838356, 1.1669525, 0.95033187, 1.7672544, 1.7673122, 2.0173728, 1.5005882, 1.9174119, 2.150793, 1.3504981, 1.4337952, 1.5338733, 1.7172384, 1.617228]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.0170528, 0.0, 0.0, 1.6173136, 0.0, 1.6617423, 0.0, 0.0, 0.0, 0.0, 1.6840036, 0.0, 0.0, 0.0, 1.7340814]
TEXT_ENTRY_RATE_WPM: [6.2110887, 24.106773, 16.2189, 20.365953, 26.80908, 5.937699, 13.593722, 20.268263, 16.710667, 10.114474, 14.055539, 12.467517, 22.724411, 12.312577, 17.296677]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [6.4847198, 24.106773, 16.2189, 20.365953, 26.80908, 9.483255, 13.593722, 20.268263, 16.710667, 10.114474, 14.055539, 12.467517, 22.724411, 12.312577, 17.296677]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [7.763861, 30.133467, 21.625198, 7.6560225, 32.170895, 7.916932, 20.390585, 25.33533, 20.888334, 13.485965, 16.866648, 18.701277, 27.269293, 18.468866, 9.427348]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [8.105899, 30.133467, 21.625198, 7.6560225, 32.170895, 12.64434, 20.390585, 25.33533, 20.888334, 13.485965, 16.866648, 18.701277, 27.269293, 18.468866, 9.427348]
ERROR_RATE_KSPC: [3.0, 1.0, 1.0, 2.0, 1.0, 4.5, 1.0, 1.0, 1.0, 1.0, 1.3333334, 1.0, 1.0, 1.0, 1.3333334]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [2.3333333, 1.0, 1.0, 2.0, 1.0, 1.8571428, 1.0, 1.0, 1.0, 1.0, 1.3333334, 1.0, 1.0, 1.0, 1.3333334]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [16.666668, 0.0, 0.0, 0.0, 0.0, 42.857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [33.333336, 0.0, 0.0, 25.0, 0.0, 38.88889, 0.0, 0.0, 0.0, 0.0, 12.5, 0.0, 0.0, 0.0, 12.5]
TOTAL_ERROR_RATE: [50.0, 0.0, 0.0, 33.333336, 0.0, 63.636364, 0.0, 0.0, 0.0, 0.0, 14.285715, 0.0, 0.0, 0.0, 14.285715]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [50.0, 0.0, 0.0, 33.333336, 0.0, 60.000004, 0.0, 0.0, 0.0, 0.0, 14.285715, 0.0, 0.0, 0.0, 14.285715]
