PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 147748413571130
TIME_WORD_START: 147748414493292; WORD_VALUE: cocker
TIME_SPECIAL: 147750089746317; POINT_POSITION: (393.696, 89.3664, 37.2772); TOOL_DIRECTION: (-0.128724, -0.230991, -0.964403)
TIME_SPECIAL: 147750105122403; POINT_POSITION: (392.403, 89.5657, 37.0522); TOOL_DIRECTION: (-0.131782, -0.230207, -0.964177)
TIME_SPECIAL: 147750121740364; POINT_POSITION: (391.713, 89.8002, 36.9161); TOOL_DIRECTION: (-0.132768, -0.229941, -0.964106)
TIME_SPECIAL: 147750138438538; POINT_POSITION: (390.96, 89.9625, 36.5422); TOOL_DIRECTION: (-0.132691, -0.22971, -0.964171)
TIME_SPECIAL: 147750155094898; POINT_POSITION: (391.039, 89.9714, 36.1405); TOOL_DIRECTION: (-0.131178, -0.229069, -0.964531)
TIME_SPECIAL: 147750171816396; POINT_POSITION: (391.068, 90.1181, 35.5313); TOOL_DIRECTION: (-0.130038, -0.22756, -0.965042)
TIME_SPECIAL: 147750188479298; POINT_POSITION: (391.116, 90.0841, 34.9501); TOOL_DIRECTION: (-0.127596, -0.229701, -0.964861)
TIME_SPECIAL: 147750205150449; POINT_POSITION: (390.477, 90.3338, 34.2761); TOOL_DIRECTION: (-0.127123, -0.22893, -0.965107)
TIME_SPECIAL: 147750221869103; POINT_POSITION: (390.074, 91.0017, 33.3218); TOOL_DIRECTION: (-0.125752, -0.22353, -0.966551)
TIME_SPECIAL: 147750238496450; POINT_POSITION: (389.889, 91.8055, 32.2527); TOOL_DIRECTION: (-0.123794, -0.218793, -0.967887)
TIME_SPECIAL: 147750255170730; POINT_POSITION: (388.201, 92.9843, 31.1275); TOOL_DIRECTION: (-0.124461, -0.214213, -0.968825)
TIME_SPECIAL: 147750271825668; POINT_POSITION: (384.804, 94.3415, 29.9259); TOOL_DIRECTION: (-0.127725, -0.20624, -0.970129)
TIME_SPECIAL: 147750288511895; POINT_POSITION: (381.918, 95.6084, 29.0982); TOOL_DIRECTION: (-0.127763, -0.202239, -0.970966)
TIME_SPECIAL: 147750305127865; POINT_POSITION: (380.499, 96.5026, 28.1586); TOOL_DIRECTION: (-0.127653, -0.197946, -0.971865)
TIME_SPECIAL: 147750321854198; POINT_POSITION: (379.977, 96.8182, 27.7605); TOOL_DIRECTION: (-0.12767, -0.196559, -0.972144)
TIME_SPECIAL: 147750338479839; POINT_POSITION: (379.392, 97.3014, 27.0816); TOOL_DIRECTION: (-0.127135, -0.194011, -0.972726)
TIME_SPECIAL: 147750355154403; POINT_POSITION: (379.173, 97.4239, 26.5381); TOOL_DIRECTION: (-0.125951, -0.193278, -0.973026)
TIME_SPECIAL: 147750371900647; POINT_POSITION: (379.098, 97.4272, 26.0639); TOOL_DIRECTION: (-0.124779, -0.192315, -0.973368)
TIME_SPECIAL: 147750388505524; POINT_POSITION: (379.459, 97.5635, 25.5032); TOOL_DIRECTION: (-0.123008, -0.189638, -0.974118)
TIME_SPECIAL: 147750405176675; POINT_POSITION: (379.559, 97.8167, 24.7221); TOOL_DIRECTION: (-0.122972, -0.186161, -0.974793)
TIME_SPECIAL: 147750421884519; POINT_POSITION: (379.196, 97.8987, 23.7137); TOOL_DIRECTION: (-0.123014, -0.18459, -0.975087)
TIME_SPECIAL: 147750438573022; POINT_POSITION: (378.581, 97.5769, 22.7628); TOOL_DIRECTION: (-0.122967, -0.184648, -0.975082)
TIME_SPECIAL: 147750455246733; POINT_POSITION: (377.869, 97.1874, 21.9035); TOOL_DIRECTION: (-0.123429, -0.184006, -0.975145)
TIME_SPECIAL: 147750471935804; POINT_POSITION: (377.378, 97.1931, 20.9803); TOOL_DIRECTION: (-0.123265, -0.180642, -0.975794)
TIME_SPECIAL: 147750488656164; POINT_POSITION: (377.706, 97.7031, 19.7671); TOOL_DIRECTION: (-0.121007, -0.174703, -0.977157)
TIME_SPECIAL: 147750505262463; POINT_POSITION: (377.749, 98.2676, 18.4122); TOOL_DIRECTION: (-0.1204, -0.169181, -0.978203)
TIME_SPECIAL: 147750522092333; POINT_POSITION: (376.291, 97.9713, 16.904); TOOL_DIRECTION: (-0.120806, -0.166429, -0.978625)
TIME_SPECIAL: 147750538631503; POINT_POSITION: (374.814, 97.3608, 16.2849); TOOL_DIRECTION: (-0.121089, -0.166062, -0.978653)
TIME_SPECIAL: 147750555292983; POINT_POSITION: (371.931, 96.6018, 15.189); TOOL_DIRECTION: (-0.122132, -0.163005, -0.979037)
TIME_SPECIAL: 147750571926304; POINT_POSITION: (369.335, 96.6754, 14.2404); TOOL_DIRECTION: (-0.123789, -0.157383, -0.979748)
TIME_SPECIAL: 147750588600300; POINT_POSITION: (368.371, 96.6137, 13.4998); TOOL_DIRECTION: (-0.122963, -0.15475, -0.980272)
TIME_SPECIAL: 147750605340855; POINT_POSITION: (367.698, 96.3249, 12.8677); TOOL_DIRECTION: (-0.12258, -0.153291, -0.980549)
TIME_SPECIAL: 147750621989535; POINT_POSITION: (367.08, 96.3039, 12.2617); TOOL_DIRECTION: (-0.122638, -0.151209, -0.980865)
TIME_SPECIAL: 147750638615176; POINT_POSITION: (365.994, 96.1748, 11.6956); TOOL_DIRECTION: (-0.123579, -0.150079, -0.98092)
TIME_SPECIAL: 147750655340656; POINT_POSITION: (365.355, 95.9919, 11.3217); TOOL_DIRECTION: (-0.123555, -0.149008, -0.981087)
TIME_SPECIAL: 147750671971985; POINT_POSITION: (364.589, 96.1134, 10.9137); TOOL_DIRECTION: (-0.124307, -0.147064, -0.981285)
TIME_SPECIAL: 147750688671297; POINT_POSITION: (364.514, 96.1315, 10.4978); TOOL_DIRECTION: (-0.123461, -0.145857, -0.981572)
TIME_SPECIAL: 147750705345008; POINT_POSITION: (365.183, 96.1468, 10.1704); TOOL_DIRECTION: (-0.121185, -0.144129, -0.98211)
TIME_SPECIAL: 147750722023839; POINT_POSITION: (365.835, 96.1228, 9.83313); TOOL_DIRECTION: (-0.120226, -0.144334, -0.982198)
TIME_SPECIAL: 147750738729692; POINT_POSITION: (365.957, 95.7142, 9.52607); TOOL_DIRECTION: (-0.120135, -0.146521, -0.981886)
TIME_SPECIAL: 147750755371262; POINT_POSITION: (365.91, 95.4839, 9.35347); TOOL_DIRECTION: (-0.120046, -0.147277, -0.981783)
TIME_SPECIAL: 147750772068582; POINT_POSITION: (365.769, 95.1938, 8.88315); TOOL_DIRECTION: (-0.119886, -0.147055, -0.981836)
TIME_SPECIAL: 147750788720107; POINT_POSITION: (365.762, 94.8803, 8.38758); TOOL_DIRECTION: (-0.119116, -0.14805, -0.98178)
TIME_SPECIAL: 147750805430796; POINT_POSITION: (365.862, 94.4493, 7.93813); TOOL_DIRECTION: (-0.118604, -0.149419, -0.981635)
TIME_SPECIAL: 147750822077201; POINT_POSITION: (366.147, 94.0187, 7.41462); TOOL_DIRECTION: (-0.117514, -0.148839, -0.981854)
TIME_SPECIAL: 147750838781063; POINT_POSITION: (366.701, 93.4749, 6.85087); TOOL_DIRECTION: (-0.115973, -0.149468, -0.981942)
