PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 149445923058412
TIME_WORD_START: 149445923886423; WORD_VALUE: yells
TIME_SPECIAL: 149447868172749; POINT_POSITION: (284.203, 254.511, 0); TOOL_DIRECTION: (-0.084272, -0.0611982, -0.994562)
TIME_SPECIAL: 149447884784737; POINT_POSITION: (303.199, 253.351, 0); TOOL_DIRECTION: (-0.074289, -0.0606102, -0.995393)
TIME_SPECIAL: 149447901457879; POINT_POSITION: (324.615, 252.844, 0); TOOL_DIRECTION: (-0.062045, -0.0552772, -0.996541)
TIME_SPECIAL: 149447918163448; POINT_POSITION: (346.73, 251.553, 0); TOOL_DIRECTION: (-0.0449768, -0.0581377, -0.997295)
TIME_SPECIAL: 149447934863328; POINT_POSITION: (357.381, 250.877, 0); TOOL_DIRECTION: (-0.0384791, -0.0584232, -0.99755)
TIME_SPECIAL: 149447951529359; POINT_POSITION: (384.863, 247.532, 0); TOOL_DIRECTION: (-0.0172439, -0.0688467, -0.997478)
TIME_SPECIAL: 149447968148458; POINT_POSITION: (398.533, 246.826, 0); TOOL_DIRECTION: (-0.00736408, -0.0671634, -0.997715)
TIME_SPECIAL: 149447984856018; POINT_POSITION: (423.19, 243.244, 0); TOOL_DIRECTION: (0.00922107, -0.0735513, -0.997249)
TIME_SPECIAL: 149448001501569; POINT_POSITION: (457.471, 239.667, 0); TOOL_DIRECTION: (0.0276046, -0.0865786, -0.995862)
TIME_SPECIAL: 149448018215956; POINT_POSITION: (483.033, 237.809, 0); TOOL_DIRECTION: (0.0436534, -0.0987116, -0.994158)
TIME_SPECIAL: 149448034878290; POINT_POSITION: (509.763, 236.218, 0); TOOL_DIRECTION: (0.061453, -0.10757, -0.992296)
TIME_SPECIAL: 149448051536925; POINT_POSITION: (535.777, 233.922, 0); TOOL_DIRECTION: (0.0806119, -0.113997, -0.990205)
TIME_SPECIAL: 149448068206086; POINT_POSITION: (556.587, 231.813, 0); TOOL_DIRECTION: (0.0928515, -0.116701, -0.988817)
TIME_SPECIAL: 149448084828313; POINT_POSITION: (571.545, 229.441, 0); TOOL_DIRECTION: (0.0988087, -0.122469, -0.987541)
TIME_SPECIAL: 149448101510273; POINT_POSITION: (582.006, 227.56, 0); TOOL_DIRECTION: (0.102531, -0.127664, -0.986503)
TIME_SPECIAL: 149448118254242; POINT_POSITION: (593.595, 225.713, 0); TOOL_DIRECTION: (0.106531, -0.131423, -0.985586)
TIME_SPECIAL: 149448134925962; POINT_POSITION: (603.734, 223.638, 0); TOOL_DIRECTION: (0.110241, -0.13742, -0.984359)
TIME_SPECIAL: 149448151535105; POINT_POSITION: (612.147, 222.532, 0); TOOL_DIRECTION: (0.114574, -0.140016, -0.983498)
TIME_SPECIAL: 149448168256318; POINT_POSITION: (615.745, 221.62, 0); TOOL_DIRECTION: (0.115068, -0.143255, -0.982974)
TIME_SPECIAL: 149448184923772; POINT_POSITION: (622.962, 219.675, 0); TOOL_DIRECTION: (0.117244, -0.149649, -0.981763)
TIME_SPECIAL: 149448201600897; POINT_POSITION: (630.964, 218.076, 0); TOOL_DIRECTION: (0.121414, -0.154663, -0.980478)
TIME_SPECIAL: 149448218224546; POINT_POSITION: (639.811, 216.773, 0); TOOL_DIRECTION: (0.126917, -0.157446, -0.979338)
TIME_SPECIAL: 149448234936373; POINT_POSITION: (645.365, 215.995, 0); TOOL_DIRECTION: (0.130096, -0.158966, -0.978675)
TIME_SPECIAL: 149448251634262; POINT_POSITION: (650.664, 214.569, 0); TOOL_DIRECTION: (0.131922, -0.162881, -0.977786)
TIME_SPECIAL: 149448268272418; POINT_POSITION: (657.253, 213.38, 0); TOOL_DIRECTION: (0.134901, -0.161355, -0.977633)
TIME_SPECIAL: 149448284970591; POINT_POSITION: (667.284, 210.696, 0); TOOL_DIRECTION: (0.140761, -0.167504, -0.975771)
TIME_PRESSED: 149448285003586; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L
TIME_SPECIAL: 149448301668196; POINT_POSITION: (677.75, 208.19, 0); TOOL_DIRECTION: (0.146591, -0.173708, -0.973826)
TIME_SPECIAL: 149448318327116; POINT_POSITION: (687.151, 206.673, 0); TOOL_DIRECTION: (0.152596, -0.17714, -0.972284)
TIME_SPECIAL: 149448334994285; POINT_POSITION: (694.704, 204.845, 0); TOOL_DIRECTION: (0.156437, -0.183031, -0.970581)
TIME_PRESSED: 149448335028987; KEY_PRESSED: VK_L; KEY_EXPECTED: VK_L
TIME_SPECIAL: 149448351701561; POINT_POSITION: (702.265, 203.754, 0); TOOL_DIRECTION: (0.160108, -0.181859, -0.970202)
TIME_SPECIAL: 149448368351094; POINT_POSITION: (711.981, 201.93, 0); TOOL_DIRECTION: (0.166176, -0.186314, -0.968335)
TIME_SPECIAL: 149448385008308; POINT_POSITION: (717.825, 201.022, 0); TOOL_DIRECTION: (0.169732, -0.187779, -0.967435)
TIME_SPECIAL: 149448401738055; POINT_POSITION: (729.67, 199.608, 0); TOOL_DIRECTION: (0.178108, -0.187792, -0.965925)
TIME_SPECIAL: 149448418407499; POINT_POSITION: (738.779, 198.055, 0); TOOL_DIRECTION: (0.183784, -0.190866, -0.964258)
TIME_SPECIAL: 149448435026598; POINT_POSITION: (742.878, 197.508, 0); TOOL_DIRECTION: (0.185505, -0.189871, -0.964125)
TIME_SPECIAL: 149448451740415; POINT_POSITION: (744.71, 197.188, 0); TOOL_DIRECTION: (0.185497, -0.189344, -0.96423)
TIME_SPECIAL: 149448468376011; POINT_POSITION: (746.507, 196.492, 0); TOOL_DIRECTION: (0.185753, -0.190758, -0.963902)
TIME_SPECIAL: 149448485074469; POINT_POSITION: (751.056, 195.255, 0); TOOL_DIRECTION: (0.188717, -0.195434, -0.962388)
TIME_SPECIAL: 149448501734527; POINT_POSITION: (758.356, 194.808, 0); TOOL_DIRECTION: (0.19364, -0.194971, -0.961504)
TIME_SPECIAL: 149448518383492; POINT_POSITION: (765.161, 194.103, 0); TOOL_DIRECTION: (0.198657, -0.197945, -0.959871)
TIME_SPECIAL: 149448535029044; POINT_POSITION: (768.445, 194.057, 0); TOOL_DIRECTION: (0.200415, -0.197216, -0.959656)
TIME_SPECIAL: 149448551731768; POINT_POSITION: (768.117, 194.015, 0); TOOL_DIRECTION: (0.197989, -0.197109, -0.960181)
TIME_SPECIAL: 149448568449568; POINT_POSITION: (764.199, 193.494, 0); TOOL_DIRECTION: (0.191474, -0.199182, -0.961074)
TIME_SPECIAL: 149448585064684; POINT_POSITION: (760.498, 192.314, 0); TOOL_DIRECTION: (0.186945, -0.204027, -0.96095)
TIME_SPECIAL: 149448601769400; POINT_POSITION: (759.355, 191.897, 0); TOOL_DIRECTION: (0.185691, -0.206063, -0.960758)
TIME_SPECIAL: 149448618432587; POINT_POSITION: (758.308, 191.496, 0); TOOL_DIRECTION: (0.184571, -0.207446, -0.960677)
TIME_SPECIAL: 149448635138440; POINT_POSITION: (758.549, 191.558, 0); TOOL_DIRECTION: (0.185778, -0.206003, -0.960754)
TIME_SPECIAL: 149448651800490; POINT_POSITION: (756.408, 191.83, 0); TOOL_DIRECTION: (0.183879, -0.201998, -0.961969)
TIME_SPECIAL: 149448668485010; POINT_POSITION: (751.305, 191.956, 0); TOOL_DIRECTION: (0.179047, -0.200784, -0.963134)
TIME_SPECIAL: 149448685207930; POINT_POSITION: (746.477, 191.773, 0); TOOL_DIRECTION: (0.176213, -0.199399, -0.963945)
TIME_SPECIAL: 149448701826744; POINT_POSITION: (742.712, 191.196, 0); TOOL_DIRECTION: (0.1746, -0.202248, -0.963644)
TIME_SPECIAL: 149448718482251; POINT_POSITION: (737.481, 190.794, 0); TOOL_DIRECTION: (0.170908, -0.2039, -0.963958)
