KEYBOARD_TYPE: controller
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [fibs, pans, rub, shied, dubbed, tippee, gapes, calls, docker, fie]
AVERAGE_PIXEL_VELOCITY: [15.993575, 13.895192, 7.8899107, 8.948733, 10.275389, 15.032843, 15.451691, 11.824361, 9.61313, 13.082032]
REACTION_TIME_FIRST_PRESSED: [5.013658, 6.319357, 2.2008893, 2.200903, 1.2671269, 1.6173148, 1.650614, 1.1170658, 1.3004034, 1.4505092]
REACTION_TIME_FIRST_TOUCH: [1.84553, 2.6176686, 2.2008893, 2.200903, 1.2671269, 1.6173148, 1.650614, 1.1170658, 1.3004034, 1.4505092]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.6341031, 2.0286593, 0.0, 1.6506739, 0.0, 1.2004846, 1.0253813, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [10.822162, 5.879893, 14.111452, 6.4720354, 11.245101, 7.53574, 6.468756, 10.506369, 11.484415, 9.681472]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [10.822162, 5.879893, 14.111452, 6.4720354, 11.245101, 7.53574, 6.468756, 10.506369, 11.484415, 9.681472]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [7.8911324, 5.1776376, 16.933744, 7.7664423, 16.867651, 9.419675, 8.085945, 15.759552, 15.312553, 12.908629]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [7.8911324, 5.1776376, 16.933744, 7.7664423, 16.867651, 9.419675, 8.085945, 15.759552, 15.312553, 12.908629]
ERROR_RATE_KSPC: [1.4, 3.6666667, 1.0, 2.3333333, 1.0, 2.6, 3.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.4, 3.6666667, 1.0, 2.3333333, 1.0, 2.6, 3.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [14.285715, 36.363636, 0.0, 28.57143, 0.0, 30.769232, 33.333336, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [16.666668, 57.14286, 0.0, 40.0, 0.0, 44.444447, 50.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [16.666668, 57.14286, 0.0, 40.0, 0.0, 44.444447, 50.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [14.285715, 36.363636, 0.0, 28.57143, 0.0, 30.769232, 33.333336, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [518.91925, 543.60284, 435.56537, 588.75354, 434.81235, 577.1917, 539.0161, 435.5715, 434.72958, 434.6595]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [518.91925, 543.60284, 435.56537, 588.75354, 434.81235, 577.1917, 539.0161, 435.5715, 434.72958, 434.6595]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [438.12366, 510.60443, 435.56537, 437.46994, 434.81235, 447.94852, 443.0512, 435.5715, 434.72958, 434.6595]
KEYBOARD_TYPE: leapAirDynamic
PRACTICE_WORDS_PER_INPUT: 11
WORD_ORDER: [hipped, rubs, jane, yin, fir, docket, gales, balls, shirr, subbed]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 3, 1, 1, 1, 5, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [25.892324, 21.10954, 36.16271, 27.952442, 15.459111, 43.907894, 42.452736, 67.399315, 21.111204, 24.701372]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [25.892324, 21.10954, 36.16271, 27.952442, 15.459111, 43.907894, 42.452736, 67.399315, 21.111204, 24.701372]
TIME_DURATION_TOUCH_ONLY: [2.9847062, 2.701328, 2.8512602, 1.7675805, 1.7507832, 3.7183263, 2.7511926, 2.767875, 2.2509751, 2.8011491]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.9847062, 2.701328, 2.8512602, 1.7675805, 1.7507832, 3.7183263, 2.7511926, 2.767875, 2.2509751, 2.8011491]
AVERAGE_PIXEL_VELOCITY: [8.675395, 7.814936, 12.705846, 8.425782, 8.829491, 11.8092, 15.431093, 14.184668, 9.377211, 8.818597]
REACTION_TIME_FIRST_PRESSED: [1.2785629, 1.750617, 1.3504845, 3.5347352, 1.4505377, 1.2337782, 1.1003828, 6.186021, 1.3171873, 1.1670921]
REACTION_TIME_FIRST_TOUCH: [1.2785629, 1.750617, 1.3504845, 0.75015056, 1.4505377, 1.2337782, 1.1003828, 0.78353274, 1.3171873, 1.1670921]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.91705346, 0.0, 0.0, 0.0, 0.98373425, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [20.102482, 13.326777, 12.625997, 13.577883, 13.708152, 16.136293, 17.446981, 17.341825, 21.324091, 21.419783]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [20.102482, 13.326777, 12.625997, 13.577883, 13.708152, 16.136293, 17.446981, 17.341825, 21.324091, 21.419783]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [24.122978, 17.76904, 16.834661, 7.908325, 20.562227, 19.363552, 21.808723, 7.343614, 26.655115, 25.703735]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [24.122978, 17.76904, 16.834661, 7.908325, 20.562227, 19.363552, 21.808723, 7.343614, 26.655115, 25.703735]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 2.3333333, 1.0, 1.0, 1.0, 2.2, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 2.3333333, 1.0, 1.0, 1.0, 2.2, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 28.57143, 0.0, 0.0, 0.0, 27.272728, 0.0, 0.0]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 37.5, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 37.5, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 28.57143, 0.0, 0.0, 0.0, 27.272728, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [252.3025, 153.29726, 219.49052, 409.68106, 148.68564, 205.68092, 284.4186, 526.497, 145.45087, 164.44742]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [252.3025, 153.29726, 219.49052, 409.68106, 148.68564, 205.68092, 284.4186, 526.497, 145.45087, 164.44742]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [252.3025, 153.29726, 219.49052, 230.79929, 148.68564, 205.68092, 284.4186, 288.6785, 145.45087, 164.44742]
KEYBOARD_TYPE: leapAirBimodal
PRACTICE_WORDS_PER_INPUT: 5
WORD_ORDER: [got, sicker, dinned, mans, yells, tom, topped, whiff, dubs, galea]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [16.563044, 42.945793, 30.94572, 39.857643, 34.230244, 12.590665, 27.91268, 20.297989, 21.916147, 47.145092]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [16.563044, 42.945793, 30.94572, 39.857643, 34.230244, 12.590665, 27.91268, 20.297989, 21.916147, 47.145092]
TIME_DURATION_TOUCH_ONLY: [1.600659, 3.5181575, 2.8346395, 2.2009854, 2.1343322, 1.2172853, 2.7846005, 1.8508431, 1.9007732, 2.7846088]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.600659, 3.5181575, 2.8346395, 2.2009854, 2.1343322, 1.2172853, 2.7846005, 1.8508431, 1.9007732, 2.7846088]
AVERAGE_PIXEL_VELOCITY: [10.347241, 12.21034, 10.917238, 18.107986, 16.037176, 10.344061, 10.026084, 10.96948, 11.528669, 16.93345]
REACTION_TIME_FIRST_PRESSED: [1.0244462, 1.1169724, 1.0002031, 1.2836561, 1.3836788, 1.1170135, 0.9502704, 1.2336705, 0.91692, 1.2337043]
REACTION_TIME_FIRST_TOUCH: [1.0244462, 1.1169724, 1.0002031, 1.2836561, 1.3836788, 1.1170135, 0.9502704, 1.2336705, 0.91692, 1.2337043]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [14.993825, 17.054382, 21.166712, 16.35631, 22.48947, 19.716003, 21.547077, 25.934128, 18.939663, 17.237608]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [14.993825, 17.054382, 21.166712, 16.35631, 22.48947, 19.716003, 21.547077, 25.934128, 18.939663, 17.237608]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [22.490736, 20.465258, 25.400057, 21.808414, 28.111837, 29.574005, 25.856491, 32.41766, 25.252882, 21.547012]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [22.490736, 20.465258, 25.400057, 21.808414, 28.111837, 29.574005, 25.856491, 32.41766, 25.252882, 21.547012]
