PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 40784760122298
TIME_WORD_START: 40784761120974; WORD_VALUE: tilled
TIME_SPECIAL: 40786988661853; POINT_POSITION: (423.394, 239.198, 22.182); TOOL_DIRECTION: (-0.0704629, -0.272535, -0.959562)
TIME_SPECIAL: 40787005315938; POINT_POSITION: (424.673, 239.398, 15.0901); TOOL_DIRECTION: (-0.0696875, -0.272264, -0.959696)
TIME_SPECIAL: 40787022033453; POINT_POSITION: (426.139, 239.553, 7.70021); TOOL_DIRECTION: (-0.0681809, -0.27209, -0.959853)
TIME_SPECIAL: 40787038692943; POINT_POSITION: (427.5, 239.584, 0.138983); TOOL_DIRECTION: (-0.0680425, -0.27263, -0.95971)
TIME_PRESSED: 40787038742435; KEY_PRESSED: VK_T; KEY_EXPECTED: VK_T
TIME_SPECIAL: 40787055378885; POINT_POSITION: (428.71, 239.44, 0); TOOL_DIRECTION: (-0.0674778, -0.273171, -0.959596)
TIME_SPECIAL: 40787072068241; POINT_POSITION: (429.521, 239.188, 0); TOOL_DIRECTION: (-0.0676694, -0.273034, -0.959621)
TIME_SPECIAL: 40787088733134; POINT_POSITION: (429.913, 238.501, 0); TOOL_DIRECTION: (-0.067781, -0.274642, -0.959155)
TIME_SPECIAL: 40787105403717; POINT_POSITION: (429.875, 237.4, 0); TOOL_DIRECTION: (-0.0676464, -0.275948, -0.958789)
TIME_SPECIAL: 40787122037037; POINT_POSITION: (429.52, 236.22, 0); TOOL_DIRECTION: (-0.0676133, -0.276891, -0.95852)
TIME_SPECIAL: 40787138743459; POINT_POSITION: (428.936, 235.211, 0); TOOL_DIRECTION: (-0.0678132, -0.277432, -0.958349)
TIME_SPECIAL: 40787155387304; POINT_POSITION: (428.753, 234.304, 0); TOOL_DIRECTION: (-0.066731, -0.277851, -0.958304)
TIME_SPECIAL: 40787172092589; POINT_POSITION: (428.455, 233.874, 0); TOOL_DIRECTION: (-0.06677, -0.277959, -0.95827)
TIME_SPECIAL: 40787188722496; POINT_POSITION: (427.716, 233.035, 0); TOOL_DIRECTION: (-0.0664908, -0.277916, -0.958301)
TIME_SPECIAL: 40787205417256; POINT_POSITION: (426.141, 232.277, 0); TOOL_DIRECTION: (-0.0671041, -0.277496, -0.95838)
TIME_SPECIAL: 40787222050861; POINT_POSITION: (424.454, 231.546, 0); TOOL_DIRECTION: (-0.0675361, -0.277103, -0.958464)
TIME_SPECIAL: 40787238777194; POINT_POSITION: (422.665, 230.727, 0); TOOL_DIRECTION: (-0.0677939, -0.277231, -0.958409)
TIME_SPECIAL: 40787255431564; POINT_POSITION: (420.404, 229.539, 0); TOOL_DIRECTION: (-0.0684811, -0.279192, -0.95779)
TIME_SPECIAL: 40787272130875; POINT_POSITION: (417.793, 228.435, 0); TOOL_DIRECTION: (-0.0697065, -0.281245, -0.957101)
TIME_SPECIAL: 40787288811697; POINT_POSITION: (415.039, 227.448, 0); TOOL_DIRECTION: (-0.0713411, -0.283316, -0.956369)
TIME_SPECIAL: 40787305464075; POINT_POSITION: (413.595, 226.815, 0); TOOL_DIRECTION: (-0.0713675, -0.284562, -0.955997)
TIME_SPECIAL: 40787322108205; POINT_POSITION: (412.378, 226.87, 0); TOOL_DIRECTION: (-0.0715577, -0.283257, -0.956371)
TIME_SPECIAL: 40787338772814; POINT_POSITION: (411.608, 226.852, 0); TOOL_DIRECTION: (-0.0712357, -0.282332, -0.956668)
TIME_SPECIAL: 40787355483503; POINT_POSITION: (411.21, 226.931, 0); TOOL_DIRECTION: (-0.0706962, -0.280989, -0.957103)
TIME_SPECIAL: 40787372214102; POINT_POSITION: (411.543, 226.99, 0); TOOL_DIRECTION: (-0.0694094, -0.280379, -0.957377)
TIME_SPECIAL: 40787388837752; POINT_POSITION: (411.91, 227.185, 0); TOOL_DIRECTION: (-0.0686841, -0.279148, -0.957789)
TIME_SPECIAL: 40787405541045; POINT_POSITION: (412.706, 227.617, 0); TOOL_DIRECTION: (-0.0675342, -0.276884, -0.958527)
TIME_SPECIAL: 40787422187166; POINT_POSITION: (413.841, 227.706, 0); TOOL_DIRECTION: (-0.0662306, -0.276791, -0.958645)
TIME_SPECIAL: 40787438877375; POINT_POSITION: (416.106, 227.522, 0); TOOL_DIRECTION: (-0.0649238, -0.278019, -0.958379)
TIME_SPECIAL: 40787455498749; POINT_POSITION: (419.574, 227.858, 0); TOOL_DIRECTION: (-0.0638373, -0.276757, -0.958817)
TIME_SPECIAL: 40787472173313; POINT_POSITION: (423.762, 228.359, 0); TOOL_DIRECTION: (-0.0618733, -0.275632, -0.95927)
