PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 123840877189279
TIME_WORD_START: 123840877819318; WORD_VALUE: dinned
TIME_SPECIAL: 123842371751600; POINT_POSITION: (295.918, 205.031, 308.388); TOOL_DIRECTION: (-0.0572306, -0.20533, -0.977018)
TIME_SPECIAL: 123842388396582; POINT_POSITION: (295.892, 205.02, 308.358); TOOL_DIRECTION: (-0.0572555, -0.205372, -0.977008)
TIME_SPECIAL: 123842405127467; POINT_POSITION: (295.836, 204.997, 308.32); TOOL_DIRECTION: (-0.0574204, -0.205371, -0.976998)
TIME_SPECIAL: 123842421815969; POINT_POSITION: (295.767, 204.969, 308.303); TOOL_DIRECTION: (-0.057776, -0.205617, -0.976926)
TIME_SPECIAL: 123842438480009; POINT_POSITION: (295.688, 204.933, 0); TOOL_DIRECTION: (-0.0576997, -0.20578, -0.976896)
TIME_PRESSED: 123842438544009; KEY_PRESSED: VK_D; KEY_EXPECTED: VK_D
TIME_SPECIAL: 123842455090859; POINT_POSITION: (295.61, 204.892, 0); TOOL_DIRECTION: (-0.0577253, -0.205969, -0.976854)
TIME_SPECIAL: 123842471802685; POINT_POSITION: (295.527, 204.848, 0); TOOL_DIRECTION: (-0.058156, -0.205949, -0.976833)
TIME_SPECIAL: 123842488481232; POINT_POSITION: (295.442, 204.807, 0); TOOL_DIRECTION: (-0.0583833, -0.205857, -0.976839)
TIME_SPECIAL: 123842505146126; POINT_POSITION: (295.343, 204.765, 0); TOOL_DIRECTION: (-0.0589709, -0.205787, -0.976818)
TIME_SPECIAL: 123842521779162; POINT_POSITION: (295.232, 204.725, 0); TOOL_DIRECTION: (-0.0592508, -0.205835, -0.976791)
TIME_SPECIAL: 123842538547593; POINT_POSITION: (295.026, 204.637, 0); TOOL_DIRECTION: (-0.0591038, -0.206008, -0.976764)
TIME_SPECIAL: 123842555177784; POINT_POSITION: (294.856, 204.552, 0); TOOL_DIRECTION: (-0.058661, -0.206169, -0.976756)
TIME_SPECIAL: 123842571849505; POINT_POSITION: (294.684, 204.47, 0); TOOL_DIRECTION: (-0.0588186, -0.20645, -0.976688)
TIME_SPECIAL: 123842589195922; POINT_POSITION: (294.604, 204.435, 0); TOOL_DIRECTION: (-0.0588153, -0.206452, -0.976687)
TIME_SPECIAL: 123842605163648; POINT_POSITION: (294.478, 204.379, 0); TOOL_DIRECTION: (-0.0584021, -0.206171, -0.976772)
TIME_SPECIAL: 123842621872061; POINT_POSITION: (294.435, 204.339, 0); TOOL_DIRECTION: (-0.0574207, -0.205977, -0.976871)
TIME_SPECIAL: 123842638536386; POINT_POSITION: (294.505, 204.313, 0); TOOL_DIRECTION: (-0.0557872, -0.205542, -0.977057)
TIME_SPECIAL: 123842655235412; POINT_POSITION: (294.757, 204.304, 0); TOOL_DIRECTION: (-0.0538005, -0.205146, -0.977252)
TIME_SPECIAL: 123842671894617; POINT_POSITION: (295.42, 204.356, 0); TOOL_DIRECTION: (-0.0512807, -0.203811, -0.977666)
TIME_SPECIAL: 123842688576008; POINT_POSITION: (297.281, 204.58, 0); TOOL_DIRECTION: (-0.0475934, -0.202432, -0.978139)
TIME_SPECIAL: 123842705293239; POINT_POSITION: (301.662, 205.215, 0); TOOL_DIRECTION: (-0.0429376, -0.200248, -0.978804)
TIME_SPECIAL: 123842721923431; POINT_POSITION: (310.546, 206.442, 0); TOOL_DIRECTION: (-0.0362062, -0.198801, -0.979371)
TIME_SPECIAL: 123842738645782; POINT_POSITION: (322.947, 208.072, 0); TOOL_DIRECTION: (-0.0284245, -0.196713, -0.980049)
TIME_SPECIAL: 123842755284223; POINT_POSITION: (334.919, 210.235, 0); TOOL_DIRECTION: (-0.0220373, -0.191339, -0.981277)
TIME_SPECIAL: 123842771934610; POINT_POSITION: (345.585, 212.254, 0); TOOL_DIRECTION: (-0.0140598, -0.185714, -0.982503)
