PRACTICE_WORD_COUNT: 9
TIME_EXPERIMENT_START: 152972009560383
TIME_WORD_START: 152972010593761; WORD_VALUE: vales
TIME_SPECIAL: 152973886094024; POINT_POSITION: (558.245, 120.199, 295.064); TOOL_DIRECTION: (0.518348, 0.0263835, -0.854763)
TIME_SPECIAL: 152973902785655; POINT_POSITION: (554.042, 116.192, 293.945); TOOL_DIRECTION: (0.510097, 0.0156288, -0.859975)
TIME_SPECIAL: 152973919456522; POINT_POSITION: (546.238, 111.813, 291.206); TOOL_DIRECTION: (0.495265, 0.00342438, -0.868735)
TIME_SPECIAL: 152973936100935; POINT_POSITION: (538.403, 108.535, 290.209); TOOL_DIRECTION: (0.479982, -0.0065836, -0.877254)
TIME_SPECIAL: 152973952836655; POINT_POSITION: (530.073, 105.923, 289.577); TOOL_DIRECTION: (0.463899, -0.0133358, -0.885788)
TIME_SPECIAL: 152973969487611; POINT_POSITION: (521.971, 101.08, 291.234); TOOL_DIRECTION: (0.448415, -0.0232719, -0.893522)
TIME_SPECIAL: 152973986152220; POINT_POSITION: (510.78, 93.0299, 291.945); TOOL_DIRECTION: (0.427409, -0.0402027, -0.903164)
TIME_SPECIAL: 152974002840154; POINT_POSITION: (505.568, 88.4132, 292.682); TOOL_DIRECTION: (0.417057, -0.0502957, -0.907488)
TIME_SPECIAL: 152974019485137; POINT_POSITION: (492.975, 83.6291, 292.192); TOOL_DIRECTION: (0.391567, -0.0612411, -0.91811)
TIME_SPECIAL: 152974036163399; POINT_POSITION: (488.588, 82.9121, 292.358); TOOL_DIRECTION: (0.382686, -0.0641316, -0.92165)
TIME_SPECIAL: 152974052809804; POINT_POSITION: (480.855, 82.9379, 293.086); TOOL_DIRECTION: (0.362235, -0.0733911, -0.929193)
TIME_SPECIAL: 152974069460475; POINT_POSITION: (472.746, 85.6247, 293.54); TOOL_DIRECTION: (0.337928, -0.0797698, -0.937785)
TIME_SPECIAL: 152974086164907; POINT_POSITION: (463.885, 88.0303, 290.539); TOOL_DIRECTION: (0.313017, -0.0813925, -0.946253)
TIME_SPECIAL: 152974102853693; POINT_POSITION: (456.022, 89.5111, 284.475); TOOL_DIRECTION: (0.290908, -0.0811598, -0.953303)
TIME_SPECIAL: 152974119528258; POINT_POSITION: (448.526, 89.7832, 278.889); TOOL_DIRECTION: (0.269317, -0.0849958, -0.959294)
TIME_SPECIAL: 152974136195996; POINT_POSITION: (441.508, 90.5909, 272.714); TOOL_DIRECTION: (0.25017, -0.0856645, -0.964405)
TIME_SPECIAL: 152974152889334; POINT_POSITION: (436.504, 92.0543, 266.893); TOOL_DIRECTION: (0.234031, -0.0885279, -0.96819)
TIME_SPECIAL: 152974169545125; POINT_POSITION: (434.105, 99.6662, 257.931); TOOL_DIRECTION: (0.218332, -0.0806331, -0.972538)
TIME_SPECIAL: 152974186250125; POINT_POSITION: (434.446, 106.151, 250.214); TOOL_DIRECTION: (0.207748, -0.0777657, -0.975086)
TIME_SPECIAL: 152974202875197; POINT_POSITION: (434.188, 110.444, 243.31); TOOL_DIRECTION: (0.198679, -0.0768451, -0.977047)
TIME_SPECIAL: 152974219521033; POINT_POSITION: (433.607, 113.232, 239.887); TOOL_DIRECTION: (0.193411, -0.0735125, -0.97836)
