PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 2190649464554
TIME_WORD_START: 2190650319014; WORD_VALUE: etc
TIME_SPECIAL: 2193244829937; POINT_POSITION: (455.217, 241.989, 0); TOOL_DIRECTION: (-0.036359, 0.242153, -0.969557)
TIME_SPECIAL: 2193261510100; POINT_POSITION: (462.162, 243.619, 0); TOOL_DIRECTION: (-0.0344311, 0.250304, -0.967555)
TIME_SPECIAL: 2193278197943; POINT_POSITION: (464.517, 242.146, 0); TOOL_DIRECTION: (-0.0314202, 0.244262, -0.9692)
TIME_SPECIAL: 2193294857058; POINT_POSITION: (465.881, 238.516, 0); TOOL_DIRECTION: (-0.0336522, 0.23205, -0.972122)
TIME_SPECIAL: 2193311514466; POINT_POSITION: (465.516, 237.235, 0); TOOL_DIRECTION: (-0.0357883, 0.228383, -0.972913)
TIME_SPECIAL: 2193328200887; POINT_POSITION: (464.847, 237.902, 0); TOOL_DIRECTION: (-0.0356715, 0.231725, -0.972127)
TIME_SPECIAL: 2193344841798; POINT_POSITION: (460.357, 236.407, 0); TOOL_DIRECTION: (-0.0345739, 0.219232, -0.97506)
TIME_SPECIAL: 2193361561214; POINT_POSITION: (455.461, 236.058, 0); TOOL_DIRECTION: (-0.038834, 0.231508, -0.972058)
TIME_SPECIAL: 2193378241377; POINT_POSITION: (448.117, 236.004, 0); TOOL_DIRECTION: (-0.0478125, 0.238511, -0.969962)
TIME_SPECIAL: 2193394863515; POINT_POSITION: (444.064, 234.505, 0); TOOL_DIRECTION: (-0.0507384, 0.239961, -0.969456)
TIME_SPECIAL: 2193411500728; POINT_POSITION: (439.916, 234.02, 0); TOOL_DIRECTION: (-0.0533409, 0.250772, -0.966575)
TIME_SPECIAL: 2193428224411; POINT_POSITION: (432.466, 226.863, 0); TOOL_DIRECTION: (-0.0566385, 0.238956, -0.969377)
TIME_SPECIAL: 2193444916236; POINT_POSITION: (429.161, 219.913, 0); TOOL_DIRECTION: (-0.0511966, 0.221214, -0.973881)
TIME_SPECIAL: 2193461587013; POINT_POSITION: (424.321, 210.613, 0); TOOL_DIRECTION: (-0.0473003, 0.182062, -0.982149)
TIME_SPECIAL: 2193478218537; POINT_POSITION: (419.956, 207.959, 0); TOOL_DIRECTION: (-0.0511224, 0.185173, -0.981375)
TIME_SPECIAL: 2193494866274; POINT_POSITION: (415.941, 208.322, 0); TOOL_DIRECTION: (-0.0561443, 0.197903, -0.978612)
TIME_SPECIAL: 2193511581139; POINT_POSITION: (412.615, 208.129, 0); TOOL_DIRECTION: (-0.0605478, 0.203773, -0.977144)
TIME_SPECIAL: 2193528236272; POINT_POSITION: (412.615, 208.129, 0); TOOL_DIRECTION: (-0.0605478, 0.203773, -0.977144)
TIME_SPECIAL: 2193544967634; POINT_POSITION: (404.906, 196.84, 0); TOOL_DIRECTION: (-0.0609595, 0.18394, -0.981045)
TIME_SPECIAL: 2193561622483; POINT_POSITION: (403.217, 188.082, 0); TOOL_DIRECTION: (-0.0594062, 0.162221, -0.984965)
TIME_SPECIAL: 2193578306059; POINT_POSITION: (401.341, 184.61, 0); TOOL_DIRECTION: (-0.0604384, 0.158803, -0.985459)
TIME_SPECIAL: 2193594989920; POINT_POSITION: (399.594, 181.787, 0); TOOL_DIRECTION: (-0.0621058, 0.161723, -0.98488)
TIME_SPECIAL: 2193611596414; POINT_POSITION: (398.965, 179.709, 0); TOOL_DIRECTION: (-0.0626389, 0.161742, -0.984843)
TIME_SPECIAL: 2193628288239; POINT_POSITION: (399.976, 177.345, 0); TOOL_DIRECTION: (-0.0608631, 0.15843, -0.985493)
TIME_SPECIAL: 2193644978927; POINT_POSITION: (400.199, 173.059, 0); TOOL_DIRECTION: (-0.0603643, 0.150398, -0.986781)
TIME_PRESSED: 2193645021024; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C
TIME_SPECIAL: 2193661672459; POINT_POSITION: (400.437, 167.864, 0); TOOL_DIRECTION: (-0.0594769, 0.137649, -0.988694)
TIME_SPECIAL: 2193678348071; POINT_POSITION: (401.351, 162.926, 0); TOOL_DIRECTION: (-0.0582765, 0.125156, -0.990424)
TIME_SPECIAL: 2193694992395; POINT_POSITION: (401.208, 154.927, 0); TOOL_DIRECTION: (-0.0574064, 0.107368, -0.992561)
