KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 5
WORD_ORDER: [dipped, shier, core, sue, bale, hailed, sicker, find, sires, falls, dubbed, coy, tales, tin, mans]
ERROR_RATE_KSPC: [1.3333334, 2.2, 1.0, 2.2, 2.0, 1.6666666, 1.0, 5.0, 1.0, 3.0, 1.5, 1.6666666, 1.0, 1.0, 1.6666666]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 2.2, 1.0, 2.2, 1.4, 1.0, 1.0, 3.5, 1.0, 2.4285715, 1.5, 1.0, 1.0, 1.0, 1.2857143]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [14.285715, 0.0, 0.0, 0.0, 20.0, 25.0, 0.0, 25.0, 0.0, 14.285715, 0.0, 25.0, 0.0, 0.0, 14.285715]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [12.5, 27.272728, 0.0, 27.272728, 25.0, 20.0, 0.0, 40.0, 0.0, 33.333336, 16.666668, 20.0, 0.0, 0.0, 20.0]
TOTAL_ERROR_RATE: [14.285715, 37.5, 0.0, 37.5, 33.333336, 25.0, 0.0, 66.66667, 0.0, 50.0, 20.0, 25.0, 0.0, 0.0, 25.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [14.285715, 37.5, 0.0, 37.5, 33.333336, 25.0, 0.0, 66.66667, 0.0, 50.0, 20.0, 25.0, 0.0, 0.0, 25.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [12.5, 27.272728, 0.0, 27.272728, 25.0, 20.0, 0.0, 40.0, 0.0, 33.333336, 16.666668, 20.0, 0.0, 0.0, 20.0]
FRECHET_DISTANCE_TOUCH_ONLY: [722.74, 340.9274, 145.36815, 434.0909, 742.5625, 589.0531, 317.65396, 565.1946, 246.40828, 656.94684, 380.68945, 409.561, 294.39212, 154.02274, 676.42786]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [331.0209, 340.9274, 145.36815, 434.0909, 351.39642, 207.28905, 317.65396, 305.16577, 246.40828, 471.58813, 380.68945, 111.355934, 294.39212, 154.02274, 190.81667]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [331.0209, 264.50156, 145.36815, 401.54465, 351.39642, 207.28905, 317.65396, 260.16403, 246.40828, 349.4114, 291.61417, 111.355934, 294.39212, 154.02274, 361.22104]
KEYBOARD_TYPE: leapAirPinch
PRACTICE_WORDS_PER_INPUT: 9
WORD_ORDER: [rim, fit, rocket, gamma, gale, fins, tipped, soy, games, sure, cores, finned, mane, shift, jailed]
NUMBER_OF_TIMES_PLANE_BREACHED: [2, 1, 1, 1, 5, 1, 8, 2, 5, 1, 1, 3, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [23.8545, 16.203434, 32.446728, 26.337357, 53.482414, 22.808535, 56.44432, 27.32732, 53.0756, 17.346478, 26.403425, 34.161213, 27.7339, 18.1459, 31.453884]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [18.372166, 16.203434, 32.446728, 26.337357, 53.482414, 22.808535, 49.90389, 21.656904, 53.0756, 17.346478, 26.403425, 34.161213, 27.7339, 18.1459, 31.453884]
TIME_DURATION_TOUCH_ONLY: [2.875856, 1.9906794, 4.182029, 3.3322453, 4.696969, 3.6496902, 5.622386, 2.6822007, 8.843655, 2.4652107, 3.9979434, 5.0234666, 3.5228715, 2.6562166, 4.118346]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.742211, 1.9906794, 4.182029, 3.3322453, 4.696969, 3.6496902, 5.3074, 2.4522269, 8.843655, 2.4652107, 3.9979434, 5.0234666, 3.5228715, 2.6562166, 4.118346]
AVERAGE_PIXEL_VELOCITY: [8.316293, 8.166161, 7.7519026, 7.899002, 11.381578, 6.237033, 10.014321, 10.182756, 6.006939, 7.0345054, 6.5971937, 5.8545227, 7.883458, 6.8493314, 7.637983]
REACTION_TIME_FIRST_PRESSED: [2.8095443, 2.2008057, 2.3342178, 2.0341237, 2.7177656, 5.7857423, 2.8009036, 3.9516394, 2.1674886, 2.100796, 1.7339636, 5.819015, 2.434233, 2.2008371, 2.2341735]
REACTION_TIME_FIRST_TOUCH: [2.8095443, 2.2008057, 2.3342178, 2.0341237, 2.7177656, 5.7857423, 2.8009036, 3.9516394, 2.1674886, 2.100796, 1.7339636, 2.3508668, 2.434233, 2.2008371, 2.2341735]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.8674707, 0.0, 0.0, 0.0, 1.633972, 0.0, 1.2587905, 1.4505651, 1.550623, 0.0, 0.0, 2.1175115, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [8.345342, 12.056186, 14.347104, 14.404701, 7.6645174, 9.863852, 10.671626, 8.947877, 5.427621, 14.603215, 12.006173, 11.943943, 10.218937, 18.070814, 14.568956]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [8.752062, 12.056186, 14.347104, 14.404701, 7.6645174, 9.863852, 11.304971, 9.787023, 5.427621, 14.603215, 12.006173, 11.943943, 10.218937, 18.070814, 14.568956]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [12.518012, 18.08428, 17.216526, 18.005877, 10.219357, 13.151802, 12.805951, 13.421814, 6.7845254, 19.470953, 15.007716, 8.478952, 13.625249, 22.58852, 17.482746]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [13.128093, 18.08428, 17.216526, 18.005877, 10.219357, 13.151802, 13.565964, 14.680534, 6.7845254, 19.470953, 15.007716, 8.478952, 13.625249, 22.58852, 17.482746]
ERROR_RATE_KSPC: [1.6666666, 1.0, 1.0, 1.0, 3.0, 1.0, 2.0, 1.6666666, 3.8, 1.0, 1.0, 1.3333334, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.5714285, 1.0, 3.8, 1.0, 1.0, 1.3333334, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.285715, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [20.0, 0.0, 0.0, 0.0, 33.333336, 0.0, 25.0, 20.0, 36.842106, 0.0, 0.0, 12.5, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [25.0, 0.0, 0.0, 0.0, 50.0, 0.0, 33.333336, 25.0, 58.333332, 0.0, 0.0, 14.285715, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [25.0, 0.0, 0.0, 0.0, 50.0, 0.0, 33.333336, 25.0, 58.333332, 0.0, 0.0, 14.285715, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [20.0, 0.0, 0.0, 0.0, 33.333336, 0.0, 25.0, 20.0, 36.842106, 0.0, 0.0, 12.5, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [533.7219, 435.884, 440.4099, 435.3196, 509.13953, 435.72925, 790.18726, 632.0792, 525.88525, 434.80878, 435.76526, 553.74744, 436.6276, 439.70535, 434.736]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [465.54544, 435.884, 440.4099, 435.3196, 509.13953, 435.72925, 485.2438, 443.7143, 525.88525, 434.80878, 435.76526, 553.74744, 436.6276, 439.70535, 434.736]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [465.54544, 435.884, 440.4099, 435.3196, 542.228, 435.72925, 485.2438, 443.7143, 437.57193, 434.80878, 435.76526, 437.18796, 436.6276, 439.70535, 434.736]
KEYBOARD_TYPE: leapAirDynamic
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [gales, fibs, nailed, rocker, pens, shire, topped, zit, gin, hale, due, calls, tinned, fires, fore]
NUMBER_OF_TIMES_PLANE_BREACHED: [14, 4, 8, 1, 2, 9, 8, 1, 3, 1, 1, 2, 1, 10, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [80.187874, 29.290411, 48.942467, 30.069597, 31.813307, 40.964867, 37.446808, 19.76094, 13.804225, 25.850456, 12.080007, 23.982403, 22.873528, 34.39327, 16.62233]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [49.89057, 29.290411, 46.30093, 30.069597, 27.945198, 40.964867, 37.446808, 19.76094, 13.804225, 25.850456, 12.080007, 23.982403, 22.873528, 32.313877, 16.62233]
TIME_DURATION_TOUCH_ONLY: [20.65211, 3.7183533, 5.306835, 5.3092456, 2.9670708, 2.750606, 4.752617, 2.9531124, 2.242408, 3.6205072, 3.6134393, 3.8236175, 3.7058933, 6.161511, 2.9460888]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [16.393574, 3.7183533, 4.824722, 5.3092456, 2.8460014, 2.750606, 4.752617, 2.9531124, 2.242408, 3.6205072, 3.6134393, 3.8236175, 3.7058933, 5.824706, 2.9460888]
AVERAGE_PIXEL_VELOCITY: [6.650643, 5.09233, 5.8507, 5.6704645, 10.719682, 6.2695866, 4.5269575, 6.6959634, 6.1788554, 7.1446686, 3.338497, 6.2815576, 6.179426, 5.575446, 5.632436]
REACTION_TIME_FIRST_PRESSED: [2.645025, 10.421055, 16.99056, 1.8839915, 2.7010167, 19.675053, 14.406059, 2.9678261, 3.3179626, 12.421908, 1.7339602, 4.968708, 5.5689106, 3.0845249, 6.4859805]
REACTION_TIME_FIRST_TOUCH: [2.645025, 3.4680295, 1.3337698, 1.8839915, 2.7010167, 3.0178492, 2.7843578, 2.9678261, 3.3179626, 12.421908, 1.7339602, 4.968708, 5.5689106, 3.0845249, 6.4859805]
AVERAGE_REACTION_TIME_TO_ERRORS: [4.5055423, 3.1179862, 2.078666, 0.0, 2.5677135, 1.3839023, 1.3672318, 0.0, 1.667339, 0.0, 0.0, 0.0, 0.0, 3.8933082, 0.0]
TEXT_ENTRY_RATE_WPM: [2.3242178, 9.681705, 11.306174, 11.301041, 12.13318, 17.450699, 12.624625, 8.127019, 10.702781, 9.943358, 6.641872, 12.553557, 16.190428, 7.790297, 12.219591]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [2.9279766, 9.681705, 12.43595, 11.301041, 12.649326, 17.450699, 12.624625, 8.127019, 10.702781, 9.943358, 6.641872, 12.553557, 16.190428, 8.24076, 12.219591]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [2.9052722, 4.4980125, 3.4345205, 13.561249, 16.177572, 3.091539, 4.39713, 12.190528, 16.05417, 13.25781, 9.962808, 15.691947, 19.428514, 9.737872, 16.292788]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [3.659971, 4.4980125, 3.5153654, 13.561249, 16.865768, 3.091539, 4.39713, 12.190528, 16.05417, 13.25781, 9.962808, 15.691947, 19.428514, 10.300948, 16.292788]
ERROR_RATE_KSPC: [5.0, 2.5, 3.0, 1.0, 1.5, 3.4, 2.6666667, 1.0, 1.6666666, 1.0, 1.0, 1.0, 1.0, 2.6666667, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [4.0, 2.5, 2.4285715, 1.0, 1.0, 3.4, 2.6666667, 1.0, 1.6666666, 1.0, 1.0, 1.0, 1.0, 2.142857, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [16.666668, 0.0, 14.285715, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.57143, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [40.0, 30.000002, 33.333336, 0.0, 16.666668, 35.294117, 31.25, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 37.5, 0.0]
TOTAL_ERROR_RATE: [66.66667, 42.857143, 50.0, 0.0, 20.0, 54.545456, 45.454548, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 54.545456, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [66.66667, 42.857143, 50.0, 0.0, 20.0, 54.545456, 45.454548, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 54.545456, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [40.0, 30.000002, 33.333336, 0.0, 16.666668, 35.294117, 31.25, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 37.5, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [535.9368, 355.27063, 641.33417, 204.68076, 608.14056, 442.69894, 317.90396, 216.14062, 347.534, 293.23755, 146.27954, 297.39142, 182.65201, 686.6782, 184.81694]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [535.9368, 355.27063, 428.73508, 204.68076, 257.67325, 442.69894, 317.90396, 216.14062, 347.534, 293.23755, 146.27954, 297.39142, 182.65201, 441.14474, 184.81694]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [417.81192, 355.27063, 385.50085, 204.68076, 257.67325, 309.3583, 317.90396, 216.14062, 123.644104, 293.23755, 146.27954, 297.39142, 182.65201, 193.17387, 184.81694]
KEYBOARD_TYPE: leapAirBimodal
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [pans, run, dales, shied, tale, fine, fir, wicker, sit, sinned, halls, dire, hopped, failed, sites]
