PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116205097924312
TIME_WORD_START: 116205099074027; WORD_VALUE: fit
TIME_SPECIAL: 116207957244654; POINT_POSITION: (498.967, 168.83, 183.39); TOOL_DIRECTION: (-0.433538, 0.286514, -0.854374)
TIME_SPECIAL: 116207973908126; POINT_POSITION: (484.872, 155.406, 167.557); TOOL_DIRECTION: (-0.428431, 0.272394, -0.861538)
TIME_SPECIAL: 116207990545429; POINT_POSITION: (471.65, 142.268, 153.831); TOOL_DIRECTION: (-0.424246, 0.255739, -0.868685)
TIME_SPECIAL: 116208007246446; POINT_POSITION: (460.884, 132.531, 143.102); TOOL_DIRECTION: (-0.421374, 0.241848, -0.874044)
TIME_SPECIAL: 116208023925278; POINT_POSITION: (452.996, 126.246, 134.295); TOOL_DIRECTION: (-0.418105, 0.231915, -0.878296)
TIME_SPECIAL: 116208040597282; POINT_POSITION: (446.051, 123.421, 126.888); TOOL_DIRECTION: (-0.415829, 0.228028, -0.880392)
TIME_SPECIAL: 116208057270140; POINT_POSITION: (440.322, 119.397, 117.865); TOOL_DIRECTION: (-0.411411, 0.221162, -0.884211)
TIME_SPECIAL: 116208073938732; POINT_POSITION: (436.853, 117.059, 113.41); TOOL_DIRECTION: (-0.40962, 0.216759, -0.88613)
TIME_SPECIAL: 116208090623536; POINT_POSITION: (428.808, 113.243, 105.358); TOOL_DIRECTION: (-0.406987, 0.208745, -0.889262)
TIME_SPECIAL: 116208107305497; POINT_POSITION: (420.133, 110.495, 98.491); TOOL_DIRECTION: (-0.405399, 0.20166, -0.891619)
TIME_SPECIAL: 116208123975795; POINT_POSITION: (411.041, 108.678, 92.783); TOOL_DIRECTION: (-0.405092, 0.195825, -0.893058)
TIME_SPECIAL: 116208140613666; POINT_POSITION: (402.769, 107.661, 88.7457); TOOL_DIRECTION: (-0.404522, 0.190422, -0.894484)
TIME_SPECIAL: 116208157302737; POINT_POSITION: (396.103, 107.043, 86.0596); TOOL_DIRECTION: (-0.403346, 0.183767, -0.896405)
TIME_SPECIAL: 116208173984413; POINT_POSITION: (389.72, 109.148, 85.0215); TOOL_DIRECTION: (-0.403862, 0.182826, -0.896365)
TIME_SPECIAL: 116208190679742; POINT_POSITION: (385.871, 109.894, 86.887); TOOL_DIRECTION: (-0.403973, 0.180858, -0.896714)
TIME_SPECIAL: 116208207369951; POINT_POSITION: (384.657, 108.337, 86.6928); TOOL_DIRECTION: (-0.402666, 0.177933, -0.897886)
TIME_SPECIAL: 116208224008107; POINT_POSITION: (386.233, 104.036, 82.4594); TOOL_DIRECTION: (-0.395457, 0.1691, -0.902784)
TIME_SPECIAL: 116208240707703; POINT_POSITION: (387.825, 100.033, 68.808); TOOL_DIRECTION: (-0.384649, 0.160948, -0.908923)
TIME_SPECIAL: 116208257342446; POINT_POSITION: (389.465, 101.979, 58.3475); TOOL_DIRECTION: (-0.376165, 0.163098, -0.912085)
