PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 116366150747769
TIME_WORD_START: 116366151421897; WORD_VALUE: cocker
TIME_SPECIAL: 116368079363612; POINT_POSITION: (371.194, 152.991, 44.6653); TOOL_DIRECTION: (-0.281049, -0.0210405, -0.959463)
TIME_SPECIAL: 116368095982141; POINT_POSITION: (371.601, 152.407, 44.0134); TOOL_DIRECTION: (-0.281926, -0.0207244, -0.959212)
TIME_SPECIAL: 116368112711319; POINT_POSITION: (372.178, 151.331, 42.7727); TOOL_DIRECTION: (-0.282929, -0.019369, -0.958945)
TIME_SPECIAL: 116368129387874; POINT_POSITION: (373.128, 149.704, 41.0174); TOOL_DIRECTION: (-0.274762, -0.0332194, -0.960938)
TIME_SPECIAL: 116368146060164; POINT_POSITION: (373.865, 147.881, 39.3968); TOOL_DIRECTION: (-0.271348, -0.0411554, -0.961601)
TIME_SPECIAL: 116368162718799; POINT_POSITION: (374.83, 146.024, 37.9177); TOOL_DIRECTION: (-0.267199, -0.0460777, -0.962539)
TIME_SPECIAL: 116368179396209; POINT_POSITION: (375.59, 144.525, 36.7021); TOOL_DIRECTION: (-0.266641, -0.0453094, -0.96273)
TIME_SPECIAL: 116368196072195; POINT_POSITION: (376.84, 143.145, 35.6306); TOOL_DIRECTION: (-0.263522, -0.0471067, -0.963502)
TIME_SPECIAL: 116368212750173; POINT_POSITION: (377.975, 142.132, 34.542); TOOL_DIRECTION: (-0.265811, -0.0441919, -0.963012)
TIME_SPECIAL: 116368229430996; POINT_POSITION: (379.337, 141.067, 33.2235); TOOL_DIRECTION: (-0.264212, -0.0501898, -0.963158)
TIME_SPECIAL: 116368246101578; POINT_POSITION: (380.213, 140.431, 32.1801); TOOL_DIRECTION: (-0.271133, -0.043049, -0.961579)
TIME_SPECIAL: 116368262777281; POINT_POSITION: (381.211, 140.012, 31.0465); TOOL_DIRECTION: (-0.270069, -0.0420965, -0.96192)
TIME_SPECIAL: 116368279459241; POINT_POSITION: (382.075, 139.848, 29.8468); TOOL_DIRECTION: (-0.27041, -0.0368598, -0.962039)
TIME_SPECIAL: 116368296153717; POINT_POSITION: (382.752, 139.558, 28.9532); TOOL_DIRECTION: (-0.26739, -0.0421987, -0.962664)
TIME_SPECIAL: 116368312812068; POINT_POSITION: (383.426, 139.172, 27.4165); TOOL_DIRECTION: (-0.267308, -0.0420038, -0.962695)
TIME_SPECIAL: 116368329482935; POINT_POSITION: (384.269, 138.198, 25.2551); TOOL_DIRECTION: (-0.262528, -0.0489501, -0.963682)
TIME_SPECIAL: 116368346107722; POINT_POSITION: (384.332, 136.977, 22.9893); TOOL_DIRECTION: (-0.262287, -0.0541124, -0.963472)
TIME_SPECIAL: 116368362828082; POINT_POSITION: (383.784, 135.557, 20.8752); TOOL_DIRECTION: (-0.260956, -0.0596499, -0.963506)
TIME_SPECIAL: 116368379518007; POINT_POSITION: (382.346, 134.373, 19.0208); TOOL_DIRECTION: (-0.264513, -0.0593996, -0.962551)
TIME_SPECIAL: 116368396186598; POINT_POSITION: (380.032, 133.686, 17.5442); TOOL_DIRECTION: (-0.274411, -0.0466064, -0.960482)
TIME_SPECIAL: 116368412870265; POINT_POSITION: (378.732, 132.606, 15.8152); TOOL_DIRECTION: (-0.265972, -0.0559724, -0.962354)
TIME_SPECIAL: 116368429519514; POINT_POSITION: (377.99, 131.369, 13.8903); TOOL_DIRECTION: (-0.262988, -0.0622927, -0.962786)
TIME_SPECIAL: 116368446208301; POINT_POSITION: (376.909, 130.373, 12.268); TOOL_DIRECTION: (-0.267252, -0.0641803, -0.961487)
TIME_SPECIAL: 116368462869497; POINT_POSITION: (375.556, 129.754, 10.8388); TOOL_DIRECTION: (-0.268491, -0.0661919, -0.961005)
TIME_SPECIAL: 116368479540933; POINT_POSITION: (374.819, 129.27, 9.11514); TOOL_DIRECTION: (-0.270438, -0.0642174, -0.960593)
TIME_SPECIAL: 116368496242804; POINT_POSITION: (374.526, 129.218, 7.25377); TOOL_DIRECTION: (-0.266407, -0.0638478, -0.961744)
TIME_SPECIAL: 116368512932728; POINT_POSITION: (374.907, 129.258, 5.11309); TOOL_DIRECTION: (-0.262962, -0.0638086, -0.962694)
TIME_PRESSED: 116368512981084; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C
TIME_SPECIAL: 116368529653373; POINT_POSITION: (374.945, 129.332, 4.10884); TOOL_DIRECTION: (-0.266316, -0.0619057, -0.961896)
TIME_SPECIAL: 116368546285555; POINT_POSITION: (375.374, 129.518, 1.85787); TOOL_DIRECTION: (-0.263762, -0.063214, -0.962514)
TIME_SPECIAL: 116368562986573; POINT_POSITION: (376.301, 129.649, 0); TOOL_DIRECTION: (-0.259796, -0.0654071, -0.963446)
TIME_SPECIAL: 116368579620747; POINT_POSITION: (377.96, 129.822, 0); TOOL_DIRECTION: (-0.251886, -0.0649754, -0.965573)
TIME_SPECIAL: 116368596314369; POINT_POSITION: (380.108, 130.218, 0); TOOL_DIRECTION: (-0.247388, -0.0601525, -0.967048)
TIME_SPECIAL: 116368612947406; POINT_POSITION: (381.852, 130.542, 0); TOOL_DIRECTION: (-0.24857, -0.0608452, -0.966701)
TIME_SPECIAL: 116368629562806; POINT_POSITION: (381.852, 130.542, 0); TOOL_DIRECTION: (-0.24857, -0.0608452, -0.966701)
TIME_SPECIAL: 116368646340339; POINT_POSITION: (382.893, 131.496, 0); TOOL_DIRECTION: (-0.2577, -0.0428824, -0.965273)
TIME_SPECIAL: 116368663004948; POINT_POSITION: (384.041, 132.557, 0); TOOL_DIRECTION: (-0.257514, -0.0301906, -0.965803)
TIME_SPECIAL: 116368679682926; POINT_POSITION: (384.789, 133.247, 0); TOOL_DIRECTION: (-0.248371, -0.0355818, -0.968011)
TIME_SPECIAL: 116368696344122; POINT_POSITION: (387.761, 133.507, 0); TOOL_DIRECTION: (-0.250775, -0.0374292, -0.967321)
TIME_SPECIAL: 116368713028642; POINT_POSITION: (390.946, 134.192, 0); TOOL_DIRECTION: (-0.253072, -0.029725, -0.966991)
TIME_SPECIAL: 116368729706905; POINT_POSITION: (393.447, 134.157, 0); TOOL_DIRECTION: (-0.243878, -0.0338666, -0.969214)
TIME_SPECIAL: 116368746378340; POINT_POSITION: (397.802, 132.402, 0); TOOL_DIRECTION: (-0.23825, -0.0562879, -0.969571)
TIME_SPECIAL: 116368763033848; POINT_POSITION: (398.25, 131.041, 0); TOOL_DIRECTION: (-0.24586, -0.0587037, -0.967526)
TIME_SPECIAL: 116368779730883; POINT_POSITION: (399.086, 129.532, 0); TOOL_DIRECTION: (-0.243674, -0.0671736, -0.967528)
TIME_SPECIAL: 116368796367048; POINT_POSITION: (399.238, 129.101, 0); TOOL_DIRECTION: (-0.244235, -0.0644571, -0.967572)
TIME_SPECIAL: 116368813074893; POINT_POSITION: (397.777, 129.605, 0); TOOL_DIRECTION: (-0.249214, -0.0573516, -0.966749)
TIME_SPECIAL: 116368829730684; POINT_POSITION: (397.898, 130.704, 0); TOOL_DIRECTION: (-0.240471, -0.0497499, -0.96938)
TIME_SPECIAL: 116368846400698; POINT_POSITION: (399.646, 130.595, 0); TOOL_DIRECTION: (-0.23268, -0.0540867, -0.971048)
TIME_SPECIAL: 116368863111671; POINT_POSITION: (399.238, 130.879, 0); TOOL_DIRECTION: (-0.238931, -0.0447362, -0.970005)
TIME_SPECIAL: 116368879768031; POINT_POSITION: (399.302, 130.544, 0); TOOL_DIRECTION: (-0.235247, -0.0469537, -0.970801)
TIME_SPECIAL: 116368896420125; POINT_POSITION: (398.495, 129.619, 0); TOOL_DIRECTION: (-0.234243, -0.0512368, -0.970827)
TIME_SPECIAL: 116368913096396; POINT_POSITION: (396.391, 128.174, 0); TOOL_DIRECTION: (-0.233415, -0.053679, -0.970894)
TIME_SPECIAL: 116368929780917; POINT_POSITION: (394.232, 126.233, 0); TOOL_DIRECTION: (-0.233741, -0.0569784, -0.970628)
TIME_SPECIAL: 116368946495872; POINT_POSITION: (393.812, 125.324, 0); TOOL_DIRECTION: (-0.230448, -0.0593922, -0.97127)
TIME_SPECIAL: 116368963124073; POINT_POSITION: (391.366, 124.029, 0); TOOL_DIRECTION: (-0.234279, -0.058147, -0.970429)
TIME_SPECIAL: 116368979784700; POINT_POSITION: (388.696, 122.975, 0); TOOL_DIRECTION: (-0.234198, -0.0605659, -0.9703)
TIME_SPECIAL: 116368996457842; POINT_POSITION: (386.337, 121.955, 0); TOOL_DIRECTION: (-0.233872, -0.0655919, -0.970052)
TIME_SPECIAL: 116369013161704; POINT_POSITION: (384.153, 120.419, 0); TOOL_DIRECTION: (-0.233022, -0.0748355, -0.969588)
TIME_SPECIAL: 116369029820056; POINT_POSITION: (379.744, 118.696, 0); TOOL_DIRECTION: (-0.247543, -0.0780343, -0.965729)
TIME_SPECIAL: 116369046461341; POINT_POSITION: (379.677, 117.262, 0); TOOL_DIRECTION: (-0.242, -0.0878022, -0.966295)
TIME_SPECIAL: 116369063203034; POINT_POSITION: (381.189, 116.939, 0); TOOL_DIRECTION: (-0.236105, -0.0921075, -0.967352)
TIME_SPECIAL: 116369079930505; POINT_POSITION: (381.145, 118.57, 0); TOOL_DIRECTION: (-0.245901, -0.0785246, -0.966109)
TIME_SPECIAL: 116369096540501; POINT_POSITION: (382.894, 120.726, 0); TOOL_DIRECTION: (-0.248155, -0.0694456, -0.966228)
TIME_SPECIAL: 116369113193164; POINT_POSITION: (388.159, 123.135, 0); TOOL_DIRECTION: (-0.246318, -0.0644779, -0.967042)
TIME_SPECIAL: 116369129877684; POINT_POSITION: (401.262, 126.578, 0); TOOL_DIRECTION: (-0.228167, -0.059134, -0.971825)
TIME_SPECIAL: 116369146527217; POINT_POSITION: (412.748, 130.311, 0); TOOL_DIRECTION: (-0.220229, -0.0520662, -0.974058)
TIME_SPECIAL: 116369163212307; POINT_POSITION: (418.613, 132.887, 0); TOOL_DIRECTION: (-0.21701, -0.0466258, -0.975055)
TIME_SPECIAL: 116369179888009; POINT_POSITION: (430.638, 136.956, 0); TOOL_DIRECTION: (-0.219264, -0.0463103, -0.974566)
TIME_SPECIAL: 116369196539818; POINT_POSITION: (444.888, 142.937, 0); TOOL_DIRECTION: (-0.217711, -0.0331815, -0.975449)
TIME_SPECIAL: 116369213290045; POINT_POSITION: (460.504, 148.107, 0); TOOL_DIRECTION: (-0.216102, -0.029736, -0.975918)
