PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 156181132218073
TIME_WORD_START: 156181132877979; WORD_VALUE: shier
TIME_SPECIAL: 156183294558565; POINT_POSITION: (200.783, 177.947, 0); TOOL_DIRECTION: (-0.0648122, 0.0659599, -0.995715)
TIME_SPECIAL: 156183311208099; POINT_POSITION: (204.094, 178.155, 0); TOOL_DIRECTION: (-0.0615032, 0.0655366, -0.995953)
TIME_SPECIAL: 156183327859339; POINT_POSITION: (204.663, 178.271, 0); TOOL_DIRECTION: (-0.0628263, 0.0656277, -0.995864)
TIME_SPECIAL: 156183344564055; POINT_POSITION: (204.152, 177.977, 0); TOOL_DIRECTION: (-0.0622524, 0.0634413, -0.996042)
TIME_SPECIAL: 156183361244309; POINT_POSITION: (203.27, 177.434, 0); TOOL_DIRECTION: (-0.0619467, 0.060847, -0.996223)
TIME_SPECIAL: 156183377915175; POINT_POSITION: (202.913, 176.956, 0); TOOL_DIRECTION: (-0.0602539, 0.0589619, -0.99644)
TIME_SPECIAL: 156183394597420; POINT_POSITION: (202.027, 176.739, 0); TOOL_DIRECTION: (-0.0610717, 0.0589947, -0.996388)
TIME_SPECIAL: 156183411287060; POINT_POSITION: (200.007, 177.011, 0); TOOL_DIRECTION: (-0.0626883, 0.0648464, -0.995924)
TIME_SPECIAL: 156183427887385; POINT_POSITION: (197.71, 177.811, 0); TOOL_DIRECTION: (-0.0635095, 0.0714138, -0.995423)
TIME_SPECIAL: 156183444610021; POINT_POSITION: (196.58, 178.325, 0); TOOL_DIRECTION: (-0.0646428, 0.0743002, -0.995139)
TIME_SPECIAL: 156183461245617; POINT_POSITION: (195.021, 179.254, 0); TOOL_DIRECTION: (-0.0653, 0.0777337, -0.994833)
TIME_SPECIAL: 156183477967683; POINT_POSITION: (194.192, 180.051, 0); TOOL_DIRECTION: (-0.0654816, 0.0809395, -0.994566)
TIME_SPECIAL: 156183494613520; POINT_POSITION: (193.845, 180.623, 0); TOOL_DIRECTION: (-0.0653675, 0.0823649, -0.994456)
TIME_SPECIAL: 156183511292920; POINT_POSITION: (193.722, 181.056, 0); TOOL_DIRECTION: (-0.0650075, 0.0837167, -0.994367)
TIME_SPECIAL: 156183527944160; POINT_POSITION: (193.762, 181.279, 0); TOOL_DIRECTION: (-0.0645418, 0.0835292, -0.994413)
TIME_SPECIAL: 156183544651151; POINT_POSITION: (194.154, 181.299, 0); TOOL_DIRECTION: (-0.0629962, 0.0800283, -0.9948)
TIME_SPECIAL: 156183561324009; POINT_POSITION: (195.284, 181.011, 0); TOOL_DIRECTION: (-0.0596073, 0.0742029, -0.99546)
TIME_SPECIAL: 156183578001134; POINT_POSITION: (196.709, 180.816, 0); TOOL_DIRECTION: (-0.059861, 0.07456, -0.995418)
TIME_SPECIAL: 156183594648961; POINT_POSITION: (198.523, 181.272, 0); TOOL_DIRECTION: (-0.0593476, 0.0769886, -0.995264)
TIME_SPECIAL: 156183611332912; POINT_POSITION: (200.14, 182.165, 0); TOOL_DIRECTION: (-0.0594921, 0.080424, -0.994984)
TIME_SPECIAL: 156183628013450; POINT_POSITION: (201.676, 183.397, 0); TOOL_DIRECTION: (-0.0601017, 0.0839057, -0.99466)
TIME_SPECIAL: 156183644695410; POINT_POSITION: (202.621, 184.137, 0); TOOL_DIRECTION: (-0.0597275, 0.0865705, -0.994454)
TIME_SPECIAL: 156183661415201; POINT_POSITION: (204.607, 185.673, 0); TOOL_DIRECTION: (-0.0599129, 0.0903857, -0.994103)
TIME_SPECIAL: 156183678036006; POINT_POSITION: (206.474, 187.148, 0); TOOL_DIRECTION: (-0.0597688, 0.0931647, -0.993855)
TIME_SPECIAL: 156183694718820; POINT_POSITION: (207.421, 188.561, 0); TOOL_DIRECTION: (-0.0612161, 0.0949835, -0.993595)
TIME_SPECIAL: 156183711422398; POINT_POSITION: (208.119, 189.371, 0); TOOL_DIRECTION: (-0.0612873, 0.0933764, -0.993743)
TIME_SPECIAL: 156183728052305; POINT_POSITION: (208.711, 189.565, 0); TOOL_DIRECTION: (-0.0605064, 0.09066, -0.994042)
TIME_SPECIAL: 156183744788878; POINT_POSITION: (209.292, 189.802, 0); TOOL_DIRECTION: (-0.0600025, 0.0896416, -0.994165)
TIME_SPECIAL: 156183761431585; POINT_POSITION: (209.736, 190.167, 0); TOOL_DIRECTION: (-0.0601122, 0.0900603, -0.994121)
TIME_SPECIAL: 156183778104159; POINT_POSITION: (210.271, 190.307, 0); TOOL_DIRECTION: (-0.0591758, 0.0875851, -0.994398)
TIME_SPECIAL: 156183794758528; POINT_POSITION: (211.134, 190.626, 0); TOOL_DIRECTION: (-0.0583996, 0.0875697, -0.994445)
TIME_SPECIAL: 156183811422284; POINT_POSITION: (212.054, 191.079, 0); TOOL_DIRECTION: (-0.0575863, 0.0875989, -0.99449)
TIME_SPECIAL: 156183828075800; POINT_POSITION: (212.694, 191.529, 0); TOOL_DIRECTION: (-0.0582242, 0.0877807, -0.994437)
TIME_SPECIAL: 156183844803271; POINT_POSITION: (213.728, 191.55, 0); TOOL_DIRECTION: (-0.0564233, 0.0845877, -0.994817)
TIME_SPECIAL: 156183861489213; POINT_POSITION: (214.88, 191.254, 0); TOOL_DIRECTION: (-0.0554573, 0.0813146, -0.995144)
TIME_SPECIAL: 156183878112863; POINT_POSITION: (218.825, 190.012, 0); TOOL_DIRECTION: (-0.0531959, 0.0743915, -0.995809)
TIME_SPECIAL: 156183894791125; POINT_POSITION: (223.39, 189.853, 0); TOOL_DIRECTION: (-0.0513293, 0.0794266, -0.995518)
TIME_SPECIAL: 156183911471379; POINT_POSITION: (227.853, 190.971, 0); TOOL_DIRECTION: (-0.0512334, 0.0878555, -0.994815)
TIME_SPECIAL: 156183928143952; POINT_POSITION: (233.993, 192.499, 0); TOOL_DIRECTION: (-0.0498013, 0.0924062, -0.994475)
TIME_SPECIAL: 156183944825628; POINT_POSITION: (246.597, 191.586, 0); TOOL_DIRECTION: (-0.0439758, 0.0829836, -0.99558)
TIME_SPECIAL: 156183961585810; POINT_POSITION: (260.949, 193.684, 0); TOOL_DIRECTION: (-0.0406667, 0.0920821, -0.994921)
TIME_SPECIAL: 156183978159113; POINT_POSITION: (278.864, 190.107, 0); TOOL_DIRECTION: (-0.0317862, 0.0802235, -0.99627)
TIME_SPECIAL: 156183994909339; POINT_POSITION: (296.219, 189.965, 0); TOOL_DIRECTION: (-0.0249432, 0.082236, -0.996301)
TIME_SPECIAL: 156184011554038; POINT_POSITION: (315.929, 185.499, 0); TOOL_DIRECTION: (-0.0184423, 0.0712898, -0.997285)
TIME_SPECIAL: 156184028183945; POINT_POSITION: (339.07, 181.885, 0); TOOL_DIRECTION: (-0.00581357, 0.0619292, -0.998064)
TIME_SPECIAL: 156184044877852; POINT_POSITION: (360.611, 179.384, 0); TOOL_DIRECTION: (0.000837673, 0.0570179, -0.998373)
TIME_SPECIAL: 156184061558674; POINT_POSITION: (373.239, 179.056, 0); TOOL_DIRECTION: (0.00654776, 0.0569098, -0.998358)
TIME_SPECIAL: 156184078236083; POINT_POSITION: (403.109, 177.245, 0); TOOL_DIRECTION: (0.0208803, 0.0563366, -0.998193)
TIME_SPECIAL: 156184094889030; POINT_POSITION: (434.275, 176.182, 0); TOOL_DIRECTION: (0.0375361, 0.0545654, -0.997804)
TIME_SPECIAL: 156184111592039; POINT_POSITION: (457.748, 175.77, 0); TOOL_DIRECTION: (0.0463737, 0.0578988, -0.997245)
TIME_PRESSED: 156184111637265; KEY_PRESSED: VK_H; KEY_EXPECTED: VK_H
TIME_SPECIAL: 156184128251813; POINT_POSITION: (475.045, 173.951, 0); TOOL_DIRECTION: (0.052405, 0.0530192, -0.997217)
TIME_SPECIAL: 156184144934342; POINT_POSITION: (490.598, 169.785, 0); TOOL_DIRECTION: (0.059214, 0.0373364, -0.997547)
TIME_SPECIAL: 156184161580747; POINT_POSITION: (501.387, 169.135, 0); TOOL_DIRECTION: (0.0622857, 0.0351776, -0.997438)
TIME_SPECIAL: 156184178284040; POINT_POSITION: (511.265, 168.846, 0); TOOL_DIRECTION: (0.0658656, 0.032824, -0.997288)
