PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 154873377644387
TIME_WORD_START: 154873378223511; WORD_VALUE: tom
TIME_SPECIAL: 154874723301269; POINT_POSITION: (413.549, 301.245, 0); TOOL_DIRECTION: (0.0624807, 0.2186, -0.973812)
TIME_SPECIAL: 154874739941700; POINT_POSITION: (410.416, 305.652, 0); TOOL_DIRECTION: (0.0531511, 0.294988, -0.954021)
TIME_SPECIAL: 154874756638451; POINT_POSITION: (400.285, 314.201, 0); TOOL_DIRECTION: (0.0230565, 0.414491, -0.909761)
TIME_SPECIAL: 154874773275470; POINT_POSITION: (402.228, 304.09, 0); TOOL_DIRECTION: (-0.00693025, 0.449137, -0.893436)
TIME_SPECIAL: 154874790021145; POINT_POSITION: (410.753, 295.377, 0); TOOL_DIRECTION: (0.00362859, 0.399107, -0.916897)
TIME_SPECIAL: 154874806654466; POINT_POSITION: (413.336, 286.21, 0); TOOL_DIRECTION: (0.0133966, 0.350402, -0.936504)
TIME_SPECIAL: 154874823373972; POINT_POSITION: (412.589, 282.058, 0); TOOL_DIRECTION: (0.0126067, 0.323971, -0.945983)
TIME_SPECIAL: 154874840017248; POINT_POSITION: (419.08, 264.209, 0); TOOL_DIRECTION: (0.0397976, 0.139901, -0.989365)
TIME_SPECIAL: 154874856702622; POINT_POSITION: (419.779, 251.883, 0); TOOL_DIRECTION: (0.0516149, -0.00259944, -0.998664)
TIME_SPECIAL: 154874873347035; POINT_POSITION: (414.423, 257.953, 0); TOOL_DIRECTION: (0.0407951, -0.00620406, -0.999148)
TIME_SPECIAL: 154874890062560; POINT_POSITION: (410.902, 264.62, 0); TOOL_DIRECTION: (0.0169304, 0.18767, -0.982086)
TIME_SPECIAL: 154874906733996; POINT_POSITION: (409.58, 264.474, 0); TOOL_DIRECTION: (0.0101393, 0.232337, -0.972583)
TIME_SPECIAL: 154874923368738; POINT_POSITION: (409.458, 259.337, 0); TOOL_DIRECTION: (0.00963245, 0.235594, -0.971804)
TIME_SPECIAL: 154874940072601; POINT_POSITION: (409.562, 256.935, 0); TOOL_DIRECTION: (0.0111758, 0.220863, -0.975241)
TIME_SPECIAL: 154874956787840; POINT_POSITION: (412.005, 250.776, 0); TOOL_DIRECTION: (0.0113796, 0.138846, -0.990249)
TIME_SPECIAL: 154874973411774; POINT_POSITION: (421.408, 241.226, 0); TOOL_DIRECTION: (0.033809, 0.056782, -0.997814)
TIME_SPECIAL: 154874990110801; POINT_POSITION: (427.115, 234.683, 0); TOOL_DIRECTION: (0.0299221, 0.0624789, -0.997598)
TIME_SPECIAL: 154875006768299; POINT_POSITION: (429.359, 232.526, 0); TOOL_DIRECTION: (0.0463885, 0.00252413, -0.99892)
TIME_SPECIAL: 154875023433193; POINT_POSITION: (420.619, 236.551, 0); TOOL_DIRECTION: (0.0096215, 0.10402, -0.994529)
TIME_SPECIAL: 154875040161802; POINT_POSITION: (422.123, 232.564, 0); TOOL_DIRECTION: (0.00744496, 0.0759792, -0.997082)
TIME_SPECIAL: 154875056836082; POINT_POSITION: (429.862, 227.779, 0); TOOL_DIRECTION: (0.0142344, 0.0412608, -0.999047)
TIME_SPECIAL: 154875073453474; POINT_POSITION: (442.553, 228.21, 0); TOOL_DIRECTION: (0.0282995, 0.0455876, -0.998559)
TIME_SPECIAL: 154875090112394; POINT_POSITION: (455.625, 229.892, 0); TOOL_DIRECTION: (0.0369358, 0.068375, -0.996976)
TIME_SPECIAL: 154875106845269; POINT_POSITION: (465.126, 229.877, 0); TOOL_DIRECTION: (0.0503227, 0.0456027, -0.997691)
TIME_SPECIAL: 154875123478874; POINT_POSITION: (479.724, 233.872, 0); TOOL_DIRECTION: (0.0595199, 0.0611954, -0.99635)
TIME_SPECIAL: 154875140144052; POINT_POSITION: (497.387, 239.125, 0); TOOL_DIRECTION: (0.0759262, 0.0882531, -0.9932)
TIME_SPECIAL: 154875156866688; POINT_POSITION: (516.519, 242.069, 0); TOOL_DIRECTION: (0.0916821, 0.086527, -0.992022)
TIME_SPECIAL: 154875173476400; POINT_POSITION: (540.517, 248.427, 0); TOOL_DIRECTION: (0.111874, 0.123273, -0.986047)
TIME_SPECIAL: 154875190179977; POINT_POSITION: (563.406, 255.404, 0); TOOL_DIRECTION: (0.132716, 0.155925, -0.978812)
TIME_SPECIAL: 154875206834631; POINT_POSITION: (584.032, 261.367, 0); TOOL_DIRECTION: (0.151922, 0.177416, -0.972339)
TIME_SPECIAL: 154875223483596; POINT_POSITION: (603.473, 265.511, 0); TOOL_DIRECTION: (0.170661, 0.192449, -0.966353)
TIME_SPECIAL: 154875240172952; POINT_POSITION: (621.385, 268.783, 0); TOOL_DIRECTION: (0.185366, 0.205816, -0.960874)
TIME_SPECIAL: 154875256867712; POINT_POSITION: (632.257, 270.284, 0); TOOL_DIRECTION: (0.193758, 0.213231, -0.957596)
TIME_PRESSED: 154875256903836; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O
TIME_SPECIAL: 154875273537156; POINT_POSITION: (640.795, 272.337, 0); TOOL_DIRECTION: (0.199655, 0.220412, -0.954755)
TIME_SPECIAL: 154875290251543; POINT_POSITION: (645.09, 271.609, 0); TOOL_DIRECTION: (0.201251, 0.214843, -0.955689)
TIME_SPECIAL: 154875306836508; POINT_POSITION: (648.149, 271.285, 0); TOOL_DIRECTION: (0.202235, 0.214041, -0.955661)
TIME_SPECIAL: 154875323602379; POINT_POSITION: (649.995, 270.272, 0); TOOL_DIRECTION: (0.202477, 0.20647, -0.957274)
TIME_SPECIAL: 154875340228304; POINT_POSITION: (653.483, 268.454, 0); TOOL_DIRECTION: (0.204347, 0.194243, -0.959433)
TIME_SPECIAL: 154875356942406; POINT_POSITION: (654.186, 267.861, 0); TOOL_DIRECTION: (0.205003, 0.192385, -0.959668)
TIME_SPECIAL: 154875373601042; POINT_POSITION: (654.612, 267.704, 0); TOOL_DIRECTION: (0.205935, 0.193378, -0.959268)
TIME_SPECIAL: 154875390268780; POINT_POSITION: (654.535, 267.364, 0); TOOL_DIRECTION: (0.206269, 0.19317, -0.959239)
TIME_SPECIAL: 154875406932536; POINT_POSITION: (654.932, 266.364, 0); TOOL_DIRECTION: (0.207547, 0.189797, -0.959636)
TIME_SPECIAL: 154875423572114; POINT_POSITION: (656.759, 265.627, 0); TOOL_DIRECTION: (0.211769, 0.188024, -0.959063)
TIME_SPECIAL: 154875440297310; POINT_POSITION: (656.77, 264.599, 0); TOOL_DIRECTION: (0.211787, 0.184665, -0.959711)
TIME_SPECIAL: 154875456980692; POINT_POSITION: (661.529, 262.658, 0); TOOL_DIRECTION: (0.216024, 0.173865, -0.960783)
TIME_SPECIAL: 154875473656963; POINT_POSITION: (666.411, 261.011, 0); TOOL_DIRECTION: (0.219252, 0.166025, -0.961438)
TIME_SPECIAL: 154875490263831; POINT_POSITION: (670.712, 260.904, 0); TOOL_DIRECTION: (0.222562, 0.169709, -0.960034)
TIME_SPECIAL: 154875506977364; POINT_POSITION: (673.149, 260.189, 0); TOOL_DIRECTION: (0.225471, 0.169927, -0.959316)
TIME_SPECIAL: 154875523682364; POINT_POSITION: (673.374, 259.536, 0); TOOL_DIRECTION: (0.225489, 0.170217, -0.959261)
TIME_SPECIAL: 154875540283543; POINT_POSITION: (672.615, 257.901, 0); TOOL_DIRECTION: (0.223544, 0.161371, -0.961243)
TIME_SPECIAL: 154875557028080; POINT_POSITION: (669.907, 252.356, 0); TOOL_DIRECTION: (0.216592, 0.12937, -0.967652)
TIME_SPECIAL: 154875573654290; POINT_POSITION: (668.874, 249.11, 0); TOOL_DIRECTION: (0.213475, 0.114371, -0.970231)
TIME_SPECIAL: 154875590351610; POINT_POSITION: (663.017, 240.165, 0); TOOL_DIRECTION: (0.205337, 0.0792985, -0.975473)
TIME_SPECIAL: 154875607050921; POINT_POSITION: (655.187, 228.277, 0); TOOL_DIRECTION: (0.194519, 0.0407534, -0.980052)
TIME_SPECIAL: 154875623650677; POINT_POSITION: (650.086, 218.873, 0); TOOL_DIRECTION: (0.185655, 0.0069671, -0.98259)
TIME_SPECIAL: 154875640386681; POINT_POSITION: (646.43, 211.04, 0); TOOL_DIRECTION: (0.180742, -0.0215265, -0.983295)
TIME_SPECIAL: 154875657028251; POINT_POSITION: (643.695, 204.385, 0); TOOL_DIRECTION: (0.176233, -0.0481161, -0.983172)
TIME_SPECIAL: 154875673738655; POINT_POSITION: (642.529, 197.256, 0); TOOL_DIRECTION: (0.174502, -0.0732713, -0.981927)
TIME_SPECIAL: 154875690346660; POINT_POSITION: (642.083, 193.426, 0); TOOL_DIRECTION: (0.175193, -0.0844949, -0.980902)
TIME_SPECIAL: 154875707097456; POINT_POSITION: (642.911, 191.419, 0); TOOL_DIRECTION: (0.174375, -0.088365, -0.980706)
