KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [falls, tin, sires, sicker, shier, coy, hailed, dipped, find, mans, core, bale, tales, dubbed, sue]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [141.95125, 538.2601, 142.28893, 174.30237, 401.20706, 261.41147, 134.91798, 245.37296, 169.32343, 317.86224, 295.3863, 217.08786, 355.6914, 252.63379, 447.49432]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [141.95125, 309.44968, 142.28893, 174.30237, 288.68716, 242.65167, 134.91798, 245.37296, 169.32343, 281.36472, 295.3863, 217.08786, 198.24307, 252.63379, 185.53078]
KEYBOARD_TYPE: leapAirBimodal
PRACTICE_WORDS_PER_INPUT: 11
WORD_ORDER: [run, tale, shied, dales, hopped, sinned, sites, wicker, dire, halls, sit, failed, fir, pans, fine]
NUMBER_OF_TIMES_PLANE_BREACHED: [5, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 6, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [2075.69, 1651.2113, 1180.0342, 1623.45, 1123.3141, 2091.7554, 1287.7295, 2051.3518, 1055.5231, 1844.7764, 1353.272, 1703.9565, 868.54224, 3187.5852, 1039.314]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [2075.69, 1651.2113, 1180.0342, 1623.45, 1123.3141, 1234.0079, 1287.7295, 2051.3518, 1055.5231, 1844.7764, 969.9197, 1703.9565, 868.54224, 3187.5852, 1039.314]
TIME_DURATION_TOUCH_ONLY: [1.4786069, 2.0995667, 2.1396205, 2.5745287, 2.5148442, 3.095874, 2.452674, 2.9569833, 1.6342207, 1.7854759, 1.0796192, 2.5837085, 1.1263359, 2.1607046, 1.7707627]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.4786069, 2.0995667, 2.1396205, 2.5745287, 2.5148442, 2.8510413, 2.452674, 2.9569833, 1.6342207, 1.7854759, 1.0134792, 2.5837085, 1.1263359, 2.1607046, 1.7707627]
AVERAGE_PIXEL_VELOCITY: [1415.586, 785.471, 553.18097, 632.3388, 446.28595, 674.0552, 525.6552, 695.1139, 646.1343, 1034.1536, 1249.3356, 659.2766, 766.6714, 1482.2665, 588.05597]
REACTION_TIME_FIRST_PRESSED: [1.8285528, 2.000752, 1.4837782, 1.1170431, 1.5005376, 1.2504388, 1.3838097, 2.084122, 1.1836839, 1.1169705, 0.8668626, 1.9173557, 1.0336978, 1.3337374, 0.98364]
REACTION_TIME_FIRST_TOUCH: [1.8285528, 2.000752, 1.4837782, 1.1170431, 1.5005376, 1.2504388, 1.3838097, 2.084122, 1.1836839, 1.1169705, 0.8668626, 1.9173557, 1.0336978, 1.3337374, 0.98364]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.0503303, 0.0, 0.0, 0.0, 0.0, 1.4172089, 0.0, 0.0, 0.0, 0.0, 1.5172222, 0.0, 0.0, 1.2671361, 0.0]
TEXT_ENTRY_RATE_WPM: [16.231495, 17.146397, 22.433886, 18.64419, 23.858335, 19.380634, 19.570478, 20.29095, 22.028849, 26.88359, 22.230062, 23.222433, 21.308033, 16.661232, 20.330223]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [16.231495, 17.146397, 22.433886, 18.64419, 23.858335, 21.044943, 19.570478, 20.29095, 22.028849, 26.88359, 23.680801, 23.222433, 21.308033, 16.661232, 20.330223]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [10.885473, 11.706408, 16.55904, 16.25324, 17.931047, 16.565765, 15.639322, 14.282582, 17.033934, 20.672216, 18.49491, 15.996218, 16.666409, 13.736099, 17.426647]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [10.885473, 11.706408, 16.55904, 16.25324, 17.931047, 17.55464, 15.639322, 14.282582, 17.033934, 20.672216, 19.145456, 15.996218, 16.666409, 13.736099, 17.426647]
ERROR_RATE_KSPC: [3.0, 1.0, 1.0, 1.0, 1.0, 1.6666666, 1.0, 1.0, 1.0, 1.0, 1.6666666, 1.0, 1.0, 2.5, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.5, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [33.333336, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 30.000002, 0.0]
ERROR_RATE_MWD: [26.666668]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [13.333334]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [26.666668]
TOTAL_ERROR_RATE: [50.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 42.857143, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [50.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 42.857143, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [33.333336, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 30.000002, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [571.15436, 284.736, 185.16663, 279.36716, 254.23758, 502.49274, 205.062, 238.93568, 235.86841, 288.0497, 699.75995, 236.69463, 237.87184, 571.14856, 182.38869]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [571.15436, 284.736, 185.16663, 279.36716, 254.23758, 206.7653, 205.062, 238.93568, 235.86841, 288.0497, 255.6143, 236.69463, 237.87184, 571.14856, 182.38869]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [391.972, 284.736, 185.16663, 279.36716, 254.23758, 344.75076, 205.062, 238.93568, 235.86841, 288.0497, 383.01828, 236.69463, 237.87184, 380.28342, 182.38869]
