PRACTICE_WORD_COUNT: 12
TIME_EXPERIMENT_START: 151965488102355
TIME_WORD_START: 151965488818581; WORD_VALUE: fir
TIME_PRESSED: 151968751136203; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F
TIME_SPECIAL: 151968767799675; POINT_POSITION: (414.218, 185.117, 0); TOOL_DIRECTION: (0.0101687, -0.483587, -0.875238)
TIME_SPECIAL: 151968784418204; POINT_POSITION: (418.399, 185.001, 0); TOOL_DIRECTION: (0.0132427, -0.486903, -0.873356)
TIME_SPECIAL: 151968801144253; POINT_POSITION: (423.318, 186.402, 0); TOOL_DIRECTION: (0.0161127, -0.485205, -0.874252)
TIME_SPECIAL: 151968817838160; POINT_POSITION: (427.582, 188.692, 0); TOOL_DIRECTION: (0.0160257, -0.479221, -0.877548)
TIME_SPECIAL: 151968834511018; POINT_POSITION: (438.215, 189.286, 25.0848); TOOL_DIRECTION: (0.0217222, -0.481146, -0.876372)
TIME_PRESSED: 151968834589808; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_I
TIME_SPECIAL: 151968851182738; POINT_POSITION: (455.955, 190.708, 54.0998); TOOL_DIRECTION: (0.0309246, -0.480249, -0.876587)
TIME_SPECIAL: 151968867842227; POINT_POSITION: (477.944, 193.003, 111.601); TOOL_DIRECTION: (0.0390763, -0.477417, -0.877807)
TIME_SPECIAL: 151968884523334; POINT_POSITION: (498.23, 197.652, 136.709); TOOL_DIRECTION: (0.0449803, -0.460352, -0.886596)
TIME_SPECIAL: 151968901160637; POINT_POSITION: (507.099, 199.392, 140.956); TOOL_DIRECTION: (0.0479061, -0.456833, -0.888262)
TIME_SPECIAL: 151968917810455; POINT_POSITION: (520.174, 203.203, 145.292); TOOL_DIRECTION: (0.0510652, -0.445541, -0.893804)
TIME_SPECIAL: 151968934528255; POINT_POSITION: (533.967, 206.179, 147.922); TOOL_DIRECTION: (0.0541172, -0.446211, -0.89329)
TIME_SPECIAL: 151968951213060; POINT_POSITION: (552.282, 209.705, 147.654); TOOL_DIRECTION: (0.0617235, -0.440638, -0.895561)
TIME_SPECIAL: 151968967878522; POINT_POSITION: (571.657, 213.794, 148.785); TOOL_DIRECTION: (0.0702981, -0.432553, -0.898864)
TIME_SPECIAL: 151968984526065; POINT_POSITION: (588.762, 216.702, 151.348); TOOL_DIRECTION: (0.078991, -0.421774, -0.903253)
TIME_SPECIAL: 151969001222532; POINT_POSITION: (603.095, 219.785, 152.987); TOOL_DIRECTION: (0.0856903, -0.417072, -0.904825)
TIME_SPECIAL: 151969017879176; POINT_POSITION: (611.965, 222.19, 153.475); TOOL_DIRECTION: (0.0882348, -0.410381, -0.907635)
TIME_SPECIAL: 151969034563981; POINT_POSITION: (619.488, 223.212, 151.355); TOOL_DIRECTION: (0.0888869, -0.408277, -0.90852)
TIME_SPECIAL: 151969051269834; POINT_POSITION: (627.54, 223.315, 149.157); TOOL_DIRECTION: (0.0931005, -0.407004, -0.908669)
TIME_SPECIAL: 151969067909982; POINT_POSITION: (635.977, 223.913, 147.542); TOOL_DIRECTION: (0.0977562, -0.403403, -0.909786)
TIME_SPECIAL: 151969084596208; POINT_POSITION: (641.738, 224.366, 147.431); TOOL_DIRECTION: (0.0990013, -0.400749, -0.910823)
TIME_SPECIAL: 151969101253422; POINT_POSITION: (643.161, 224.688, 146.999); TOOL_DIRECTION: (0.0978081, -0.398658, -0.911869)
TIME_SPECIAL: 151969117962120; POINT_POSITION: (640.201, 223.869, 145.861); TOOL_DIRECTION: (0.0913353, -0.402406, -0.910894)
TIME_SPECIAL: 151969134600276; POINT_POSITION: (636.914, 222.97, 146.569); TOOL_DIRECTION: (0.0872565, -0.405717, -0.909824)
TIME_SPECIAL: 151969151275409; POINT_POSITION: (629.745, 221.785, 146.168); TOOL_DIRECTION: (0.080325, -0.411055, -0.908065)
TIME_SPECIAL: 151969167959930; POINT_POSITION: (621.375, 220.791, 143.964); TOOL_DIRECTION: (0.073928, -0.410702, -0.908768)
TIME_SPECIAL: 151969184598370; POINT_POSITION: (608.146, 218.629, 145.523); TOOL_DIRECTION: (0.0672113, -0.416393, -0.906697)
TIME_SPECIAL: 151969201304792; POINT_POSITION: (590.48, 215.006, 146.325); TOOL_DIRECTION: (0.056182, -0.429166, -0.901477)
TIME_SPECIAL: 151969218009508; POINT_POSITION: (569.672, 210.785, 149.704); TOOL_DIRECTION: (0.0437801, -0.436241, -0.898764)
TIME_SPECIAL: 151969234672695; POINT_POSITION: (551.296, 206.878, 150.73); TOOL_DIRECTION: (0.0371441, -0.448445, -0.893038)
TIME_SPECIAL: 151969251367455; POINT_POSITION: (534.509, 203.624, 150.461); TOOL_DIRECTION: (0.0329702, -0.462458, -0.886028)
TIME_SPECIAL: 151969268063353; POINT_POSITION: (522.279, 200.193, 148.883); TOOL_DIRECTION: (0.0311495, -0.470406, -0.8819)
TIME_SPECIAL: 151969284710895; POINT_POSITION: (505.873, 198.199, 149.331); TOOL_DIRECTION: (0.0292209, -0.47748, -0.878157)
TIME_SPECIAL: 151969301375220; POINT_POSITION: (490.614, 197.422, 146.633); TOOL_DIRECTION: (0.0243465, -0.475908, -0.879158)
TIME_SPECIAL: 151969318063722; POINT_POSITION: (474.216, 196.207, 144.471); TOOL_DIRECTION: (0.0195905, -0.472087, -0.881335)
TIME_SPECIAL: 151969334747105; POINT_POSITION: (457.109, 195.236, 145.924); TOOL_DIRECTION: (0.0140043, -0.471796, -0.881596)
TIME_SPECIAL: 151969351400052; POINT_POSITION: (450.022, 194.852, 146.321); TOOL_DIRECTION: (0.0131736, -0.473724, -0.880575)
TIME_SPECIAL: 151969368095950; POINT_POSITION: (439.009, 194.174, 144.405); TOOL_DIRECTION: (0.0114141, -0.47562, -0.879577)
TIME_SPECIAL: 151969384759137; POINT_POSITION: (429.102, 193.387, 145.404); TOOL_DIRECTION: (0.0111071, -0.478443, -0.878048)
TIME_SPECIAL: 151969401406111; POINT_POSITION: (422.289, 193.347, 143.422); TOOL_DIRECTION: (0.0116345, -0.47665, -0.879016)
TIME_SPECIAL: 151969418081244; POINT_POSITION: (414.687, 193.144, 144.166); TOOL_DIRECTION: (0.00975034, -0.478429, -0.878072)
TIME_SPECIAL: 151969434735613; POINT_POSITION: (408.61, 192.545, 144.155); TOOL_DIRECTION: (0.00846619, -0.482674, -0.875759)
TIME_SPECIAL: 151969451429236; POINT_POSITION: (405.086, 192.351, 146.062); TOOL_DIRECTION: (0.00665683, -0.484241, -0.874909)
TIME_SPECIAL: 151969468095836; POINT_POSITION: (404.712, 192.35, 146.599); TOOL_DIRECTION: (0.00679888, -0.484407, -0.874817)
TIME_SPECIAL: 151969484797707; POINT_POSITION: (406.439, 193.32, 143.326); TOOL_DIRECTION: (0.00971198, -0.478781, -0.877881)
TIME_SPECIAL: 151969501439561; POINT_POSITION: (408.33, 194.346, 142.498); TOOL_DIRECTION: (0.0110499, -0.473846, -0.880538)
TIME_SPECIAL: 151969518099904; POINT_POSITION: (408.33, 194.346, 142.498); TOOL_DIRECTION: (0.0110499, -0.473846, -0.880538)
TIME_SPECIAL: 151969534809170; POINT_POSITION: (417.06, 194.117, 144.841); TOOL_DIRECTION: (0.0136211, -0.475452, -0.879636)
TIME_SPECIAL: 151969551487717; POINT_POSITION: (421.815, 194.11, 148.305); TOOL_DIRECTION: (0.0143715, -0.478307, -0.878075)
TIME_SPECIAL: 151969568092878; POINT_POSITION: (425.008, 194.476, 149.69); TOOL_DIRECTION: (0.0156941, -0.477803, -0.878327)
TIME_SPECIAL: 151969584797024; POINT_POSITION: (433.884, 195.028, 147.465); TOOL_DIRECTION: (0.0165917, -0.474724, -0.879978)
TIME_SPECIAL: 151969601449118; POINT_POSITION: (441.921, 195.628, 147.327); TOOL_DIRECTION: (0.0173864, -0.470396, -0.882284)
TIME_SPECIAL: 151969618184269; POINT_POSITION: (450.04, 196.042, 148.897); TOOL_DIRECTION: (0.0199074, -0.473987, -0.880307)
TIME_SPECIAL: 151969634857696; POINT_POSITION: (459.914, 196.537, 147.411); TOOL_DIRECTION: (0.02196, -0.470466, -0.882145)
TIME_SPECIAL: 151969651533683; POINT_POSITION: (473.283, 198.111, 148.019); TOOL_DIRECTION: (0.030006, -0.467265, -0.883608)
TIME_SPECIAL: 151969668217634; POINT_POSITION: (488.569, 199.493, 146.417); TOOL_DIRECTION: (0.0369228, -0.458797, -0.887774)
TIME_SPECIAL: 151969684877408; POINT_POSITION: (503.226, 201.031, 144.843); TOOL_DIRECTION: (0.0419196, -0.457378, -0.888284)
TIME_SPECIAL: 151969701562212; POINT_POSITION: (516.221, 203.237, 143.899); TOOL_DIRECTION: (0.0499624, -0.454244, -0.889475)
TIME_SPECIAL: 151969718224262; POINT_POSITION: (527.49, 205.634, 144.656); TOOL_DIRECTION: (0.0536421, -0.450103, -0.891364)
TIME_SPECIAL: 151969734876071; POINT_POSITION: (539.99, 207.979, 144.607); TOOL_DIRECTION: (0.0575946, -0.448338, -0.892007)
TIME_SPECIAL: 151969751559738; POINT_POSITION: (554.186, 210.824, 142.855); TOOL_DIRECTION: (0.0626778, -0.444338, -0.893664)
TIME_SPECIAL: 151969768187085; POINT_POSITION: (560.774, 212.583, 142.985); TOOL_DIRECTION: (0.065448, -0.436634, -0.897256)
TIME_SPECIAL: 151969784919391; POINT_POSITION: (571.963, 216.265, 145.184); TOOL_DIRECTION: (0.069245, -0.429035, -0.90063)
TIME_SPECIAL: 151969801912816; POINT_POSITION: (581.051, 219.707, 143.039); TOOL_DIRECTION: (0.0704866, -0.413097, -0.907955)
TIME_SPECIAL: 151969818219881; POINT_POSITION: (588.062, 220.962, 147.16); TOOL_DIRECTION: (0.0713528, -0.414353, -0.907315)
TIME_SPECIAL: 151969834942801; POINT_POSITION: (598.544, 222.606, 148.2); TOOL_DIRECTION: (0.0754307, -0.411143, -0.908445)
TIME_SPECIAL: 151969851590913; POINT_POSITION: (608.108, 223.878, 148.266); TOOL_DIRECTION: (0.079621, -0.403499, -0.911509)
TIME_SPECIAL: 151969868305584; POINT_POSITION: (615.859, 226.136, 147.364); TOOL_DIRECTION: (0.0827236, -0.393007, -0.915807)
TIME_SPECIAL: 151969884948006; POINT_POSITION: (624.105, 228.245, 148.242); TOOL_DIRECTION: (0.0869791, -0.392405, -0.915671)
TIME_SPECIAL: 151969901658411; POINT_POSITION: (633.319, 230.322, 149.198); TOOL_DIRECTION: (0.092091, -0.388532, -0.916822)
TIME_SPECIAL: 151969918294007; POINT_POSITION: (642.005, 231.691, 148.059); TOOL_DIRECTION: (0.0969351, -0.384498, -0.918022)
TIME_SPECIAL: 151969934975398; POINT_POSITION: (647.194, 232.82, 150.013); TOOL_DIRECTION: (0.100828, -0.37966, -0.919615)
