PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 153168113736448
TIME_WORD_START: 153168114624476; WORD_VALUE: rube
TIME_SPECIAL: 153169424014422; POINT_POSITION: (338.345, 249.382, 110.987); TOOL_DIRECTION: (-0.24663, 0.04228, -0.968187)
TIME_SPECIAL: 153169440667653; POINT_POSITION: (337.906, 247.206, 108.943); TOOL_DIRECTION: (-0.245862, 0.0367787, -0.968607)
TIME_SPECIAL: 153169457283623; POINT_POSITION: (336.632, 246.351, 107.813); TOOL_DIRECTION: (-0.246985, 0.0349708, -0.968388)
TIME_SPECIAL: 153169473997156; POINT_POSITION: (333.997, 245.409, 104.542); TOOL_DIRECTION: (-0.24826, 0.0341184, -0.968092)
TIME_SPECIAL: 153169490687081; POINT_POSITION: (334.693, 244.473, 99.4957); TOOL_DIRECTION: (-0.244283, 0.0330689, -0.96914)
TIME_SPECIAL: 153169507357379; POINT_POSITION: (335.603, 243.307, 94.0769); TOOL_DIRECTION: (-0.241607, 0.0315872, -0.96986)
TIME_SPECIAL: 153169523989846; POINT_POSITION: (335.905, 240.566, 89.1024); TOOL_DIRECTION: (-0.239374, 0.0248646, -0.970609)
TIME_SPECIAL: 153169540737512; POINT_POSITION: (334.662, 238.247, 84.4084); TOOL_DIRECTION: (-0.239685, 0.0220833, -0.970599)
TIME_SPECIAL: 153169557365997; POINT_POSITION: (332.363, 236.772, 79.8563); TOOL_DIRECTION: (-0.24108, 0.0219447, -0.970257)
TIME_SPECIAL: 153169574098019; POINT_POSITION: (328.146, 232.464, 75.5948); TOOL_DIRECTION: (-0.243778, 0.0132938, -0.96974)
TIME_SPECIAL: 153169590683838; POINT_POSITION: (323.113, 230.615, 72.2651); TOOL_DIRECTION: (-0.247686, 0.012314, -0.968762)
TIME_SPECIAL: 153169607407611; POINT_POSITION: (319.113, 229.516, 69.6807); TOOL_DIRECTION: (-0.250781, 0.0124174, -0.967964)
TIME_SPECIAL: 153169624114318; POINT_POSITION: (317.897, 228.572, 67.584); TOOL_DIRECTION: (-0.250406, 0.0119602, -0.968067)
TIME_SPECIAL: 153169640768118; POINT_POSITION: (316.208, 228.871, 66.2044); TOOL_DIRECTION: (-0.250886, 0.0141985, -0.967912)
TIME_SPECIAL: 153169657416799; POINT_POSITION: (314.385, 229.227, 65.7674); TOOL_DIRECTION: (-0.252298, 0.015735, -0.967522)
TIME_SPECIAL: 153169674058368; POINT_POSITION: (310.65, 230.961, 64.4712); TOOL_DIRECTION: (-0.254015, 0.0220338, -0.966949)
TIME_SPECIAL: 153169690786977; POINT_POSITION: (307.263, 232.946, 63.8295); TOOL_DIRECTION: (-0.255455, 0.0285972, -0.966398)
TIME_SPECIAL: 153169707470359; POINT_POSITION: (306.19, 235.139, 64.1612); TOOL_DIRECTION: (-0.256014, 0.0353331, -0.966027)
TIME_SPECIAL: 153169724126435; POINT_POSITION: (305.739, 236.751, 64.3689); TOOL_DIRECTION: (-0.256882, 0.0400289, -0.965613)
TIME_SPECIAL: 153169740758618; POINT_POSITION: (306.086, 237.654, 64.6173); TOOL_DIRECTION: (-0.256662, 0.0419038, -0.965592)
TIME_SPECIAL: 153169757509698; POINT_POSITION: (306.407, 238.967, 64.9136); TOOL_DIRECTION: (-0.257041, 0.0449805, -0.965353)
TIME_SPECIAL: 153169774161791; POINT_POSITION: (307.336, 240.199, 65.0042); TOOL_DIRECTION: (-0.256504, 0.0477639, -0.965362)
TIME_SPECIAL: 153169790824694; POINT_POSITION: (309.202, 241.273, 65.218); TOOL_DIRECTION: (-0.254682, 0.0472087, -0.965872)
TIME_SPECIAL: 153169807518885; POINT_POSITION: (312.312, 244.033, 65.5169); TOOL_DIRECTION: (-0.252482, 0.0478247, -0.966419)
TIME_SPECIAL: 153169824128028; POINT_POSITION: (315.294, 247.053, 65.8023); TOOL_DIRECTION: (-0.251114, 0.0498156, -0.966675)
TIME_SPECIAL: 153169840879108; POINT_POSITION: (318.145, 248.777, 65.4407); TOOL_DIRECTION: (-0.249301, 0.0489398, -0.967189)
TIME_SPECIAL: 153169857553672; POINT_POSITION: (319.876, 250.721, 65.3228); TOOL_DIRECTION: (-0.249604, 0.0531178, -0.96689)
TIME_SPECIAL: 153169874206051; POINT_POSITION: (320.609, 251.477, 65.5371); TOOL_DIRECTION: (-0.249845, 0.0549191, -0.966727)
TIME_SPECIAL: 153169890872651; POINT_POSITION: (321.455, 254.336, 65.4488); TOOL_DIRECTION: (-0.252003, 0.0645494, -0.965571)
TIME_SPECIAL: 153169907516496; POINT_POSITION: (323.709, 255.594, 65.654); TOOL_DIRECTION: (-0.251367, 0.0674671, -0.965538)
TIME_SPECIAL: 153169924168874; POINT_POSITION: (326.159, 256.199, 64.6445); TOOL_DIRECTION: (-0.249454, 0.0697074, -0.965874)
TIME_SPECIAL: 153169940910567; POINT_POSITION: (329.454, 256.856, 63.9429); TOOL_DIRECTION: (-0.247617, 0.0693519, -0.966373)
TIME_SPECIAL: 153169957560101; POINT_POSITION: (332.892, 257.815, 63.4179); TOOL_DIRECTION: (-0.246072, 0.071502, -0.96661)
TIME_SPECIAL: 153169974256852; POINT_POSITION: (332.726, 258.897, 62.2529); TOOL_DIRECTION: (-0.246835, 0.0754092, -0.966119)
TIME_SPECIAL: 153169990908946; POINT_POSITION: (332.491, 259.373, 61.1082); TOOL_DIRECTION: (-0.24691, 0.077481, -0.965936)
TIME_SPECIAL: 153170007627883; POINT_POSITION: (333.651, 259.066, 59.5578); TOOL_DIRECTION: (-0.244943, 0.0772127, -0.966458)
TIME_SPECIAL: 153170024286804; POINT_POSITION: (334.986, 258.255, 57.5232); TOOL_DIRECTION: (-0.243347, 0.0755527, -0.966992)
TIME_SPECIAL: 153170040951982; POINT_POSITION: (336.859, 255.552, 54.6579); TOOL_DIRECTION: (-0.240637, 0.0675503, -0.968262)
TIME_SPECIAL: 153170057598956; POINT_POSITION: (338.801, 253.127, 51.8288); TOOL_DIRECTION: (-0.239431, 0.0656325, -0.968693)
TIME_SPECIAL: 153170074330693; POINT_POSITION: (339.2, 252.827, 50.4268); TOOL_DIRECTION: (-0.239402, 0.0677914, -0.968551)
TIME_SPECIAL: 153170091062431; POINT_POSITION: (343.634, 248.581, 44.5671); TOOL_DIRECTION: (-0.232566, 0.0621225, -0.970595)
TIME_SPECIAL: 153170107664747; POINT_POSITION: (346.007, 247.044, 42.3861); TOOL_DIRECTION: (-0.229222, 0.0604047, -0.971498)
TIME_SPECIAL: 153170124316272; POINT_POSITION: (349.157, 242.483, 38.155); TOOL_DIRECTION: (-0.224583, 0.0513609, -0.9731)
TIME_SPECIAL: 153170140927121; POINT_POSITION: (352.638, 240.253, 35.2108); TOOL_DIRECTION: (-0.22084, 0.0491698, -0.97407)
TIME_SPECIAL: 153170157671090; POINT_POSITION: (355.284, 239.728, 33.0156); TOOL_DIRECTION: (-0.218551, 0.0516115, -0.97446)
TIME_SPECIAL: 153170174322615; POINT_POSITION: (357.803, 239.029, 31.2943); TOOL_DIRECTION: (-0.216956, 0.0532401, -0.974728)
TIME_SPECIAL: 153170191021642; POINT_POSITION: (359.641, 238.634, 30.0791); TOOL_DIRECTION: (-0.215443, 0.0544314, -0.974998)
TIME_SPECIAL: 153170207665202; POINT_POSITION: (360.924, 239.626, 29.1747); TOOL_DIRECTION: (-0.214473, 0.0598857, -0.974892)
TIME_SPECIAL: 153170224311038; POINT_POSITION: (360.502, 240.323, 28.36); TOOL_DIRECTION: (-0.215022, 0.0632043, -0.974562)
TIME_SPECIAL: 153170241044767; POINT_POSITION: (359.502, 240.106, 27.7742); TOOL_DIRECTION: (-0.21595, 0.0626453, -0.974393)
TIME_SPECIAL: 153170257708238; POINT_POSITION: (359.206, 239.932, 27.236); TOOL_DIRECTION: (-0.21567, 0.0628584, -0.974441)
TIME_SPECIAL: 153170274369434; POINT_POSITION: (358.38, 240.262, 26.8688); TOOL_DIRECTION: (-0.217066, 0.0646904, -0.974011)
TIME_SPECIAL: 153170291068176; POINT_POSITION: (357.85, 240.343, 26.7072); TOOL_DIRECTION: (-0.217599, 0.0648863, -0.973879)
TIME_SPECIAL: 153170307726812; POINT_POSITION: (357.85, 240.343, 26.7072); TOOL_DIRECTION: (-0.217599, 0.0648863, -0.973879)
TIME_SPECIAL: 153170324380897; POINT_POSITION: (351.928, 240.754, 27.044); TOOL_DIRECTION: (-0.221911, 0.0648786, -0.972906)
TIME_SPECIAL: 153170341122875; POINT_POSITION: (348.682, 240.817, 27.3609); TOOL_DIRECTION: (-0.223125, 0.0610906, -0.972874)
TIME_SPECIAL: 153170357746524; POINT_POSITION: (346.363, 241.06, 26.9761); TOOL_DIRECTION: (-0.224173, 0.0626254, -0.972535)
TIME_SPECIAL: 153170374429053; POINT_POSITION: (344.034, 241.594, 26.4312); TOOL_DIRECTION: (-0.22589, 0.0643802, -0.972023)
TIME_SPECIAL: 153170391104756; POINT_POSITION: (340.742, 242.61, 25.426); TOOL_DIRECTION: (-0.228791, 0.0699846, -0.970957)
TIME_SPECIAL: 153170407785294; POINT_POSITION: (335.894, 242.591, 24.3895); TOOL_DIRECTION: (-0.231155, 0.0672335, -0.970591)
TIME_SPECIAL: 153170424431414; POINT_POSITION: (329.061, 241.568, 22.8863); TOOL_DIRECTION: (-0.234813, 0.0646557, -0.969888)
TIME_SPECIAL: 153170441113374; POINT_POSITION: (322.591, 242.567, 21.33); TOOL_DIRECTION: (-0.237522, 0.0685458, -0.968961)
TIME_SPECIAL: 153170457736455; POINT_POSITION: (320.452, 242.175, 20.4235); TOOL_DIRECTION: (-0.237168, 0.0670241, -0.969154)
TIME_SPECIAL: 153170474456530; POINT_POSITION: (318.779, 240.955, 19.8308); TOOL_DIRECTION: (-0.236352, 0.0624518, -0.969658)
TIME_SPECIAL: 153170491134224; POINT_POSITION: (316.657, 240.782, 19.1739); TOOL_DIRECTION: (-0.237009, 0.0629881, -0.969463)
TIME_SPECIAL: 153170508766505; POINT_POSITION: (315.805, 241.183, 18.7098); TOOL_DIRECTION: (-0.237347, 0.0652175, -0.969233)
